#{"t_start": 1787334549.554027, "env_id": "None"}
r,l,t
1.94,6,2.4564
-0.02,2,2.457612
-0.04,4,2.459382
-0.01,1,2.459856
1.97,3,2.461084
0.94,6,2.5358
-0.02,2,2.536651
5.91,9,2.539464
0.96,4,2.540758
-0.01,1,2.541153
3.93,7,2.543395
3.93,7,2.546121
-0.01,1,2.546604
0.95,5,2.548693
-0.02,2,2.549593
-0.08,8,2.5525
-0.01,1,2.552959
3.93,7,2.555689
-0.04,4,2.557292
1.97,3,2.558374
-0.01,1,2.558895
-0.03,3,2.560029
-0.03,3,2.561099
0.93,7,2.563509
1.92,8,2.56684
1.93,7,2.569228
1.93,7,2.571457
-0.03,3,2.57244
-0.01,1,2.572837
1.93,7,2.575354
1.92,8,2.578345
1.95,5,2.580251
-0.02,2,2.581061
1.93,7,2.64852
2.94,6,2.650836
1.97,3,2.651937
-0.02,2,2.652652
1.97,3,2.653651
5.91,9,2.65641
5.9,10,2.660364
-0.01,1,2.660782
1.97,3,2.661802
1.94,6,2.663689
3.93,7,2.665941
-0.03,3,2.667382
3.94,6,2.669961
1.92,8,2.672965
3.94,6,2.674946
1.93,7,2.677422
-0.02,2,2.678217
1.97,3,2.679366
3.94,6,2.681442
-0.04,4,2.682811
1.93,7,2.685624
-0.01,1,2.686084
-0.01,1,2.686488
1.96,4,2.688026
-0.02,2,2.688969
-0.02,2,2.689788
3.95,5,2.691383
-0.01,1,2.691857
-0.01,1,2.692328
1.93,7,2.767088
3.95,5,2.76928
3.93,7,2.771565
-0.03,3,2.772627
1.9,10,2.77571
0.94,6,2.778299
-0.01,1,2.778766
-0.01,1,2.779178
1.94,6,2.781171
5.93,7,2.78343
13.88,12,2.787462
1.95,5,2.789299
-0.03,3,2.790329
1.95,5,2.791909
13.88,12,2.79561
-0.01,1,2.796007
1.96,4,2.797284
1.97,3,2.798266
3.94,6,2.800733
-0.01,1,2.801124
1.97,3,2.802119
-0.01,1,2.802516
1.96,4,2.803786
3.93,7,2.805953
1.97,3,2.806939
-0.01,1,2.807346
1.97,3,2.808322
-0.03,3,2.809968
-0.02,2,2.810755
3.93,7,2.896509
1.97,3,2.897706
3.94,6,2.900023
