#{"t_start": 1787335567.338359, "env_id": "None"}
r,l,t
1.94,6,2.971561
-0.01,1,2.971934
1.96,4,2.973165
1.96,4,2.974388
3.93,7,2.976457
1.91,9,2.979075
1.92,8,2.981392
1.92,8,2.983718
3.91,9,2.986327
1.94,6,2.988091
1.96,4,2.989309
3.94,6,2.991075
-0.01,1,2.991438
-0.01,1,2.991797
3.93,7,2.993847
3.94,6,2.995613
1.88,12,2.999256
1.95,5,3.000775
3.91,9,3.086343
-0.02,2,3.087072
3.92,8,3.089407
1.96,4,3.090622
1.97,3,3.091546
1.96,4,3.092754
1.96,4,3.093966
-0.02,2,3.094606
3.92,8,3.096898
2.95,5,3.098383
2.95,5,3.099856
13.86,14,3.103806
1.97,3,3.104736
3.91,9,3.107297
5.92,8,3.10958
1.93,7,3.111621
1.96,4,3.112811
1.97,3,3.113726
-0.06,6,3.115455
-0.04,4,3.116639
1.95,5,3.118109
1.97,3,3.119095
3.95,5,3.120615
3.93,7,3.21685
-0.02,2,3.217631
3.94,6,3.219439
1.95,5,3.220918
13.9,10,3.223737
3.92,8,3.226472
1.93,7,3.228705
-0.02,2,3.229384
1.96,4,3.2306
1.95,5,3.232105
5.93,7,3.234175
1.93,7,3.236294
-0.03,3,3.237226
1.91,9,3.239835
1.96,4,3.241044
3.95,5,3.24254
1.95,5,3.244035
-0.04,4,3.245243
-0.04,4,3.246452
-0.01,1,3.246825
-0.02,2,3.247476
3.95,5,3.24898
5.88,12,3.25242
-0.03,3,3.253346
5.9,10,3.344685
5.91,9,3.347497
-0.01,1,3.347881
1.97,3,3.34883
1.94,6,3.350635
5.92,8,3.353049
-0.05,5,3.354564
1.93,7,3.356625
1.96,4,3.357838
-0.01,1,3.358203
1.96,4,3.359415
1.96,4,3.360619
1.97,3,3.361569
5.88,12,3.365006
1.94,6,3.366774
1.97,3,3.36771
1.96,4,3.368917
5.92,8,3.371237
1.93,7,3.373282
5.9,10,3.37616
1.94,6,3.37794
5.92,8,3.380259
3.89,11,3.468092
-0.05,5,3.4697
3.94,6,3.471499
1.97,3,3.472438
3.9,10,3.475349
3.95,5,3.476842
5.85,15,3.481114
1.94,6,3.482875
1.97,3,3.483805
3.94,6,3.485576
3.95,5,3.487065
5.91,9,3.489655
1.95,5,3.491128
1.9,10,3.49397
-0.05,5,3.49545
-0.02,2,3.496103
-0.01,1,3.496466
1.95,5,3.497944
3.93,7,3.49997
1.96,4,3.50117
-0.01,1,3.501535
-0.03,3,3.502452
3.92,8,3.598134
5.92,8,3.60067
1.95,5,3.602203
-0.03,3,3.603146
1.97,3,3.604085
3.91,9,3.606717
1.97,3,3.60765
5.93,7,3.609697
3.93,7,3.611756
3.94,6,3.613548
3.95,5,3.615038
-0.03,3,3.615965
5.92,8,3.618381
-0.02,2,3.619072
5.91,9,3.621748
5.92,8,3.624276
-0.04,4,3.6255
3.92,8,3.627841
3.93,7,3.629906
3.91,9,3.63252
3.95,5,3.634011
1.92,8,3.709195
1.97,3,3.710271
5.92,8,3.712678
3.94,6,3.714472
-0.02,2,3.71513
3.94,6,3.716924
5.92,8,3.719264
-0.03,3,3.72019
0.97,3,3.721127
5.93,7,3.72319
5.89,11,3.726454
1.97,3,3.727405
3.94,6,3.729189
1.96,4,3.730408
-0.02,2,3.731063
1.97,3,3.731999
1.97,3,3.732941
1.93,7,3.735008
-0.04,4,3.736233
-0.04,4,3.737459
-0.05,5,3.739044
1.96,4,3.740432
1.97,3,3.741402
1.97,3,3.742356
5.91,9,3.745118
-0.05,5,3.746648
3.95,5,3.832231
13.91,9,3.835063
13.89,11,3.838197
3.93,7,3.840207
3.93,7,3.842591
5.88,12,3.846188
1.97,3,3.847137
1.93,7,3.849189
-0.01,1,3.849576
-0.02,2,3.85024
1.94,6,3.852086
5.92,8,3.85442
-0.01,1,3.854787
-0.03,3,3.855708
3.95,5,3.857189
3.94,6,3.858962
1.97,3,3.859902
3.94,6,3.861669
-0.04,4,3.862869
3.95,5,3.864351
13.85,15,3.868623
1.95,5,3.870101
-0.06,6,3.97182
1.93,7,3.973904
3.92,8,3.976201
5.92,8,3.978482
3.94,6,3.980548
1.96,4,3.981911
1.97,3,3.982874
0.97,3,3.98382
3.94,6,3.985617
-0.05,5,3.987107
3.95,5,3.988612
1.95,5,3.990122
-0.03,3,3.99105
-0.02,2,3.991701
1.96,4,3.992922
1.97,3,3.993848
5.9,10,3.996726
1.94,6,3.998485
-0.01,1,3.998861
13.88,12,4.002337
1.96,4,4.003549
-0.03,3,4.004489
3.93,7,4.00655
-0.06,6,4.008313
1.93,7,4.096399
1.96,4,4.097687
1.97,3,4.098607
1.97,3,4.09953
-0.06,6,4.101259
3.94,6,4.102979
1.95,5,4.104639
-0.06,6,4.106608
3.93,7,4.108716
1.97,3,4.109661
1.96,4,4.110871
1.97,3,4.111802
3.94,6,4.113573
1.96,4,4.114793
1.96,4,4.115998
1.94,6,4.117762
5.89,11,4.120918
5.93,7,4.12294
5.92,8,4.125263
2.94,6,4.127019
-0.02,2,4.12766
13.91,9,4.130247
1.94,6,4.13199
1.97,3,4.132907
3.95,5,4.217405
3.94,6,4.219261
1.97,3,4.220184
-0.02,2,4.220823
5.92,8,4.223136
3.95,5,4.224738
1.97,3,4.225761
1.96,4,4.227002
1.97,3,4.228023
1.95,5,4.229479
1.94,6,4.231184
3.93,7,4.233163
3.95,5,4.234606
3.95,5,4.236054
2.93,7,4.238044
1.97,3,4.239077
3.95,5,4.240594
1.97,3,4.241822
3.95,5,4.243392
1.97,3,4.24433
1.96,4,4.245533
13.87,13,4.249548
1.97,3,4.250653
1.97,3,4.251641
1.95,5,4.253202
3.93,7,4.255297
5.89,11,4.350912
3.91,9,4.353619
3.94,6,4.355411
13.9,10,4.358275
1.97,3,4.359198
5.89,11,4.362337
3.94,6,4.36409
3.95,5,4.365589
1.95,5,4.367158
1.96,4,4.36873
1.96,4,4.369982
3.95,5,4.371453
3.94,6,4.373173
-0.02,2,4.373805
1.97,3,4.374705
3.95,5,4.376547
1.97,3,4.377619
1.95,5,4.379137
1.97,3,4.380087
3.94,6,4.38209
1.97,3,4.383141
1.97,3,4.38415
5.93,7,4.386271
3.92,8,4.486632
3.95,5,4.488244
1.97,3,4.489182
5.93,7,4.491216
0.95,5,4.492683
3.95,5,4.494145
3.94,6,4.495898
1.93,7,4.497968
1.93,7,4.500049
1.95,5,4.501575
1.96,4,4.502802
-0.01,1,4.50318
5.93,7,4.505264
3.94,6,4.507274
1.95,5,4.508792
1.94,6,4.510521
3.92,8,4.512779
1.94,6,4.514493
1.95,5,4.516321
-0.01,1,4.516829
1.97,3,4.517893
1.97,3,4.518893
5.92,8,4.521365
5.92,8,4.523792
1.97,3,4.524744
3.94,6,4.59733
1.97,3,4.598368
3.94,6,4.600183
1.95,5,4.601687
5.93,7,4.603755
1.97,3,4.604691
13.91,9,4.607334
3.95,5,4.608822
-0.02,2,4.609472
3.95,5,4.610955
1.97,3,4.611885
-0.03,3,4.612814
3.94,6,4.614583
1.97,3,4.615517
3.94,6,4.617272
3.94,6,4.619031
3.92,8,4.621342
1.94,6,4.623104
-0.06,6,4.624846
1.96,4,4.626049
1.97,3,4.626971
-0.05,5,4.628438
-0.02,2,4.629089
1.95,5,4.630557
1.97,3,4.631484
5.93,7,4.633542
3.93,7,4.711174
1.97,3,4.712226
3.93,7,4.714305
1.97,3,4.715253
1.96,4,4.716495
1.97,3,4.717434
3.94,6,4.719216
5.93,7,4.721274
-0.02,2,4.721933
1.97,3,4.722857
-0.01,1,4.723219
1.97,3,4.724142
3.95,5,4.725639
5.9,10,4.728504
5.9,10,4.731373
-0.03,3,4.732293
3.95,5,4.733779
-0.01,1,4.734152
1.95,5,4.735627
-0.01,1,4.735991
-0.01,1,4.73636
1.97,3,4.737278
-0.02,2,4.737916
-0.01,1,4.738286
-0.02,2,4.738944
1.95,5,4.740784
3.95,5,4.742372
3.94,6,4.744204
13.89,11,4.747419
1.95,5,4.834422
3.93,7,4.836707
5.93,7,4.838812
5.93,7,4.840901
-0.01,1,4.841283
-0.04,4,4.842511
-0.02,2,4.843165
1.97,3,4.844097
-0.02,2,4.844752
3.93,7,4.846812
3.94,6,4.848624
0.95,5,4.850251
3.93,7,4.852566
3.95,5,4.854081
1.97,3,4.855009
3.95,5,4.856473
1.96,4,4.857666
1.97,3,4.858574
-0.01,1,4.858936
1.96,4,4.860111
-0.01,1,4.860478
3.94,6,4.862213
1.97,3,4.86314
1.96,4,4.864318
1.96,4,4.865501
1.94,6,4.867215
3.95,5,4.868669
1.97,3,4.86958
1.97,3,4.87048
1.97,3,4.871391
-0.04,4,4.872563
1.97,3,4.95392
3.95,5,4.955623
-0.03,3,4.956604
-0.02,2,4.957253
1.97,3,4.958173
13.91,9,4.960752
1.96,4,4.961944
1.95,5,4.963403
1.96,4,4.964677
-0.06,6,4.966414
-0.03,3,4.967329
1.93,7,4.969338
3.92,8,4.971623
3.93,7,4.973691
1.95,5,4.97516
1.97,3,4.976066
3.93,7,4.978047
-0.04,4,4.97921
3.95,5,4.980701
1.96,4,4.981878
3.91,9,4.984389
1.96,4,4.985553
1.97,3,4.986463
3.94,6,4.988193
1.97,3,4.989104
3.95,5,4.990546
-0.02,2,4.991177
3.94,6,5.068828
3.92,8,5.071325
3.95,5,5.072843
13.86,14,5.076886
1.97,3,5.077821
5.9,10,5.08071
-0.01,1,5.081079
1.93,7,5.083121
3.93,7,5.085181
1.97,3,5.086113
5.91,9,5.088742
3.95,5,5.090237
-0.01,1,5.090598
-0.05,5,5.092098
1.97,3,5.093092
3.95,5,5.0946
5.91,9,5.097208
1.97,3,5.098142
13.86,14,5.102137
3.94,6,5.103902
3.9,10,5.201372
5.92,8,5.203791
3.95,5,5.205281
3.95,5,5.206762
1.93,7,5.208778
1.95,5,5.210677
5.93,7,5.212885
1.97,3,5.213833
3.94,6,5.215604
1.95,5,5.2171
-0.02,2,5.217758
3.95,5,5.219253
1.95,5,5.220743
3.94,6,5.222512
5.93,7,5.224563
1.97,3,5.225498
3.95,5,5.226978
1.97,3,5.22792
1.97,3,5.228857
1.97,3,5.229793
-0.01,1,5.230159
1.97,3,5.231082
13.9,10,5.23398
1.96,4,5.23521
3.94,6,5.236955
1.96,4,5.238145
1.97,3,5.317658
3.92,8,5.320146
-0.01,1,5.320516
1.97,3,5.321441
3.94,6,5.323174
1.97,3,5.324087
1.97,3,5.324994
1.97,3,5.325887
1.97,3,5.326911
-0.05,5,5.328667
1.96,4,5.329918
1.97,3,5.330873
5.92,8,5.33323
3.91,9,5.335845
1.97,3,5.336781
3.95,5,5.338261
-0.03,3,5.339185
1.96,4,5.340389
-0.01,1,5.340761
1.96,4,5.341962
1.96,4,5.343165
1.97,3,5.344089
5.91,9,5.346669
1.96,4,5.347867
5.92,8,5.35019
1.97,3,5.351124
13.91,9,5.353734
13.91,9,5.433186
1.97,3,5.434332
-0.02,2,5.435044
1.97,3,5.436018
3.95,5,5.437567
3.92,8,5.439942
3.91,9,5.442624
1.96,4,5.443984
3.89,11,5.44733
1.96,4,5.448576
3.95,5,5.450085
13.86,14,5.454161
1.96,4,5.455384
-0.03,3,5.456317
1.95,5,5.457813
5.93,7,5.459904
-0.02,2,5.460565
-0.01,1,5.460941
1.97,3,5.461884
3.95,5,5.463391
1.97,3,5.464332
-0.02,2,5.46499
3.95,5,5.466494
3.93,7,5.468642
5.92,8,5.471004
3.94,6,5.568374
-0.01,1,5.568848
1.95,5,5.570439
5.9,10,5.573395
1.97,3,5.57435
5.92,8,5.57674
3.95,5,5.578259
1.96,4,5.579485
1.97,3,5.580419
1.95,5,5.581903
5.9,10,5.584785
1.97,3,5.585717
-0.02,2,5.586366
3.91,9,5.588983
3.91,9,5.591585
5.93,7,5.593656
1.95,5,5.595142
3.93,7,5.5972
1.94,6,5.59897
1.97,3,5.599907
1.95,5,5.601397
1.97,3,5.602335
3.95,5,5.603831
1.95,5,5.605475
3.93,7,5.686259
-0.04,4,5.687633
1.96,4,5.688878
3.92,8,5.691236
-0.02,2,5.691904
1.94,6,5.693738
3.93,7,5.695797
1.96,4,5.696997
1.97,3,5.697923
5.92,8,5.700262
1.97,3,5.701201
1.92,8,5.703507
1.96,4,5.704732
1.97,3,5.705667
-0.04,4,5.706863
3.95,5,5.708347
3.95,5,5.709834
1.97,3,5.710752
5.92,8,5.713055
1.97,3,5.713976
1.95,5,5.715448
1.95,5,5.716927
13.89,11,5.720081
1.97,3,5.721004
1.96,4,5.722209
3.92,8,5.805704
3.92,8,5.808176
1.96,4,5.809419
1.97,3,5.810364
3.89,11,5.813544
1.97,3,5.814491
1.94,6,5.816259
1.95,5,5.817752
-0.06,6,5.819522
5.93,7,5.821566
-0.04,4,5.822759
3.95,5,5.824235
3.95,5,5.825715
1.97,3,5.826653
1.94,6,5.828413
5.92,8,5.830705
1.95,5,5.832184
5.92,8,5.834499
3.95,5,5.835997
13.91,9,5.838587
1.95,5,5.840064
1.96,4,5.841259
1.96,4,5.842466
1.93,7,5.924707
5.92,8,5.927172
-0.04,4,5.928408
1.95,5,5.929919
3.94,6,5.931707
1.96,4,5.932929
1.97,3,5.933866
1.96,4,5.935073
3.92,8,5.937408
5.9,10,5.940298
1.97,3,5.941224
1.97,3,5.942153
1.97,3,5.943089
-0.01,1,5.943452
5.91,9,5.946064
1.97,3,5.946987
1.96,4,5.948191
3.95,5,5.949677
3.95,5,5.951178
3.95,5,5.952679
3.94,6,5.95446
1.97,3,5.955529
5.93,7,5.957631
3.95,5,5.959146
1.97,3,5.960089
-0.03,3,5.961014
3.93,7,6.044309
1.95,5,6.045897
-0.03,3,6.046839
1.97,3,6.047791
3.95,5,6.049287
5.93,7,6.051353
1.95,5,6.052869
1.97,3,6.0538
3.94,6,6.055583
1.97,3,6.056515
1.97,3,6.057446
1.97,3,6.058378
3.95,5,6.060232
3.94,6,6.062035
1.96,4,6.063231
1.95,5,6.064683
1.96,4,6.065864
3.9,10,6.068834
1.97,3,6.069938
1.94,6,6.071803
-0.02,2,6.07253
5.9,10,6.075496
3.95,5,6.077
1.97,3,6.077937
1.97,3,6.078922
13.9,10,6.082188
3.95,5,6.163637
-0.02,2,6.164376
-0.05,5,6.165918
3.94,6,6.167712
1.97,3,6.16865
-0.03,3,6.169575
-0.02,2,6.170228
1.97,3,6.171162
-0.01,1,6.171533
1.96,4,6.172731
13.89,11,6.175895
1.97,3,6.176819
3.95,5,6.178306
-0.02,2,6.17895
1.97,3,6.179878
1.96,4,6.181073
3.95,5,6.182563
3.95,5,6.184067
1.96,4,6.185334
1.93,7,6.187385
5.89,11,6.190541
-0.04,4,6.191738
3.95,5,6.193226
1.97,3,6.19415
1.95,5,6.195629
1.97,3,6.196551
3.95,5,6.198036
13.89,11,6.314025
3.95,5,6.316535
1.97,3,6.332171
-0.01,1,6.333953
1.96,4,6.339064
1.97,3,6.34844
1.95,5,6.352423
1.97,3,6.356516
1.95,5,6.361701
1.96,4,6.366856
-0.01,1,6.367277
1.97,3,6.368277
3.95,5,6.369835
13.87,13,6.373597
1.97,3,6.374542
1.97,3,6.375535
1.97,3,6.376547
5.88,12,6.380003
1.97,3,6.380936
1.97,3,6.381851
1.92,8,6.384142
3.95,5,6.385838
1.97,3,6.387773
5.93,7,6.391747
-0.03,3,6.392951
5.93,7,6.395714
3.93,7,6.398612
1.97,3,6.399805
3.91,9,6.50643
3.95,5,6.508175
1.96,4,6.50948
-0.02,2,6.510192
1.96,4,6.511485
3.89,11,6.515666
1.97,3,6.516672
5.92,8,6.518996
1.95,5,6.520524
1.96,4,6.521782
1.97,3,6.522699
1.97,3,6.524005
5.92,8,6.526535
1.94,6,6.528349
1.95,5,6.52988
5.89,11,6.533332
1.91,9,6.53621
5.92,8,6.538581
1.97,3,6.539499
1.97,3,6.540414
3.92,8,6.542742
-0.02,2,6.543395
1.97,3,6.544624
5.92,8,6.632344
-0.02,2,6.633099
1.95,5,6.634644
5.92,8,6.637006
-0.05,5,6.638769
1.97,3,6.639766
1.97,3,6.640971
3.92,8,6.643523
1.97,3,6.644545
5.91,9,6.647314
3.94,6,6.64915
1.95,5,6.65089
5.92,8,6.653365
1.97,3,6.654324
1.94,6,6.6562
1.97,3,6.657152
3.95,5,6.658657
1.96,4,6.659893
1.95,5,6.661394
1.95,5,6.662893
1.95,5,6.664451
5.93,7,6.666521
1.95,5,6.668005
3.93,7,6.670055
-0.03,3,6.745825
3.94,6,6.747768
1.97,3,6.74871
1.96,4,6.749901
1.97,3,6.750819
1.93,7,6.752836
-0.02,2,6.753472
3.94,6,6.75542
1.96,4,6.756816
3.93,7,6.758975
3.93,7,6.761113
3.94,6,6.762944
3.89,11,6.766181
3.94,6,6.767988
-0.04,4,6.769216
5.92,8,6.771587
1.97,3,6.772542
3.95,5,6.774054
-0.03,3,6.775007
3.95,5,6.776519
1.94,6,6.778306
3.95,5,6.77981
3.94,6,6.781582
-0.05,5,6.783067
1.96,4,6.784301
3.95,5,6.921876
3.94,6,6.923748
-0.03,3,6.924671
1.97,3,6.925584
1.97,3,6.926496
5.93,7,6.930678
1.97,3,6.931884
3.93,7,6.934205
1.96,4,6.935572
-0.06,6,6.937521
1.93,7,6.939839
3.92,8,6.942699
1.96,4,6.943973
1.92,8,6.946284
3.89,11,6.949372
-0.06,6,6.951096
1.97,3,6.952374
1.97,3,6.953505
3.95,5,6.95516
1.96,4,6.956496
3.94,6,6.958228
3.92,8,6.960481
13.89,11,7.045497
3.94,6,7.047357
3.94,6,7.049099
3.93,7,7.051098
1.93,7,7.05308
3.95,5,7.054901
3.92,8,7.05776
1.97,3,7.058772
3.94,6,7.060615
1.97,3,7.06157
3.95,5,7.06311
1.97,3,7.064116
1.97,3,7.065079
3.94,6,7.066879
1.96,4,7.068116
5.93,7,7.070183
-0.04,4,7.071417
3.95,5,7.07309
1.95,5,7.074575
3.95,5,7.076022
5.93,7,7.078014
5.89,11,7.081051
1.97,3,7.082094
1.96,4,7.08351
-0.05,5,7.169112
-0.04,4,7.170473
1.97,3,7.171444
1.97,3,7.172505
