environment,algorithm,training_seed,checkpoint_steps,evaluation_episodes,eval_seed_start,successes,success_rate,collisions,collision_rate,road_collisions,road_collision_rate,drownings,drowning_rate,timeouts,timeout_rate,avg_reward,avg_episode_length,avg_max_row,avg_success_episode_length,avg_failure_episode_length,wait_pct,forward_pct,backward_pct,left_pct,right_pct,collision_row_1,collision_row_3,model_path
v9,trpo,2,200000,100,1000,28,0.28,72,0.72,37,0.37,35,0.35,0,0.0,7.2551999999999985,9.48,6.67,11.607142857142858,8.652777777777779,0.20569620253164558,0.7078059071729957,0.02531645569620253,0.0,0.06118143459915612,0,3,results/runs/v9/trpo_seed2/checkpoints/trpo_seed2_200000_steps
v9,trpo,2,400000,100,1000,31,0.31,69,0.69,33,0.33,36,0.36,0,0.0,7.656100000000001,12.39,6.92,14.548387096774194,11.420289855072463,0.3252623083131558,0.5746569814366425,0.06053268765133172,0.0,0.03954802259887006,0,2,results/runs/v9/trpo_seed2/checkpoints/trpo_seed2_400000_steps
v9,trpo,2,600000,100,1000,51,0.51,49,0.49,24,0.24,25,0.25,0,0.0,9.3134,14.66,7.4,17.647058823529413,11.551020408163266,0.4379263301500682,0.5129604365620737,0.0252387448840382,0.0,0.023874488403819918,0,2,results/runs/v9/trpo_seed2/checkpoints/trpo_seed2_600000_steps
v9,trpo,2,800000,100,1000,50,0.5,50,0.5,25,0.25,25,0.25,0,0.0,9.304700000000002,15.53,7.46,17.72,13.34,0.4771410173857051,0.4874436574372183,0.009658725048293626,0.0,0.025756600128783,0,2,results/runs/v9/trpo_seed2/checkpoints/trpo_seed2_800000_steps
v9,trpo,2,1000000,100,1000,53,0.53,44,0.44,22,0.22,22,0.22,3,0.03,9.310900000000006,18.91,7.44,18.58490566037736,19.27659574468085,0.5906927551560022,0.3950290851401375,0.0031729243786356425,0.0,0.01110523532522475,0,2,results/runs/v9/trpo_seed2/final_model
