environment,algorithm,training_seed,checkpoint_steps,evaluation_episodes,eval_seed_start,successes,success_rate,collisions,collision_rate,road_collisions,road_collision_rate,drownings,drowning_rate,timeouts,timeout_rate,avg_reward,avg_episode_length,avg_max_row,avg_success_episode_length,avg_failure_episode_length,wait_pct,forward_pct,backward_pct,left_pct,right_pct,collision_row_1,collision_row_3,model_path
v9,trpo,2,200000,100,1000,35,0.35,65,0.65,0,0.0,65,0.65,0,0.0,7.418899999999996,8.11,6.4,11.085714285714285,6.507692307692308,0.18618988902589395,0.7891491985203453,0.0,0.0,0.02466091245376079,0,10,results/runs/v9/trpo_seed2/checkpoints/trpo_seed2_200000_steps
v9,trpo,2,400000,100,1000,42,0.42,58,0.58,0,0.0,58,0.58,0,0.0,8.064199999999998,9.58,6.64,12.095238095238095,7.758620689655173,0.21085594989561587,0.7025052192066806,0.08350730688935282,0.0,0.003131524008350731,0,8,results/runs/v9/trpo_seed2/checkpoints/trpo_seed2_400000_steps
v9,trpo,2,600000,100,1000,50,0.5,50,0.5,0,0.0,50,0.5,0,0.0,9.023199999999996,10.68,7.13,12.62,8.74,0.301498127340824,0.6694756554307116,0.027153558052434457,0.0,0.0018726591760299626,0,8,results/runs/v9/trpo_seed2/checkpoints/trpo_seed2_600000_steps
v9,trpo,2,800000,100,1000,62,0.62,38,0.38,0,0.0,38,0.38,0,0.0,10.211399999999996,10.86,7.6,12.64516129032258,7.947368421052632,0.2946593001841621,0.6998158379373849,0.004604051565377533,0.0,0.0009208103130755065,0,6,results/runs/v9/trpo_seed2/checkpoints/trpo_seed2_800000_steps
v9,trpo,2,1000000,100,1000,67,0.67,33,0.33,0,0.0,33,0.33,0,0.0,10.5474,11.26,7.64,13.298507462686567,7.121212121212121,0.3206039076376554,0.6785079928952042,0.0,0.0,0.0008880994671403197,1,7,results/runs/v9/trpo_seed2/final_model
