environment,algorithm,training_seed,checkpoint_steps,evaluation_episodes,eval_seed_start,successes,success_rate,collisions,collision_rate,road_collisions,road_collision_rate,drownings,drowning_rate,timeouts,timeout_rate,avg_reward,avg_episode_length,avg_max_row,avg_success_episode_length,avg_failure_episode_length,wait_pct,forward_pct,backward_pct,left_pct,right_pct,collision_row_1,collision_row_3,model_path
v9,trpo,0,200000,100,1000,30,0.3,70,0.7,47,0.47,23,0.23,0,0.0,7.045799999999999,8.42,6.33,11.133333333333333,7.257142857142857,0.12707838479809977,0.7660332541567696,0.040380047505938245,0.013064133016627079,0.05344418052256532,0,7,results/runs/v9/trpo_seed0/checkpoints/trpo_seed0_200000_steps
v9,trpo,0,400000,100,1000,37,0.37,63,0.63,29,0.29,34,0.34,0,0.0,7.9129,11.71,6.81,13.135135135135135,10.873015873015873,0.2749786507258753,0.6037574722459437,0.07344150298889837,0.004269854824935952,0.04355251921434671,0,4,results/runs/v9/trpo_seed0/checkpoints/trpo_seed0_400000_steps
v9,trpo,0,600000,100,1000,43,0.43,57,0.57,26,0.26,31,0.31,0,0.0,8.6964,15.36,7.27,16.13953488372093,14.771929824561404,0.3294270833333333,0.494140625,0.07421875,0.033854166666666664,0.068359375,0,3,results/runs/v9/trpo_seed0/checkpoints/trpo_seed0_600000_steps
v9,trpo,0,800000,100,1000,53,0.53,47,0.47,31,0.31,16,0.16,0,0.0,9.525400000000001,17.46,7.52,19.132075471698112,15.574468085106384,0.43871706758304696,0.44329896907216493,0.0286368843069874,0.032073310423825885,0.0572737686139748,0,3,results/runs/v9/trpo_seed0/checkpoints/trpo_seed0_800000_steps
v9,trpo,0,1000000,100,1000,57,0.57,42,0.42,25,0.25,17,0.17,1,0.01,9.970600000000005,19.94,7.79,20.736842105263158,18.88372093023256,0.5130391173520562,0.40421263791374124,0.05115346038114343,0.004513540621865597,0.02708124373119358,0,3,results/runs/v9/trpo_seed0/final_model
