#{"t_start": 1787193658.852695, "env_id": "None"}
r,l,t,success,collision,max_y
-0.04,4,0.458404,False,True,1
-0.1,10,0.458948,False,True,1
0.94,6,0.459219,False,True,2
-0.09,9,0.459559,False,True,1
-0.09,9,0.460018,False,True,1
-0.04,4,0.460188,False,True,1
-0.08,8,0.460509,False,True,1
-0.21,21,0.461356,False,True,1
-0.15,15,0.462004,False,True,1
-0.12,12,0.462461,False,True,1
-0.03,3,0.4626,False,True,1
-0.02,2,0.462687,False,True,1
-0.1,10,0.463175,False,True,1
-0.15,15,0.463802,False,True,1
-0.11,11,0.464221,False,True,1
-0.06,6,0.464568,False,True,1
-0.02,2,0.46479,False,True,1
-0.01,1,0.464876,False,True,1
-0.09,9,0.465221,False,True,1
-0.17,17,0.465846,False,True,1
-0.09,9,0.466291,False,True,1
-0.05,5,0.466504,False,True,1
-0.22,22,0.467261,False,True,1
-0.03,3,0.467401,False,True,1
-0.05,5,0.467666,False,True,1
-0.04,4,0.467835,False,True,1
-0.07,7,0.468105,False,True,1
-0.02,2,0.468187,False,True,1
-0.03,3,0.468391,False,True,1
-0.04,4,0.468555,False,True,1
-0.05,5,0.468757,False,True,1
-0.03,3,0.468894,False,True,1
1.96,4,0.469129,False,True,3
-0.02,2,0.469232,False,True,1
-0.05,5,0.469424,False,True,1
-0.07,7,0.469691,False,True,1
-0.08,8,0.470064,False,True,1
-0.01,1,0.470119,False,True,1
-0.07,7,0.470386,False,True,1
-0.06,6,0.470704,False,True,1
-0.03,3,0.471019,False,True,1
-0.01,1,0.47109,False,True,1
-0.07,7,0.471391,False,True,1
-0.04,4,0.471566,False,True,1
-0.18,18,0.472327,False,True,1
-0.06,6,0.472573,False,True,1
-0.02,2,0.472659,False,True,1
-0.09,9,0.473019,False,True,1
1.9,10,0.473464,False,True,3
-0.13,13,0.47393,False,True,1
0.93,7,0.474209,False,True,2
-0.2,20,0.475026,False,True,1
-0.06,6,0.47539,False,True,1
-0.01,1,0.475458,False,True,1
-0.08,8,0.47576,False,True,1
-0.02,2,0.475849,False,True,1
-0.12,12,0.476374,False,True,1
-0.04,4,0.47657,False,True,1
-0.04,4,0.476733,False,True,1
-0.03,3,0.476876,False,True,1
-0.02,2,0.477046,False,True,1
-0.04,4,0.477215,False,True,1
-0.07,7,0.47747,False,True,1
-0.04,4,0.477634,False,True,1
-0.09,9,0.47805,False,True,1
-0.04,4,0.478216,False,True,1
-0.01,1,0.478274,False,True,1
-0.07,7,0.478545,False,True,1
-0.01,1,0.478667,False,True,1
-0.04,4,0.478864,False,True,1
-0.06,6,0.479113,False,True,1
-0.09,9,0.479468,False,True,1
-0.04,4,0.479703,False,True,1
-0.03,3,0.479823,False,True,1
-0.06,6,0.480078,False,True,1
0.91,9,0.48042,False,True,2
-0.06,6,0.480744,False,True,1
-0.08,8,0.48105,False,True,1
-0.09,9,0.48139,False,True,1
-0.03,3,0.481528,False,True,1
