environment,algorithm,training_seed,checkpoint_steps,evaluation_episodes,eval_seed_start,successes,success_rate,collisions,collision_rate,road_collisions,road_collision_rate,drownings,drowning_rate,timeouts,timeout_rate,avg_reward,avg_episode_length,avg_max_row,avg_success_episode_length,avg_failure_episode_length,wait_pct,forward_pct,backward_pct,left_pct,right_pct,collision_row_1,collision_row_3,model_path
v9,dqn,2,200000,100,1000,2,0.02,65,0.65,23,0.23,42,0.42,33,0.33,1.2193000000000043,43.07,3.85,15.5,43.63265306122449,0.2981193406083121,0.2291618295797539,0.22730438820524726,0.12885999535639656,0.11655444625029023,10,14,results/runs/v9/dqn_seed2/checkpoints/dqn_seed2_200000_steps
v9,dqn,2,400000,100,1000,16,0.16,76,0.76,31,0.31,45,0.45,8,0.08,4.616600000000001,29.34,5.27,12.0625,32.63095238095238,0.2995910020449898,0.2903885480572597,0.15985003408316292,0.15950920245398773,0.09066121336059986,9,7,results/runs/v9/dqn_seed2/checkpoints/dqn_seed2_400000_steps
v9,dqn,2,600000,100,1000,20,0.2,78,0.78,42,0.42,36,0.36,2,0.02,5.785200000000001,15.48,5.82,13.15,16.0625,0.13113695090439276,0.46705426356589147,0.10077519379844961,0.16279069767441862,0.13824289405684753,7,6,results/runs/v9/dqn_seed2/checkpoints/dqn_seed2_600000_steps
v9,dqn,2,800000,100,1000,41,0.41,54,0.54,31,0.31,23,0.23,5,0.05,7.7275,14.25,6.61,11.487804878048781,16.16949152542373,0.10035087719298245,0.52,0.07087719298245614,0.2112280701754386,0.09754385964912281,2,6,results/runs/v9/dqn_seed2/checkpoints/dqn_seed2_800000_steps
v9,dqn,2,1000000,100,1000,42,0.42,56,0.56,40,0.4,16,0.16,2,0.02,8.169199999999998,12.08,6.85,11.428571428571429,12.551724137931034,0.08609271523178808,0.6341059602649006,0.0902317880794702,0.12003311258278146,0.0695364238410596,2,7,results/runs/v9/dqn_seed2/final_model
