environment,algorithm,speed_scale,n_seeds,success_mean,success_std,reward_mean,reward_std,max_row_mean,max_row_std,road_collision_mean,drowning_mean,timeout_mean
v10,dqn,0.8,5,0.476,0.15290519938837918,8.585240000000002,1.547725438506456,6.9159999999999995,0.6374401932730632,0.304,0.21200000000000002,0.008
v10,dqn,1.0,5,0.44799999999999995,0.15417522498767433,8.377040000000001,1.526189851558448,6.843999999999999,0.6315298884455111,0.3,0.25,0.002
v10,dqn,1.2,5,0.378,0.11519548602267367,7.672540000000001,1.1801853511207472,6.593999999999999,0.5319116467986015,0.366,0.248,0.008
v10,dqn,1.4,5,0.296,0.10285912696499032,6.855200000000001,1.0670016729134024,6.2700000000000005,0.48564390246352346,0.42800000000000005,0.266,0.01
v10,ppo,0.8,5,0.49000000000000005,0.02449489742783178,8.960300000000002,0.26211954333853166,7.194,0.14397916515940762,0.32599999999999996,0.18,0.004
v10,ppo,1.0,5,0.48600000000000004,0.0568330889535313,9.025280000000002,0.597672759124924,7.281999999999999,0.29141036357686373,0.33799999999999997,0.16999999999999998,0.006
v10,ppo,1.2,5,0.42400000000000004,0.04505552130427524,8.48906,0.43561557938163986,7.109999999999999,0.22282279955157183,0.41,0.16,0.006
v10,ppo,1.4,5,0.298,0.025884358211089552,7.236800000000001,0.3661194204081506,6.58,0.23162469643800954,0.492,0.20800000000000002,0.002
v10,qrdqn,0.8,5,0.38,0.10535653752852739,7.654460000000005,1.1573676438366498,6.694,0.45125380884819083,0.34199999999999997,0.272,0.006
v10,qrdqn,1.0,5,0.364,0.12501999840025596,7.492240000000007,1.4534387785524365,6.68,0.5671419575379696,0.398,0.22000000000000003,0.018
v10,qrdqn,1.2,5,0.292,0.08012490249604053,6.694380000000004,0.9807416642521115,6.4,0.4283106349368413,0.396,0.274,0.038
v10,qrdqn,1.4,5,0.296,0.05770615218501405,6.7782400000000065,0.6737742040179335,6.44,0.29231831964486926,0.42000000000000004,0.256,0.028000000000000004
v10,trpo,0.8,5,0.516,0.059413803110051816,9.236760000000006,0.43842518517986545,7.348000000000001,0.0807465169527456,0.35,0.128,0.006
v10,trpo,1.0,5,0.534,0.05683308895353129,9.391600000000002,0.6646213696534305,7.401999999999999,0.2703146314944863,0.296,0.16,0.01
v10,trpo,1.2,5,0.41600000000000004,0.04159326868617086,8.33896,0.4900341345253404,7.05,0.2661766330841231,0.356,0.21800000000000003,0.01
v10,trpo,1.4,5,0.312,0.03193743884534262,7.147180000000001,0.34016838771408336,6.496,0.12541929676090535,0.40199999999999997,0.274,0.012
v9,dqn,0.8,5,0.502,0.09731392500562291,8.872660000000003,0.9343726467528893,7.087999999999999,0.4482967767004351,0.296,0.186,0.016
v9,dqn,1.0,5,0.46399999999999997,0.07765307463326872,8.538620000000002,0.7650597800172237,6.9879999999999995,0.3749266594948936,0.332,0.186,0.018
v9,dqn,1.2,5,0.37,0.04898979485566356,7.593639999999999,0.46919985400679914,6.546000000000001,0.24694128856876088,0.376,0.246,0.008
v9,dqn,1.4,5,0.31,0.055677643628300216,6.952040000000002,0.5329958752185631,6.304,0.2668894902389375,0.418,0.254,0.018
v9,ppo,0.8,5,0.49000000000000005,0.0418330013267038,8.974700000000002,0.3933044876428452,7.184,0.18555322686496176,0.348,0.162,0.0
v9,ppo,1.0,5,0.5,0.0758287544405155,9.12384,0.6800502540253912,7.298,0.18512158166999318,0.308,0.186,0.006
v9,ppo,1.2,5,0.386,0.06913754406977442,8.190879999999998,0.5971910431344406,7.0200000000000005,0.1839836949297411,0.446,0.16599999999999998,0.002
v9,ppo,1.4,5,0.278,0.058051701094799985,7.020260000000002,0.7093892499890295,6.498,0.37870833104118506,0.532,0.186,0.004
v9,qrdqn,0.8,5,0.322,0.03271085446759225,7.144300000000004,0.47919346301885224,6.62,0.22192341021172196,0.394,0.248,0.036000000000000004
v9,qrdqn,1.0,5,0.33599999999999997,0.06308724118234998,7.183020000000004,0.4794727802493079,6.587999999999999,0.12357184145265461,0.354,0.272,0.038
v9,qrdqn,1.2,5,0.272,0.08228000972289684,6.375060000000003,0.5934051508033942,6.188000000000001,0.19331321734428816,0.392,0.29,0.046
v9,qrdqn,1.4,5,0.27,0.024494897427831785,6.508320000000003,0.4229372967710436,6.35,0.11979148550710914,0.396,0.286,0.048
v9,trpo,0.8,5,0.484,0.10853570840972109,8.960920000000002,1.0066592010208824,7.234,0.401907949660118,0.302,0.21000000000000002,0.004
v9,trpo,1.0,5,0.49000000000000005,0.06782329983125267,9.049680000000004,0.6667580198242846,7.3,0.32810059433045835,0.296,0.20600000000000002,0.008
v9,trpo,1.2,5,0.40599999999999997,0.07503332592921627,8.310740000000003,0.6952706688765197,7.023999999999999,0.2750999818247903,0.392,0.202,0.0
v9,trpo,1.4,5,0.28600000000000003,0.0618869937870632,7.099000000000002,0.7315054579427276,6.566,0.40432660065842807,0.462,0.244,0.008
