environment,algorithm,training_seed,speed_scale,success_rate,avg_reward,avg_max_row,road_collision_rate,drowning_rate,timeout_rate
v9,qrdqn,1,1.4,0.25,6.351700000000005,6.3,0.42,0.29,0.04
v9,qrdqn,2,0.8,0.34,7.385100000000008,6.58,0.36,0.3,0.0
v9,qrdqn,2,1.0,0.37,7.702900000000007,6.73,0.38,0.25,0.0
v9,qrdqn,2,1.2,0.28,6.666300000000003,6.21,0.43,0.29,0.0
v9,qrdqn,2,1.4,0.28,6.952800000000001,6.46,0.41,0.31,0.0
v9,qrdqn,3,0.8,0.35,7.339500000000006,6.65,0.35,0.26,0.04
v9,qrdqn,3,1.0,0.41,7.638900000000006,6.7,0.23,0.3,0.06
v9,qrdqn,3,1.2,0.35,7.0176000000000025,6.36,0.21,0.4,0.04
v9,qrdqn,3,1.4,0.3,6.405000000000008,6.21,0.3,0.33,0.07
v9,qrdqn,4,0.8,0.27,6.341800000000002,6.27,0.45,0.21,0.07
v9,qrdqn,4,1.0,0.33,6.789800000000005,6.46,0.37,0.21,0.09
v9,qrdqn,4,1.2,0.33,6.292500000000003,6.34,0.41,0.09,0.17
v9,qrdqn,4,1.4,0.24,5.933500000000006,6.29,0.46,0.18,0.12
v10,ppo,0,0.8,0.52,9.224800000000002,7.27,0.29,0.19,0.0
v10,ppo,0,1.0,0.54,9.8033,7.72,0.26,0.2,0.0
v10,ppo,0,1.2,0.45,8.8813,7.33,0.34,0.21,0.0
v10,ppo,0,1.4,0.29,7.1793000000000005,6.56,0.48,0.23,0.0
v10,ppo,1,0.8,0.46,8.619500000000002,7.05,0.36,0.17,0.01
v10,ppo,1,1.0,0.45,8.603000000000003,7.04,0.38,0.17,0.0
v10,ppo,1,1.2,0.42,8.394799999999998,7.05,0.43,0.14,0.01
v10,ppo,1,1.4,0.27,6.766800000000002,6.27,0.56,0.17,0.0
v10,ppo,2,0.8,0.48,8.799900000000001,7.06,0.32,0.2,0.0
v10,ppo,2,1.0,0.49,9.083800000000002,7.27,0.36,0.15,0.0
v10,ppo,2,1.2,0.36,7.817099999999999,6.76,0.47,0.17,0.0
v10,ppo,2,1.4,0.28,7.069300000000001,6.54,0.48,0.23,0.01
v10,ppo,3,0.8,0.48,8.9464,7.2,0.36,0.16,0.0
v10,ppo,3,1.0,0.41,8.2909,7.0,0.4,0.18,0.01
v10,ppo,3,1.2,0.41,8.482599999999998,7.15,0.47,0.12,0.0
v10,ppo,3,1.4,0.32,7.7299,6.92,0.52,0.16,0.0
v10,ppo,4,0.8,0.51,9.210900000000004,7.39,0.3,0.18,0.01
v10,ppo,4,1.0,0.54,9.345400000000003,7.38,0.29,0.15,0.02
v10,ppo,4,1.2,0.48,8.869500000000007,7.26,0.34,0.16,0.02
v10,ppo,4,1.4,0.33,7.438700000000004,6.61,0.42,0.25,0.0
v10,trpo,0,0.8,0.62,9.990200000000003,7.46,0.22,0.16,0.0
v10,trpo,0,1.0,0.57,9.721400000000004,7.49,0.22,0.21,0.0
v10,trpo,0,1.2,0.46,8.648300000000003,7.11,0.24,0.29,0.01
v10,trpo,0,1.4,0.36,7.6213,6.69,0.39,0.24,0.01
v10,trpo,1,0.8,0.5,9.161700000000002,7.34,0.38,0.12,0.0
v10,trpo,1,1.0,0.48,8.661200000000001,7.08,0.29,0.2,0.03
v10,trpo,1,1.2,0.37,7.6998,6.67,0.4,0.22,0.01
v10,trpo,1,1.4,0.29,6.978800000000003,6.38,0.43,0.28,0.0
v10,trpo,2,0.8,0.5,9.113200000000008,7.38,0.35,0.13,0.02
v10,trpo,2,1.0,0.53,9.512900000000004,7.49,0.32,0.15,0.0
v10,trpo,2,1.2,0.4,8.167,6.98,0.39,0.2,0.01
v10,trpo,2,1.4,0.29,6.993400000000001,6.47,0.38,0.32,0.01
v10,trpo,3,0.8,0.47,8.844500000000004,7.24,0.39,0.13,0.01
v10,trpo,3,1.0,0.48,8.7995,7.19,0.37,0.13,0.02
v10,trpo,3,1.2,0.39,8.202,7.08,0.38,0.22,0.01
v10,trpo,3,1.4,0.29,6.775800000000004,6.4,0.42,0.25,0.04
v10,trpo,4,0.8,0.49,9.074200000000008,7.32,0.41,0.1,0.0
v10,trpo,4,1.0,0.61,10.263000000000003,7.76,0.28,0.11,0.0
v10,trpo,4,1.2,0.46,8.977699999999997,7.41,0.37,0.16,0.01
v10,trpo,4,1.4,0.33,7.366600000000001,6.54,0.39,0.28,0.0
v10,dqn,0,0.8,0.31,6.820400000000002,6.08,0.44,0.25,0.0
v10,dqn,0,1.0,0.39,7.583000000000002,6.36,0.41,0.2,0.0
v10,dqn,0,1.2,0.31,7.0503,6.35,0.34,0.34,0.01
v10,dqn,0,1.4,0.19,5.904900000000002,5.87,0.46,0.35,0.0
v10,dqn,1,0.8,0.38,7.7223000000000015,6.66,0.37,0.23,0.02
v10,dqn,1,1.0,0.41,8.184500000000002,6.85,0.32,0.27,0.0
v10,dqn,1,1.2,0.29,6.926599999999996,6.3,0.46,0.25,0.0
v10,dqn,1,1.4,0.29,6.918899999999997,6.29,0.45,0.26,0.0
v10,dqn,2,0.8,0.57,9.619000000000009,7.37,0.26,0.17,0.0
