environment,algorithm,training_seed,checkpoint_steps,evaluation_episodes,eval_seed_start,successes,success_rate,collisions,collision_rate,timeouts,timeout_rate,avg_reward,avg_episode_length,avg_max_row,avg_success_episode_length,avg_failure_episode_length,wait_pct,forward_pct,backward_pct,left_pct,right_pct,collision_row_1,collision_row_3,model_path
v6_local3,qrdqn,2,200000,100,1000,0,0.0,22,0.22,78,0.78,-1.6703999999999926,83.04,3.28,0.0,83.04,0.03070809248554913,0.04214836223506744,0.003973988439306358,0.06936416184971098,0.8538053949903661,0,13,results/runs/v6_local3/qrdqn_50q_seed2/checkpoints/qrdqn_50q_seed2_200000_steps
v6_local3,qrdqn,2,400000,100,1000,14,0.14,72,0.72,14,0.14,5.059700000000007,42.03,6.2,43.857142857142854,41.73255813953488,0.5389007851534618,0.15346181299072092,0.01617891981917678,0.09992862241256245,0.19152985962407804,0,6,results/runs/v6_local3/qrdqn_50q_seed2/checkpoints/qrdqn_50q_seed2_400000_steps
v6_local3,qrdqn,2,600000,100,1000,19,0.19,60,0.6,21,0.21,5.47250000000001,57.75,6.75,69.10526315789474,55.08641975308642,0.07878787878787878,0.13142857142857142,0.022857142857142857,0.4438095238095238,0.32311688311688314,0,2,results/runs/v6_local3/qrdqn_50q_seed2/checkpoints/qrdqn_50q_seed2_600000_steps
v6_local3,qrdqn,2,800000,100,1000,20,0.2,79,0.79,1,0.01,6.468100000000005,30.19,6.61,36.9,28.5125,0.23517721099701888,0.23882080158993044,0.02616760516727393,0.13183173236170917,0.36800264988406756,0,4,results/runs/v6_local3/qrdqn_50q_seed2/checkpoints/qrdqn_50q_seed2_800000_steps
v6_local3,qrdqn,2,1000000,100,1000,39,0.39,60,0.6,1,0.01,8.269400000000005,26.06,7.23,29.564102564102566,23.81967213114754,0.07981580966999233,0.29892555640828855,0.03683806600153492,0.3081350729086723,0.2762854950115119,0,1,results/runs/v6_local3/qrdqn_50q_seed2/final_model
