environment,algorithm,training_seed,checkpoint_steps,evaluation_episodes,eval_seed_start,successes,success_rate,collisions,collision_rate,timeouts,timeout_rate,avg_reward,avg_episode_length,avg_max_row,avg_success_episode_length,avg_failure_episode_length,wait_pct,forward_pct,backward_pct,left_pct,right_pct,collision_row_1,collision_row_3,model_path
v6_local3,ppo,1,200000,100,1000,20,0.2,80,0.8,0,0.0,6.477099999999998,10.29,6.38,13.0,9.6125,0.17881438289601556,0.620019436345967,0.0009718172983479105,0.01749271137026239,0.1827016520894072,0,5,results/runs/v6_local3/ppo_seed1/checkpoints/ppo_seed1_200000_steps
v6_local3,ppo,1,400000,100,1000,35,0.35,65,0.65,0,0.0,8.072199999999999,12.78,7.1,17.857142857142858,10.046153846153846,0.3192488262910798,0.5555555555555556,0.0,0.012519561815336464,0.11267605633802817,0,2,results/runs/v6_local3/ppo_seed1/checkpoints/ppo_seed1_400000_steps
v6_local3,ppo,1,600000,100,1000,63,0.63,37,0.37,0,0.0,10.552599999999998,14.74,7.92,17.0,10.891891891891891,0.257123473541384,0.5373134328358209,0.0,0.08005427408412483,0.1255088195386703,0,2,results/runs/v6_local3/ppo_seed1/checkpoints/ppo_seed1_600000_steps
v6_local3,ppo,1,800000,100,1000,77,0.77,23,0.23,0,0.0,11.742100000000004,17.79,8.3,19.571428571428573,11.826086956521738,0.23159078133783023,0.46655424395727935,0.0022484541877459247,0.12422709387296234,0.17537942664418213,0,0,results/runs/v6_local3/ppo_seed1/checkpoints/ppo_seed1_800000_steps
v6_local3,ppo,1,1000000,100,1000,75,0.75,25,0.25,0,0.0,11.610899999999997,16.91,8.28,17.92,13.88,0.21880544056771142,0.48965109402720286,0.018332347723240685,0.09934949733885275,0.17386162034299232,0,1,results/runs/v6_local3/ppo_seed1/final_model
