#{"t_start": 1787339294.803288, "env_id": "None"}
r,l,t
-0.04,4,0.454917
0.94,6,0.457051
1.81,19,0.463328
1.84,16,0.469342
-0.03,3,0.470631
-0.08,8,0.473255
-0.07,7,0.475955
-0.03,3,0.477113
-0.1,10,0.48043
0.69,31,0.490693
-0.04,4,0.492124
-0.2,20,0.701485
-0.1,10,0.704874
-0.02,2,0.705616
1.89,11,0.709271
-0.15,15,0.714468
-0.03,3,0.71554
-0.15,15,0.720341
-0.17,17,0.72572
-0.06,6,0.727714
-0.18,18,0.733458
-0.02,2,0.734257
1.93,7,0.73656
-0.02,2,0.737295
-0.01,1,0.737709
-0.22,22,0.869893
-0.12,12,0.874096
0.89,11,0.878096
-0.02,2,0.878927
0.87,13,0.883295
-0.04,4,0.884662
-0.04,4,0.886027
-0.07,7,0.889046
-0.04,4,0.890503
1.86,14,0.895337
-0.01,1,0.895793
-0.05,5,0.897794
1.7,30,0.907691
-0.01,1,0.908148
-0.08,8,0.910767
-0.02,2,0.911516
-0.04,4,0.91287
1.74,26,1.106748
0.9,10,1.110664
-0.11,11,1.114198
-0.02,2,1.114946
1.94,6,1.116909
1.93,7,1.119522
1.95,5,1.121252
1.82,18,1.127024
-0.01,1,1.127448
-0.15,15,1.132338
-0.04,4,1.133734
0.96,4,1.135126
-0.04,4,1.136502
1.87,13,1.140753
3.8,20,1.30907
-0.04,4,1.310506
1.93,7,1.313483
-0.15,15,1.318629
-0.07,7,1.321005
-0.05,5,1.322705
-0.04,4,1.324093
-0.01,1,1.324528
-0.07,7,1.326851
-0.01,1,1.327281
-0.02,2,1.328019
1.93,7,1.330344
1.84,16,1.335908
1.93,7,1.338373
-0.07,7,1.340791
0.95,5,1.342555
1.89,11,1.34625
-0.03,3,1.34734
0.9,10,1.478413
-0.04,4,1.479857
-0.02,2,1.480596
-0.08,8,1.483187
0.83,17,1.489772
-0.06,6,1.491812
-0.06,6,1.493838
1.86,14,1.498815
0.94,6,1.500945
-0.02,2,1.501698
-0.02,2,1.502439
-0.04,4,1.504591
1.94,6,1.506829
-0.02,2,1.50763
-0.06,6,1.509779
1.96,4,1.511428
1.88,12,1.515519
-0.01,1,1.516002
-0.02,2,1.516799
-0.03,3,1.517866
1.92,8,1.52088
-0.01,1,1.521318
3.87,13,1.652322
0.91,9,1.655362
-0.03,3,1.656434
1.71,29,1.665805
-0.04,4,1.667204
1.94,6,1.669425
1.9,10,1.673217
-0.02,2,1.674018
-0.06,6,1.676263
1.9,10,1.680579
0.94,6,1.682893
-0.02,2,1.683664
1.76,24,1.692135
1.76,24,1.875106
2.85,15,1.880608
-0.09,9,1.883748
-0.07,7,1.886294
-0.04,4,1.887826
-0.02,2,1.889211
0.92,8,1.892238
0.95,5,1.89519
1.94,6,1.897461
1.95,5,1.899904
-0.05,5,1.901741
-0.07,7,1.904773
1.96,4,1.90625
-0.02,2,1.907003
-0.17,17,1.914388
-0.08,8,1.917125
2.95,5,1.919564
-0.09,9,2.048332
1.97,3,2.04944
1.92,8,2.052048
-0.04,4,2.053396
1.94,6,2.055612
1.91,9,2.058632
4.84,16,2.063707
-0.05,5,2.065676
2.82,18,2.071699
3.92,8,2.074617
1.92,8,2.077556
-0.03,3,2.07913
1.97,3,2.080296
-0.03,3,2.081593
-0.03,3,2.082788
-0.04,4,2.084194
3.8,20,2.090889
3.87,13,2.231588
3.93,7,2.234207
1.94,6,2.236716
1.85,15,2.241628
-0.09,9,2.244609
-0.01,1,2.245052
1.94,6,2.247635
0.94,6,2.249868
-0.06,6,2.251905
-0.02,2,2.252741
1.85,15,2.258056
-0.01,1,2.258556
-0.13,13,2.263017
-0.05,5,2.264738
5.89,11,2.268777
-0.04,4,2.270142
1.9,10,2.38858
1.93,7,2.391017
3.93,7,2.393349
1.95,5,2.395086
-0.02,2,2.395823
-0.02,2,2.396557
5.86,14,2.401537
-0.04,4,2.402999
1.97,3,2.40425
