#{"t_start": 1787340841.9319758, "env_id": "None"}
r,l,t
-0.02,2,0.545504
-0.1,10,0.54863
-0.07,7,0.55129
1.66,34,0.563165
-0.08,8,0.566144
-0.02,2,0.566877
1.94,6,0.568674
-0.05,5,0.570641
-0.08,8,0.574012
-0.05,5,0.575623
-0.02,2,0.576283
-0.04,4,0.577481
-0.09,9,0.580372
-0.02,2,0.581053
-0.15,15,0.585254
-0.05,5,0.586744
-0.06,6,0.792287
-0.06,6,0.794384
-0.04,4,0.795647
-0.03,3,0.796592
-0.03,3,0.797541
1.91,9,0.800457
0.92,8,0.803121
-0.1,10,0.806451
-0.14,14,0.810784
-0.07,7,0.812887
1.95,5,0.814385
-0.06,6,0.816171
-0.13,13,0.81986
-0.09,9,0.823191
-0.11,11,0.826338
-0.04,4,0.827542
-0.12,12,0.831376
0.95,5,0.926856
-0.01,1,0.92732
0.72,28,0.935972
-0.04,4,0.937385
0.8,20,0.943212
-0.11,11,0.947069
-0.05,5,0.948757
-0.21,21,0.954721
-0.04,4,0.956545
-0.11,11,0.960291
-0.21,21,1.105558
1.94,6,1.107634
2.89,11,1.110873
-0.12,12,1.11471
1.87,13,1.119425
-0.03,3,1.120506
-0.02,2,1.121238
0.96,4,1.122517
1.82,18,1.128259
-0.08,8,1.130711
0.75,25,1.138191
1.86,14,1.142295
1.8,20,1.280351
1.86,14,1.284449
1.94,6,1.286231
1.83,17,1.291812
1.81,19,1.29784
-0.04,4,1.29969
-0.02,2,1.300572
3.83,17,1.305661
-0.12,12,1.309852
-0.01,1,1.310283
-0.04,4,1.311537
-0.06,6,1.313328
-0.06,6,1.315542
0.9,10,1.318656
-0.06,6,1.430109
-0.03,3,1.431169
0.94,6,1.432998
1.92,8,1.435362
1.94,6,1.437147
0.92,8,1.439598
-0.04,4,1.440817
-0.1,10,1.443694
0.92,8,1.44603
-0.11,11,1.44974
-0.04,4,1.451056
-0.01,1,1.451436
-0.03,3,1.452365
3.92,8,1.454973
3.85,15,1.459538
-0.19,19,1.465153
0.92,8,1.468165
-0.01,1,1.468622
-0.02,2,1.57911
0.94,6,1.581425
-0.02,2,1.58214
1.93,7,1.584509
-0.02,2,1.585286
-0.06,6,1.587239
-0.02,2,1.588374
-0.02,2,1.589322
1.89,11,1.592623
1.93,7,1.594685
0.97,3,1.595645
1.96,4,1.596888
-0.04,4,1.598613
-0.02,2,1.599309
1.93,7,1.601429
1.93,7,1.60351
-0.01,1,1.603887
-0.01,1,1.604257
1.88,12,1.607964
-0.01,1,1.608562
-0.04,4,1.609949
-0.02,2,1.610643
-0.05,5,1.612181
-0.06,6,1.614119
-0.05,5,1.615649
1.94,6,1.617425
-0.01,1,1.617802
-0.02,2,1.618449
1.92,8,1.62074
-0.06,6,1.715077
-0.05,5,1.71666
-0.02,2,1.71732
1.95,5,1.718822
-0.03,3,1.719753
3.91,9,1.722361
3.92,8,1.725095
-0.03,3,1.726084
1.94,6,1.727851
-0.01,1,1.728225
1.93,7,1.730248
-0.06,6,1.731982
-0.01,1,1.732365
-0.02,2,1.733002
-0.01,1,1.733362
-0.08,8,1.735626
-0.04,4,1.736809
-0.05,5,1.73825
-0.01,1,1.738614
-0.01,1,1.738975
1.96,4,1.740157
-0.01,1,1.740513
