#{"t_start": 1787327255.048471, "env_id": "None"}
r,l,t
-0.04,4,0.485992
-0.03,3,0.487404
-0.3,30,0.499914
0.77,23,0.508863
3.92,8,0.512145
-0.22,22,0.520831
-0.08,8,0.524089
-0.08,8,0.527125
1.92,8,0.530002
-0.1,10,0.534318
-0.02,2,0.535189
-0.01,1,0.535646
-0.05,5,1.039499
-0.05,5,1.041677
-0.11,11,1.04582
-0.05,5,1.048406
2.87,13,1.053877
1.9,10,1.0581
1.89,11,1.062148
1.9,10,1.065984
-0.14,14,1.071642
-0.06,6,1.074464
-0.03,3,1.075754
-0.01,1,1.076214
0.89,11,1.080846
1.91,9,1.084231
-0.08,8,1.087518
2.88,12,1.359977
1.92,8,1.362986
-0.05,5,1.365233
0.91,9,1.36936
-0.05,5,1.371391
-0.06,6,1.374309
-0.05,5,1.376238
1.75,25,1.385514
-0.01,1,1.386045
-0.18,18,1.393501
1.67,33,1.405757
1.87,13,1.934766
-0.18,18,1.941635
-0.1,10,1.945334
-0.05,5,1.947155
-0.06,6,1.950315
0.87,13,1.95563
-0.18,18,1.963371
-0.02,2,1.964277
-0.02,2,1.965376
-0.01,1,1.966262
1.93,7,1.96907
1.9,10,1.973087
-0.01,1,1.973865
-0.02,2,1.974911
-0.12,12,1.979188
-0.01,1,1.979641
-0.02,2,1.980424
-0.02,2,1.981201
-0.14,14,2.349122
-0.14,14,2.354439
-0.09,9,2.358302
-0.04,4,2.359911
-0.03,3,2.361086
-0.05,5,2.362913
-0.01,1,2.363361
-0.06,6,2.36576
0.96,4,2.367951
-0.03,3,2.369253
-0.03,3,2.370693
-0.02,2,2.371654
-0.11,11,2.377372
1.9,10,2.381124
-0.01,1,2.381597
1.95,5,2.383584
-0.06,6,2.385784
1.95,5,2.388297
-0.07,7,2.391919
-0.08,8,2.39486
1.93,7,2.397606
2.95,5,2.399752
-0.07,7,2.737923
-0.07,7,2.741907
3.93,7,2.744798
-0.07,7,2.747396
3.84,16,2.753838
1.96,4,2.755404
-0.01,1,2.755861
2.94,6,2.759067
2.94,6,2.761434
-0.02,2,2.762237
-0.1,10,2.7664
1.95,5,2.769099
-0.11,11,2.77454
1.92,8,2.777574
1.89,11,2.781493
1.96,4,2.783014
-0.01,1,2.78347
-0.01,1,2.783935
3.86,14,2.789551
-0.09,9,3.146866
1.89,11,3.152501
3.89,11,3.157416
3.91,9,3.160932
1.96,4,3.162452
1.94,6,3.164642
-0.01,1,3.165329
1.95,5,3.167291
0.97,3,3.168443
-0.03,3,3.169594
-0.01,1,3.170041
1.97,3,3.171205
1.96,4,3.172693
1.96,4,3.175083
-0.03,3,3.176527
5.89,11,3.180915
-0.02,2,3.181957
-0.01,1,3.18253
-0.03,3,3.183712
1.95,5,3.18553
1.92,8,3.18904
-0.03,3,3.190723
4.89,11,3.194738
1.95,5,3.196596
-0.02,2,3.197404
-0.02,2,3.198819
1.96,4,3.20055
1.94,6,3.470048
1.95,5,3.472011
-0.01,1,3.472478
3.93,7,3.475404
-0.01,1,3.475916
1.96,4,3.477965
1.94,6,3.480483
1.91,9,3.484312
-0.01,1,3.484835
-0.02,2,3.485637
1.94,6,3.488392
-0.02,2,3.489454
-0.06,6,3.491949
1.94,6,3.4942
-0.01,1,3.494838
3.94,6,3.497484
0.92,8,3.500645
1.97,3,3.501828
1.95,5,3.503649
1.95,5,3.505448
-0.01,1,3.505891
2.91,9,3.509697
-0.01,1,3.513708
1.96,4,3.515849
-0.01,1,3.516398
0.96,4,3.517887
1.97,3,3.519018
1.96,4,3.520496
3.95,5,3.522303
3.94,6,3.524992
1.96,4,3.762251
1.93,7,3.77376
-0.05,5,3.775968
3.94,6,3.778202
3.91,9,3.78167
3.93,7,3.784203
-0.01,1,3.784981
