episodes,successes,success_rate,collisions,collision_rate,timeouts,timeout_rate,avg_reward,avg_episode_length,avg_max_row,wait_pct,forward_pct,backward_pct,left_pct,right_pct,environment,algorithm,config,training_seed,checkpoint_steps
100,2,0.02,98,0.98,0,0.0,3.5895000000000006,5.05,4.52,0.0,0.8950495049504951,0.09306930693069307,0.011881188118811881,0.0,v6_local1,recurrent_ppo,ent01,0,200000
100,8,0.08,90,0.9,2,0.02,5.0373,28.27,5.92,0.7905907322249734,0.20940926777502653,0.0,0.0,0.0,v6_local1,recurrent_ppo,ent01,0,400000
