algorithm,training_seed,checkpoint_steps,evaluation_episodes,eval_seed_start,successes,success_rate,collisions,collision_rate,timeouts,timeout_rate,avg_reward,avg_episode_length,avg_max_row,avg_success_episode_length,avg_failure_episode_length,wait_pct,forward_pct,backward_pct,left_pct,right_pct,collision_row_1,collision_row_3,model_path
trpo,0,200000,100,1000,48,0.48,51,0.51,1,0.01,5.609899999999999,12.01,3.89,14.083333333333334,10.096153846153847,0.11990008326394672,0.32389675270607826,0.43963363863447125,0.027477102414654453,0.0890924229808493,2,49,results/runs/trpo_seed0/checkpoints/trpo_seed0_200000_steps
trpo,0,400000,100,1000,62,0.62,38,0.38,0,0.0,6.773000000000003,12.7,4.18,13.5,11.394736842105264,0.16220472440944883,0.3291338582677165,0.347244094488189,0.05748031496062992,0.10393700787401575,3,35,results/runs/trpo_seed0/checkpoints/trpo_seed0_400000_steps
trpo,0,600000,100,1000,63,0.63,35,0.35,2,0.02,6.778800000000003,14.12,4.22,13.793650793650794,14.675675675675675,0.2811614730878187,0.2988668555240793,0.2386685552407932,0.0708215297450425,0.11048158640226628,1,34,results/runs/trpo_seed0/checkpoints/trpo_seed0_600000_steps
trpo,0,800000,100,1000,65,0.65,34,0.34,1,0.01,6.954900000000002,11.51,4.21,11.107692307692307,12.257142857142858,0.21980886185925283,0.365768896611642,0.16246741963509992,0.09817549956559514,0.15377932232841007,3,31,results/runs/trpo_seed0/checkpoints/trpo_seed0_800000_steps
trpo,0,1000000,100,1000,73,0.73,26,0.26,1,0.01,7.573200000000005,11.68,4.35,11.232876712328768,12.88888888888889,0.1421232876712329,0.3724315068493151,0.2148972602739726,0.11044520547945205,0.1601027397260274,4,22,results/runs/trpo_seed0/final_model
