steps,success_rate,avg_reward,avg_episode_length,avg_max_row,collision_rate,timeout_rate,wait_pct,forward_pct,backward_pct,left_pct,right_pct
200000,0.11,4.541200000000001,7.88,4.96,0.89,0.0,0.28045685279187815,0.6294416243654822,0.0,0.0901015228426396,0.0
400000,0.19,5.373100000000002,17.69,5.45,0.8,0.01,0.060486150367439234,0.30808366308648955,0.0,0.5669869983041266,0.0644431882419446
600000,0.31,6.691800000000005,30.82,6.22,0.67,0.02,0.4390006489292667,0.2018170019467878,0.0,0.3591823491239455,0.0
800000,0.41,7.671800000000007,41.82,6.83,0.54,0.05,0.4294595887135342,0.1633189861310378,0.0,0.40722142515542803,0.0
1000000,0.43,8.342300000000003,32.77,7.21,0.54,0.03,0.164174549893195,0.22001830942935613,0.0,0.6158071406774489,0.0
