#{"t_start": 1787329158.1368918, "env_id": "None"}
r,l,t
-0.01,1,4.321573
-0.01,1,4.321968
1.95,5,4.3236
1.96,4,4.325154
1.96,4,4.32735
1.97,3,4.328468
5.93,7,4.330786
3.91,9,4.334009
1.96,4,4.335698
3.95,5,4.33768
-0.01,1,4.338116
-0.03,3,4.339204
-0.01,1,4.339611
-0.01,1,4.34001
-0.01,1,4.340411
1.96,4,4.341769
1.96,4,4.343305
1.97,3,4.344366
-0.02,2,4.345094
-0.02,2,4.34582
1.95,5,4.347496
3.95,5,4.349185
1.97,3,4.350242
1.94,6,4.669689
-0.03,3,4.67086
-0.02,2,4.671594
3.94,6,4.673616
-0.04,4,4.675065
3.94,6,4.677589
-0.03,3,4.678955
3.93,7,4.681395
-0.01,1,4.681829
-0.02,2,4.68268
1.95,5,4.684473
-0.02,2,4.685227
3.93,7,4.687529
1.96,4,4.689137
5.91,9,4.692387
-0.01,1,4.692865
1.96,4,4.694281
1.93,7,4.696611
1.96,4,4.697984
1.96,4,4.69934
13.9,10,4.703096
-0.01,1,4.70361
3.93,7,4.705949
1.97,3,4.706991
-0.02,2,4.707706
1.97,3,4.708722
3.94,6,4.711083
-0.02,2,4.711913
5.93,7,4.714278
-0.03,3,4.715324
-0.02,2,4.941265
3.95,5,4.943154
-0.03,3,4.944222
3.95,5,4.945916
3.93,7,4.948214
-0.02,2,4.948926
-0.02,2,4.949642
1.95,5,4.951595
-0.02,2,4.952372
-0.03,3,4.953414
1.97,3,4.954442
1.96,4,4.955774
1.97,3,4.956792
-0.01,1,4.95719
-0.02,2,4.957906
1.94,6,4.959863
5.92,8,4.963169
-0.04,4,4.964649
1.97,3,4.965731
5.93,7,4.968791
1.96,4,4.970286
-0.01,1,4.970853
-0.02,2,4.971635
1.97,3,4.972716
1.97,3,4.973923
-0.03,3,4.975192
-0.03,3,4.976266
3.93,7,4.978568
3.93,7,4.981129
5.93,7,4.983635
1.97,3,4.984732
1.95,5,4.986433
1.94,6,5.215371
1.97,3,5.216699
3.95,5,5.218761
1.96,4,5.220178
1.97,3,5.221226
5.92,8,5.22395
1.96,4,5.225618
1.96,4,5.227023
1.93,7,5.229384
-0.01,1,5.22981
1.97,3,5.230876
5.92,8,5.23375
3.95,5,5.235546
-0.02,2,5.236287
-0.01,1,5.236705
13.9,10,5.239999
3.93,7,5.242677
5.93,7,5.259762
-0.01,1,5.260312
-0.01,1,5.260835
-0.01,1,5.26215
-0.02,2,5.265663
-0.01,1,5.266144
3.95,5,5.267838
1.97,3,5.268887
3.93,7,5.271843
3.95,5,5.274167
-0.01,1,5.274668
5.92,8,5.277414
3.94,6,5.279443
3.92,8,5.509659
-0.02,2,5.510485
1.97,3,5.511557
1.96,4,5.512911
3.95,5,5.514575
-0.01,1,5.514987
3.92,8,5.517763
-0.01,1,5.518209
1.97,3,5.519271
5.92,8,5.521855
1.97,3,5.52288
-0.02,2,5.52359
1.96,4,5.524922
-0.01,1,5.525363
3.95,5,5.527144
1.97,3,5.528209
0.97,3,5.529274
-0.02,2,5.530017
1.97,3,5.531045
-0.01,1,5.531448
-0.01,1,5.531865
-0.01,1,5.532263
-0.01,1,5.532663
3.95,5,5.535281
5.91,9,5.538848
-0.02,2,5.539739
3.94,6,5.542309
-0.01,1,5.542778
5.92,8,5.54538
-0.02,2,5.546095
1.97,3,5.54719
1.97,3,5.548311
-0.02,2,5.549047
-0.01,1,5.549466
5.92,8,5.552088
-0.01,1,5.552498
3.94,6,5.554464
1.97,3,5.808588
1.97,3,5.809997
-0.01,1,5.810442
3.94,6,5.812484
1.94,6,5.814487
1.96,4,5.815839
5.93,7,5.818616
1.95,5,5.820404
3.94,6,5.822398
-0.02,2,5.823129
1.97,3,5.824171
13.91,9,5.827825
1.96,4,5.829367
1.96,4,5.830768
-0.01,1,5.831181
-0.02,2,5.831907
-0.01,1,5.83232
-0.01,1,5.832726
13.9,10,5.836087
3.95,5,5.838025
1.97,3,5.839129
1.97,3,5.840208
-0.01,1,5.840626
1.96,4,5.84217
-0.01,1,5.842656
1.94,6,5.844739
3.94,6,5.846785
5.93,7,5.849116
-0.01,1,5.84953
5.93,7,5.85199
-0.01,1,5.852428
3.95,5,5.854227
1.97,3,6.123587
5.93,7,6.126006
3.94,6,6.128015
1.97,3,6.129063
5.92,8,6.131625
3.94,6,6.134369
-0.01,1,6.13488
1.97,3,6.136088
-0.01,1,6.136572
1.97,3,6.137682
-0.01,1,6.138103
1.97,3,6.13916
-0.02,2,6.139892
5.93,7,6.142244
1.96,4,6.1436
1.96,4,6.144939
-0.01,1,6.145359
-0.02,2,6.146084
1.97,3,6.147119
3.95,5,6.148773
1.97,3,6.149821
1.97,3,6.151034
1.97,3,6.152128
5.92,8,6.15489
5.93,7,6.157271
3.94,6,6.160048
1.97,3,6.161355
1.97,3,6.162486
1.97,3,6.163582
3.94,6,6.165579
1.97,3,6.166763
-0.01,1,6.16733
3.95,5,6.169085
-0.01,1,6.169515
-0.02,2,6.410069
3.94,6,6.412682
-0.01,1,6.413234
1.95,5,6.41548
-0.01,1,6.416029
13.9,10,6.419991
-0.01,1,6.420454
3.94,6,6.422437
1.96,4,6.423789
3.94,6,6.426025
3.94,6,6.42809
-0.02,2,6.429093
-0.01,1,6.42971
3.95,5,6.431773
1.97,3,6.43284
-0.01,1,6.433256
1.97,3,6.434382
-0.02,2,6.435148
3.94,6,6.437116
-0.01,1,6.437518
3.95,5,6.43951
3.95,5,6.44155
-0.01,1,6.442057
1.97,3,6.443114
3.95,5,6.444772
1.96,4,6.44613
3.91,9,6.449281
1.95,5,6.452096
-0.01,1,6.452588
1.97,3,6.45379
1.97,3,6.455029
1.97,3,6.456177
-0.01,1,6.45662
-0.02,2,6.457472
-0.01,1,6.457922
-0.02,2,6.458994
-0.01,1,6.459656
5.93,7,6.748885
1.97,3,6.750248
3.93,7,6.752848
1.96,4,6.754228
3.95,5,6.755953
-0.01,1,6.756364
1.97,3,6.758016
1.96,4,6.759579
5.92,8,6.762255
1.97,3,6.763306
1.97,3,6.764345
13.9,10,6.767919
3.95,5,6.769661
1.96,4,6.771062
3.93,7,6.773374
-0.02,2,6.77423
1.96,4,6.775615
1.97,3,6.776656
1.97,3,6.778021
1.95,5,6.779792
3.92,8,6.782476
3.95,5,6.784317
1.97,3,6.785766
1.96,4,6.787735
-0.01,1,6.788237
3.95,5,6.790147
5.93,7,6.793084
1.97,3,6.794215
-0.01,1,6.794646
-0.02,2,6.795387
5.92,8,7.034331
-0.01,1,7.034826
5.93,7,7.037159
3.94,6,7.039155
-0.01,1,7.039593
-0.01,1,7.04005
3.94,6,7.042711
-0.01,1,7.043215
3.95,5,7.044958
-0.01,1,7.045383
1.97,3,7.046459
1.97,3,7.047511
3.94,6,7.049527
1.95,5,7.051322
1.97,3,7.052595
13.9,10,7.055888
1.97,3,7.056957
1.95,5,7.058834
-0.02,2,7.05964
1.96,4,7.061023
1.97,3,7.062073
