train_env,eval_env,algorithm,n_seeds,success_mean,success_std,reward_mean,reward_std,max_row_mean,max_row_std,road_collision_mean,drowning_mean,timeout_mean
v8,v9,dqn,5,0.02,0.01870828693386971,-0.05707999999999824,2.305126083753338,2.5140000000000002,0.8411777457826616,0.27999999999999997,0.39,0.31
v8,v9,ppo,5,0.11000000000000001,0.08276472678623424,2.2985000000000015,3.2107498181888903,3.904,1.3860122654579936,0.35,0.302,0.238
v8,v9,qrdqn,5,0.008,0.008366600265340755,-1.8854399999999991,2.1242170305785617,1.814,0.9565197331994779,0.20600000000000002,0.262,0.524
v8,v9,trpo,5,0.13999999999999999,0.04358898943540673,4.81004,0.9382152754032519,5.098000000000001,0.702687697344987,0.48600000000000004,0.37,0.004
v9,v8,dqn,5,0.76,0.10511898020814318,11.261920000000002,1.0763181044654064,7.804,0.46462888416455533,0.152,0.08800000000000001,0.0
v9,v8,ppo,5,0.702,0.08043631020876078,11.00928,0.859617322999017,7.946,0.3795787138394352,0.062,0.23399999999999999,0.002
v9,v8,qrdqn,5,0.534,0.1420563268566381,8.605600000000004,1.4380888898117532,6.636,0.6005663993265026,0.27,0.18000000000000002,0.016
v9,v8,trpo,5,0.762,0.15188811671753652,11.590119999999999,1.5408739442277557,8.254,0.6338611835410017,0.008,0.22400000000000003,0.006
