#{"t_start": 1787328354.86434, "env_id": "None"}
r,l,t
3.78,22,7.395627
-0.06,6,7.398344
-0.03,3,7.399583
-0.03,3,7.400738
0.93,7,7.40436
1.97,3,7.405568
-0.06,6,7.407778
-0.02,2,7.408572
-0.02,2,7.409368
-0.02,2,7.410161
-0.03,3,7.411294
-0.04,4,7.412774
1.94,6,7.415723
-0.01,1,7.416272
1.93,7,7.418973
-0.02,2,7.420073
1.92,8,7.423316
3.87,13,7.428479
3.94,6,7.430716
-0.1,10,7.434299
-0.02,2,7.435112
-0.01,1,7.435565
5.9,10,7.439554
5.83,17,7.747085
2.92,8,7.750672
1.97,3,7.751963
1.96,4,7.753693
1.93,7,7.756501
3.88,12,7.760911
-0.01,1,7.761457
-0.02,2,7.762415
1.94,6,7.764724
1.97,3,7.76592
-0.09,9,7.769302
1.9,10,7.773465
1.95,5,7.7754
3.81,19,7.784693
3.88,12,7.789012
1.94,6,7.79125
-0.05,5,7.793877
1.9,10,7.798375
-0.01,1,7.798883
1.97,3,7.800077
2.91,9,8.149513
1.95,5,8.151488
-0.03,3,8.152669
1.93,7,8.155254
-0.01,1,8.155714
1.96,4,8.157247
1.97,3,8.158768
-0.02,2,8.159658
1.92,8,8.163043
0.94,6,8.165248
1.97,3,8.166403
-0.04,4,8.16828
3.93,7,8.17149
-0.02,2,8.172497
3.92,8,8.175411
3.93,7,8.178014
1.96,4,8.179671
3.89,11,8.183668
1.92,8,8.186569
-0.01,1,8.187022
-0.05,5,8.18947
2.94,6,8.191878
3.93,7,8.194541
-0.03,3,8.196633
1.95,5,8.434819
1.96,4,8.436579
-0.01,1,8.437042
-0.01,1,8.43762
-0.03,3,8.43896
1.96,4,8.440551
1.96,4,8.442407
2.87,13,8.448925
5.88,12,8.453384
1.96,4,8.45543
-0.01,1,8.455996
1.9,10,8.459723
-0.03,3,8.460917
0.94,6,8.46341
3.91,9,8.467108
-0.03,3,8.46835
1.94,6,8.470617
-0.06,6,8.473048
-0.04,4,8.474603
1.95,5,8.476743
1.95,5,8.478666
-0.01,1,8.479211
1.95,5,8.481158
3.95,5,8.48304
-0.02,2,8.483854
1.94,6,8.486601
1.96,4,8.488292
-0.02,2,8.766611
0.96,4,8.768249
3.95,5,8.770126
-0.02,2,8.770927
3.89,11,8.775155
1.93,7,8.778148
1.96,4,8.781359
-0.01,1,8.78189
-0.01,1,8.782349
3.93,7,8.785321
3.94,6,8.787991
-0.02,2,8.788936
3.92,8,8.791989
-0.02,2,8.792828
-0.04,4,8.794369
3.89,11,8.798569
-0.01,1,8.79906
1.96,4,8.800572
-0.03,3,8.801724
13.83,17,8.808564
-0.02,2,8.809571
3.93,7,8.812164
1.97,3,8.813315
-0.02,2,8.814383
1.96,4,8.815944
1.96,4,8.817483
1.94,6,9.148049
1.96,4,9.149789
3.95,5,9.151743
-0.01,1,9.152243
3.94,6,9.154523
-0.01,1,9.154982
3.9,10,9.158697
0.94,6,9.160954
-0.02,2,9.161773
-0.02,2,9.162598
1.94,6,9.16484
-0.02,2,9.165649
2.93,7,9.168384
1.96,4,9.170028
0.96,4,9.17156
-0.01,1,9.172014
5.92,8,9.174985
-0.01,1,9.175437
-0.03,3,9.176763
5.91,9,9.18057
-0.02,2,9.181491
-0.02,2,9.182327
1.94,6,9.184548
2.92,8,9.187473
1.97,3,9.188619
-0.01,1,9.189276
13.84,16,9.195473
-0.07,7,9.517818
1.97,3,9.519176
3.94,6,9.521464
3.92,8,9.524422
1.94,6,9.527191
1.92,8,9.530206
-0.05,5,9.532115
3.94,6,9.534414
1.97,3,9.535954
-0.05,5,9.538143
-0.01,1,9.538638
1.97,3,9.539809
3.94,6,9.542022
1.96,4,9.543524
1.96,4,9.545024
1.91,9,9.54877
3.9,10,9.552519
-0.01,1,9.552979
1.97,3,9.55415
5.87,13,9.558871
-0.01,1,9.55944
-0.02,2,9.560344
-0.02,2,9.561197
3.92,8,9.564226
-0.01,1,9.564712
-0.01,1,9.565232
1.94,6,9.567931
3.92,8,9.850223
-0.03,3,9.851497
-0.04,4,9.853048
-0.08,8,9.855996
3.95,5,9.857878
-0.01,1,9.858333
-0.03,3,9.859578
-0.01,1,9.860145
1.94,6,9.862499
-0.01,1,9.862966
1.96,4,9.865653
-0.02,2,9.866606
3.95,5,9.868554
1.95,5,9.87077
1.94,6,9.873147
1.97,3,9.87435
-0.09,9,9.877728
5.9,10,9.881444
0.95,5,9.883345
-0.01,1,9.883799
1.96,4,9.885333
1.94,6,9.887592
-0.05,5,9.889611
-0.02,2,9.890432
3.91,9,9.8938
-0.01,1,9.894268
-0.06,6,9.896563
-0.03,3,9.897767
-0.02,2,9.89858
-0.01,1,9.899038
1.97,3,10.139956
-0.02,2,10.140893
1.96,4,10.142481
1.93,7,10.145519
1.97,3,10.146766
1.97,3,10.147926
-0.02,2,10.148981
1.96,4,10.150651
2.92,8,10.15362
1.97,3,10.154798
5.9,10,10.158454
5.91,9,10.162621
1.97,3,10.164032
1.97,3,10.165386
1.91,9,10.168631
3.92,8,10.172029
-0.01,1,10.172574
3.93,7,10.175301
1.96,4,10.176866
1.96,4,10.17841
-0.04,4,10.179975
1.92,8,10.183119
1.95,5,10.185027
-0.01,1,10.185508
-0.04,4,10.187365
3.93,7,10.190414
1.97,3,10.1916
1.94,6,10.419501
-0.04,4,10.421416
1.92,8,10.424446
0.93,7,10.427054
1.97,3,10.428225
1.95,5,10.430085
-0.04,4,10.43159
-0.01,1,10.43204
-0.01,1,10.432493
-0.01,1,10.432936
-0.03,3,10.434094
1.94,6,10.436307
-0.01,1,10.436755
1.96,4,10.43826
