#{"t_start": 1787347883.304877, "env_id": "None"}
r,l,t,success,collision,max_y
0.98,2,1.220373,False,True,2
0.93,7,1.221928,False,True,2
0.97,3,1.22264,False,True,2
0.81,19,1.226476,False,True,2
-0.01,1,1.2268,False,True,1
-0.01,1,1.227088,False,True,1
1.88,12,1.229643,False,True,3
0.89,11,1.232235,False,True,2
2.9,10,1.234276,False,True,4
-0.06,6,1.235531,False,True,1
2.92,8,1.237189,False,True,4
2.89,11,1.239359,False,True,4
1.95,5,1.240375,False,True,3
0.82,18,1.244303,False,True,2
0.92,8,1.245834,False,True,2
1.85,15,1.248636,False,True,3
2.3,70,1.262512,False,True,4
4.68,32,1.268629,False,True,6
2.82,18,1.271992,False,True,4
3.77,23,1.276249,False,True,5
1.51,49,1.285567,False,True,3
-0.01,1,1.285919,False,True,1
1.53,47,1.295643,False,True,3
0.9,10,1.297991,False,True,2
0.96,4,1.298858,False,True,2
1.91,9,1.300571,False,True,3
0.98,2,1.301009,False,True,2
0.89,11,1.303137,False,True,2
-0.05,5,1.30412,False,True,1
-0.06,6,1.305289,False,True,1
1.9,10,1.307378,False,True,3
0.84,16,1.310476,False,True,2
-0.02,2,1.310928,False,True,1
-0.01,1,1.3112,False,True,1
0.89,11,1.313318,False,True,2
0.96,4,1.314144,False,True,2
-0.07,7,1.315494,False,True,1
-0.02,2,1.315948,False,True,1
0.71,29,1.32161,False,True,2
0.95,5,1.322636,False,True,2
-0.12,12,1.324883,False,True,1
0.89,11,1.326937,False,True,2
2.82,18,1.330739,False,True,4
1.92,8,1.332498,False,True,3
0.89,11,1.334617,False,True,2
-0.06,6,1.335808,False,True,1
0.87,13,1.338293,False,True,2
-0.09,9,1.340271,False,True,1
-0.04,4,1.341184,False,True,1
-0.15,15,1.34406,False,True,1
0.92,8,1.34565,False,True,2
-0.07,7,1.347009,False,True,1
-0.18,18,1.350528,False,True,1
0.88,12,1.352895,False,True,2
0.82,18,1.356482,False,True,2
1.69,31,1.362556,False,True,3
1.46,54,1.373082,False,True,3
0.93,7,1.374487,False,True,2
3.85,15,1.377279,False,True,5
0.82,18,1.380626,False,True,2
1.76,24,1.385087,False,True,3
2.74,26,1.38992,False,True,4
0.96,4,1.390734,False,True,2
-0.07,7,1.392077,False,True,1
1.86,14,1.394692,False,True,3
0.71,29,1.400022,False,True,2
2.9,10,1.402067,False,True,4
0.89,11,1.404191,False,True,2
-0.15,15,1.406962,False,True,1
1.78,22,1.411071,False,True,3
-0.1,10,1.413266,False,True,1
4.83,17,1.416675,False,True,6
-0.09,9,1.41841,False,True,1
0.86,14,1.420998,False,True,2
0.46,54,1.430636,False,True,2
2.88,12,1.432863,False,True,4
1.94,6,1.434034,False,True,3
0.94,6,1.435198,False,True,2
0.9,10,1.437071,False,True,2
0.74,26,1.441746,False,True,2
1.71,29,1.447258,False,True,3
0.76,24,1.45175,False,True,2
3.73,27,1.45714,False,True,5
0.95,5,1.458165,False,True,2
-0.01,1,1.45844,False,True,1
-0.02,2,1.458886,False,True,1
1.81,19,1.462343,False,True,3
-0.01,1,1.462605,False,True,1
-0.04,4,1.463426,False,True,1
2.82,18,1.466834,False,True,4
1.5,50,1.66849,False,True,3
-0.08,8,1.670125,False,True,1
0.85,15,1.672928,False,True,2
0.93,7,1.674281,False,True,2
2.54,46,1.682507,False,True,4
-0.18,18,1.685811,False,True,1
2.77,23,1.689975,False,True,4
0.63,37,1.697007,False,True,2
0.88,12,1.699354,False,True,2
-0.05,5,1.700371,False,True,1
-0.01,1,1.700647,False,True,1
1.87,13,1.703035,False,True,3
0.92,8,1.70496,False,True,2
-0.04,4,1.705943,False,True,1
3.37,63,1.717977,False,True,5
0.89,11,1.720258,False,True,2
3.23,77,1.734841,False,True,5
2.95,5,1.735931,False,True,4
1.91,9,1.737685,False,True,3
2.86,14,1.740602,False,True,4
2.81,19,1.744117,False,True,4
4.71,29,1.749401,False,True,6
-0.06,6,1.750554,False,True,1
0.93,7,1.751868,False,True,2
1.67,33,1.757776,False,True,3
1.78,22,1.761726,False,True,3
1.89,11,1.763714,False,True,3
0.94,6,1.764861,False,True,2
-0.07,7,1.766166,False,True,1
2.84,16,1.769081,False,True,4
-0.2,20,1.77265,False,True,1
1.79,21,1.776388,False,True,3
-0.02,2,1.776818,False,True,1
1.74,26,1.781956,False,True,3
0.97,3,1.782674,False,True,2
1.94,6,1.783859,False,True,3
3.81,19,1.787357,False,True,5
-0.13,13,1.789731,False,True,1
-0.03,3,1.790373,False,True,1
-0.06,6,1.79176,False,True,1
1.71,29,1.797166,False,True,3
-0.05,5,1.798191,False,True,1
2.62,38,1.80517,False,True,4
0.95,5,1.806191,False,True,2
0.95,5,1.807184,False,True,2
1.68,32,1.813077,False,True,3
-0.02,2,1.813529,False,True,1
3.88,12,1.81579,False,True,5
-0.02,2,1.816229,False,True,1
-0.06,6,1.817394,False,True,1
2.43,57,1.828136,False,True,4
3.67,33,1.834939,False,True,5
0.95,5,1.835987,False,True,2
-0.04,4,1.836795,False,True,1
-0.12,12,1.839234,False,True,1
1.75,25,1.844361,False,True,3
-0.2,20,1.848085,False,True,1
1.97,3,1.84872,False,True,3
3.83,17,1.85213,False,True,5
3.91,9,1.854096,False,True,5
-0.03,3,1.854838,False,True,1
2.72,28,1.860154,False,True,4
2.82,18,1.864208,False,True,4
0.97,3,1.864844,False,True,2
0.91,9,1.866592,False,True,2
0.72,28,1.87182,False,True,2
1.86,14,1.874671,False,True,3
1.85,15,1.877499,False,True,3
1.78,22,1.881834,False,True,3
1.96,4,1.882644,False,True,3
1.52,48,1.891299,False,True,3
0.84,16,1.894361,False,True,2
-0.01,1,1.894649,False,True,1
3.76,24,1.899097,False,True,5
3.8,20,1.903331,False,True,5
-0.04,4,1.904246,False,True,1
1.93,7,1.9056,False,True,3
1.82,18,1.909071,False,True,3
4.73,27,1.914533,False,True,6
-0.04,4,1.915395,False,True,1
-0.03,3,1.916034,False,True,1
-0.06,6,1.917234,False,True,1
-0.02,2,1.917689,False,True,1
0.88,12,1.919922,False,True,2
3.66,34,1.92638,False,True,5
0.94,6,1.927599,False,True,2
0.97,3,1.928235,False,True,2
-0.1,10,1.930133,False,True,1
0.89,11,1.932191,False,True,2
1.78,22,1.93623,False,True,3
2.89,11,1.938343,False,True,4
0.79,21,1.94222,False,True,2
2.88,12,1.944823,False,True,4
4.85,15,1.947823,False,True,6
-0.03,3,1.948481,False,True,1
0.87,13,1.950972,False,True,2
2.85,15,1.953751,False,True,4
1.7,30,1.959738,False,True,3
1.95,5,1.960778,False,True,3
0.86,14,1.963566,False,True,2
2.88,12,1.966075,False,True,4
-0.01,1,1.96637,False,True,1
1.86,14,1.969023,False,True,3
3.89,11,1.971094,False,True,5
1.7,30,1.976774,False,True,3
1.73,27,1.982116,False,True,3
2.92,8,1.983759,False,True,4
2.71,29,1.989479,False,True,4
-0.08,8,1.991061,False,True,1
1.86,14,1.993682,False,True,3
0.95,5,1.994796,False,True,2
0.74,26,1.999781,False,True,2
-0.06,6,2.000982,False,True,1
1.85,15,2.003764,False,True,3
0.96,4,2.004573,False,True,2
1.62,38,2.011374,False,True,3
-0.06,6,2.012568,False,True,1
1.88,12,2.014966,False,True,3
1.91,9,2.016893,False,True,3
-0.13,13,2.019592,False,True,1
-0.06,6,2.020875,False,True,1
3.8,20,2.024537,False,True,5
-0.08,8,2.026043,False,True,1
0.96,4,2.026883,False,True,2
2.47,53,2.036725,False,True,4
0.81,19,2.040258,False,True,2
0.95,5,2.041473,False,True,2
3.78,22,2.045761,False,True,5
-0.06,6,2.046968,False,True,1
1.93,7,2.048379,False,True,3
5.92,8,2.049924,False,True,7
-0.04,4,2.050742,False,True,1
-0.07,7,2.052116,False,True,1
0.78,22,2.056199,False,True,2
1.94,6,2.057384,False,True,3
-0.08,8,2.249595,False,True,1
-0.11,11,2.25184,False,True,1
0.8,20,2.255572,False,True,2
1.84,16,2.258594,False,True,3
2.9,10,2.260472,False,True,4
1.9,10,2.262355,False,True,3
5.82,18,2.265626,False,True,7
-0.1,10,2.267497,False,True,1
0.95,5,2.268491,False,True,2
1.85,15,2.271253,False,True,3
1.95,5,2.272237,False,True,3
1.74,26,2.277235,False,True,3
2.48,52,2.287751,False,True,4
3.92,8,2.289405,False,True,5
4.85,15,2.292232,False,True,6
-0.12,12,2.2945,False,True,1
2.58,42,2.302599,False,True,4
3.83,17,2.3059,False,True,5
0.96,4,2.306728,False,True,2
1.85,15,2.309574,False,True,3
-0.1,10,2.311479,False,True,1
-0.06,6,2.312659,False,True,1
2.74,26,2.317507,False,True,4
0.87,13,2.320199,False,True,2
2.86,14,2.32288,False,True,4
-0.06,6,2.324035,False,True,1
3.81,19,2.327562,False,True,5
2.94,6,2.329031,False,True,4
0.97,3,2.329761,False,True,2
2.87,13,2.332375,False,True,4
-0.07,7,2.333743,False,True,1
0.84,16,2.336707,False,True,2
1.94,6,2.33787,False,True,3
1.89,11,2.340256,False,True,3
-0.06,6,2.3416,False,True,1
-0.12,12,2.343882,False,True,1
-0.01,1,2.344161,False,True,1
0.97,3,2.344795,False,True,2
-0.09,9,2.346479,False,True,1
-0.03,3,2.347122,False,True,1
3.71,29,2.352387,False,True,5
1.89,11,2.35445,False,True,3
0.91,9,2.356156,False,True,2
1.89,11,2.358187,False,True,3
0.98,2,2.358637,False,True,2
-0.03,3,2.359254,False,True,1
1.92,8,2.360785,False,True,3
2.92,8,2.362338,False,True,4
4.55,45,2.37075,False,True,6
1.91,9,2.372453,False,True,3
2.91,9,2.374374,False,True,4
5.87,13,2.376925,False,True,7
-0.06,6,2.37815,False,True,1
0.9,10,2.380074,False,True,2
-0.01,1,2.380369,False,True,1
-0.12,12,2.382974,False,True,1
-0.09,9,2.384998,False,True,1
1.91,9,2.386787,False,True,3
0.94,6,2.38797,False,True,2
3.71,29,2.393368,False,True,5
1.94,6,2.394551,False,True,3
3.82,18,2.397914,False,True,5
1.81,19,2.401434,False,True,3
2.86,14,2.404382,False,True,4
0.91,9,2.406218,False,True,2
0.88,12,2.40852,False,True,2
6.53,47,2.417466,False,True,8
3.81,19,2.421088,False,True,5
-0.04,4,2.42199,False,True,1
4.88,12,2.424346,False,True,6
-0.06,6,2.425552,False,True,1
1.86,14,2.428162,False,True,3
1.93,7,2.429508,False,True,3
3.85,15,2.432584,False,True,5
1.83,17,2.435961,False,True,3
2.84,16,2.438972,False,True,4
0.94,6,2.440169,False,True,2
1.82,18,2.44353,False,True,3
3.74,26,2.448744,False,True,5
1.88,12,2.451145,False,True,3
2.94,6,2.452354,False,True,4
-0.05,5,2.45338,False,True,1
1.67,33,2.45983,False,True,3
1.91,9,2.461534,False,True,3
0.9,10,2.463416,False,True,2
3.94,6,2.464807,False,True,5
5.75,25,2.469519,False,True,7
0.85,15,2.472271,False,True,2
0.78,22,2.476451,False,True,2
2.9,10,2.478331,False,True,4
-0.06,6,2.479529,False,True,1
-0.05,5,2.48051,False,True,1
-0.01,1,2.480921,False,True,1
-0.01,1,2.481402,False,True,1
0.97,3,2.482391,False,True,2
0.94,6,2.483592,False,True,2
1.97,3,2.484216,False,True,3
2.82,18,2.487479,False,True,4
0.95,5,2.488461,False,True,2
0.98,2,2.488901,False,True,2
-0.03,3,2.489513,False,True,1
0.97,3,2.490147,False,True,2
0.96,4,2.491237,False,True,2
-0.01,1,2.491714,False,True,1
-0.05,5,2.492803,False,True,1
0.92,8,2.49439,False,True,2
4.89,11,2.496519,False,True,6
-0.02,2,2.496974,False,True,1
2.93,7,2.498329,False,True,4
2.85,15,2.501374,False,True,4
3.75,25,2.506146,False,True,5
0.84,16,2.509101,False,True,2
-0.08,8,2.510618,False,True,1
-0.02,2,2.511056,False,True,1
1.88,12,2.513263,False,True,3
6.77,23,2.517406,False,True,8
-0.07,7,2.518752,False,True,1
-0.07,7,2.520072,False,True,1
1.78,22,2.524062,False,True,3
-0.04,4,2.524853,False,True,1
0.85,15,2.527813,False,True,2
1.89,11,2.529862,False,True,3
-0.1,10,2.53172,False,True,1
-0.01,1,2.531973,False,True,1
1.75,25,2.536438,False,True,3
1.58,42,2.544716,False,True,3
1.91,9,2.546522,False,True,3
0.98,2,2.54698,False,True,2
2.91,9,2.548752,False,True,4
-0.01,1,2.549045,False,True,1
3.76,24,2.553439,False,True,5
-0.02,2,2.553889,False,True,1
0.73,27,2.558743,False,True,2
3.84,16,2.561669,False,True,5
-0.1,10,2.563513,False,True,1
3.75,25,2.568257,False,True,5
1.97,3,2.568974,False,True,3
2.88,12,2.571261,False,True,4
2.82,18,2.574623,False,True,4
2.78,22,2.57887,False,True,4
1.84,16,2.582179,False,True,3
2.7,30,2.587716,False,True,4
2.91,9,2.589706,False,True,4
3.72,28,2.594933,False,True,5
3.75,25,2.599627,False,True,5
1.67,33,2.605637,False,True,3
-0.05,5,2.606616,False,True,1
1.5,50,2.616109,False,True,3
-0.07,7,2.617472,False,True,1
2.79,21,2.621498,False,True,4
1.79,21,2.625523,False,True,3
1.81,19,2.629038,False,True,3
-0.05,5,2.630203,False,True,1
0.79,21,2.634134,False,True,2
-0.12,12,2.636408,False,True,1
1.85,15,2.639248,False,True,3
-0.05,5,2.640242,False,True,1
4.55,45,2.842236,False,True,6
-0.03,3,2.842921,False,True,1
3.82,18,2.846216,False,True,5
-0.01,1,2.846481,False,True,1
1.84,16,2.849866,False,True,3
2.73,27,2.855032,False,True,4
1.89,11,2.857482,False,True,3
-0.02,2,2.857987,False,True,1
0.86,14,2.861069,False,True,2
-0.06,6,2.862408,False,True,1
-0.01,1,2.862683,False,True,1
-0.05,5,2.863864,False,True,1
2.71,29,2.869306,False,True,4
2.92,8,2.870931,False,True,4
