environment,algorithm,training_seed,checkpoint_steps,evaluation_episodes,eval_seed_start,successes,success_rate,collisions,collision_rate,timeouts,timeout_rate,avg_reward,avg_episode_length,avg_max_row,avg_success_episode_length,avg_failure_episode_length,wait_pct,forward_pct,backward_pct,left_pct,right_pct,collision_row_1,collision_row_3,model_path
v7,trpo,1,200000,100,10000,10,0.1,90,0.9,0,0.0,5.6235,9.65,6.12,14.2,9.144444444444444,0.17202072538860103,0.6621761658031088,0.0766839378238342,0.06735751295336788,0.021761658031088083,0,3,results/runs/v7/trpo_seed1/checkpoints/trpo_seed1_200000_steps
v7,trpo,1,400000,100,10000,26,0.26,74,0.74,0,0.0,7.4041999999999994,13.58,6.98,20.5,11.14864864864865,0.27466863033873345,0.5368188512518409,0.027982326951399118,0.16053019145802652,0.0,0,1,results/runs/v7/trpo_seed1/checkpoints/trpo_seed1_400000_steps
v7,trpo,1,600000,100,10000,36,0.36,64,0.64,0,0.0,8.519400000000005,16.06,7.52,19.52777777777778,14.109375,0.3804483188044832,0.48816936488169366,0.024906600249066,0.10647571606475716,0.0,0,0,results/runs/v7/trpo_seed1/checkpoints/trpo_seed1_600000_steps
v7,trpo,1,800000,100,10000,40,0.4,55,0.55,5,0.05,8.583300000000005,25.67,7.64,26.25,25.283333333333335,0.6229061160888196,0.31827035449941565,0.022984028048305415,0.03583950136345929,0.0,0,0,results/runs/v7/trpo_seed1/checkpoints/trpo_seed1_800000_steps
v7,trpo,1,1000000,100,10000,50,0.5,42,0.42,8,0.08,9.109600000000006,36.04,7.79,37.38,34.7,0.6989456159822419,0.2397336293007769,0.02830188679245283,0.0330188679245283,0.0,0,1,results/runs/v7/trpo_seed1/final_model
