#{"t_start": 1787335010.225128, "env_id": "None"}
r,l,t
5.91,9,3.352096
3.94,6,3.354149
1.95,5,3.355835
13.87,13,3.365086
3.93,7,3.368813
1.97,3,3.371287
3.91,9,3.3751
13.88,12,3.381566
13.66,34,3.398539
13.73,27,3.57687
1.97,3,3.577898
1.97,3,3.579026
1.97,3,3.5803
3.81,19,3.585785
1.95,5,3.587336
5.92,8,3.589741
13.86,14,3.593849
1.97,3,3.594903
1.97,3,3.595929
3.93,7,3.598439
3.78,22,3.605843
1.93,7,3.60801
3.94,6,3.610078
1.97,3,3.73666
3.9,10,3.739718
5.92,8,3.74205
3.9,10,3.74499
1.97,3,3.745925
5.87,13,3.749607
13.86,14,3.753525
1.97,3,3.754451
3.95,5,3.755921
1.95,5,3.757374
5.87,13,3.761007
1.97,3,3.761913
13.84,16,3.766354
5.78,22,3.772514
3.95,5,3.893768
1.97,3,3.894784
3.92,8,3.897143
3.91,9,3.899735
1.95,5,3.901215
5.9,10,3.904096
1.97,3,3.905007
3.95,5,3.906469
5.91,9,3.909035
1.94,6,3.910761
5.77,23,3.917095
5.91,9,3.919637
1.93,7,3.921631
3.92,8,3.923909
1.97,3,3.924821
5.77,23,4.053877
1.97,3,4.054887
5.91,9,4.057472
13.76,24,4.064215
1.97,3,4.065285
5.93,7,4.067479
3.95,5,4.069039
3.91,9,4.071763
5.88,12,4.075507
5.92,8,4.077921
1.95,5,4.079452
1.96,4,4.080687
1.97,3,4.081664
1.97,3,4.082635
3.92,8,4.084932
1.94,6,4.086682
1.97,3,4.087592
3.92,8,4.089888
5.93,7,4.21982
3.7,30,4.228269
1.97,3,4.229207
3.93,7,4.231236
1.97,3,4.232166
5.85,15,4.236377
3.91,9,4.238957
1.97,3,4.23988
1.97,3,4.240801
1.97,3,4.241726
5.68,32,4.250621
-2.0,100,4.431699
5.89,11,4.436065
1.97,3,4.437074
13.12,88,4.781267
3.95,5,4.782802
5.68,32,4.791555
5.9,10,4.794397
5.92,8,4.796682
13.62,38,5.016606
3.91,9,5.019513
1.96,4,5.020811
1.95,5,5.022353
3.93,7,5.02451
3.91,9,5.027097
1.94,6,5.028832
3.91,9,5.031414
1.97,3,5.032419
13.51,49,5.046225
3.93,7,5.240244
3.93,7,5.242389
1.97,3,5.243337
5.78,22,5.249978
1.97,3,5.250993
