#{"t_start": 1787334344.7867079, "env_id": "None"}
r,l,t
1.84,16,0.466137
1.87,13,0.469948
-0.02,2,0.470626
-0.02,2,0.471275
-0.15,15,0.475816
0.96,4,0.477153
-0.01,1,0.477536
0.85,15,0.481895
3.75,25,0.488743
-0.13,13,0.492646
3.84,16,0.497155
-0.04,4,0.498349
-0.06,6,0.638364
-0.03,3,0.639447
-0.06,6,0.641249
-0.07,7,0.643299
-0.06,6,0.645052
-0.05,5,0.646841
1.81,19,0.652297
-0.03,3,0.653217
-0.05,5,0.654665
-0.13,13,0.658227
-0.02,2,0.658859
-0.21,21,0.665132
-0.02,2,0.665833
2.8,20,0.671768
1.8,20,0.796245
1.84,16,0.80075
-0.02,2,0.801391
-0.13,13,0.805809
-0.03,3,0.806997
-0.04,4,0.808277
-0.01,1,0.80866
-0.05,5,0.81021
-0.04,4,0.811427
-0.06,6,0.813244
-0.01,1,0.81365
-0.02,2,0.814389
-0.03,3,0.81544
-0.12,12,0.818907
-0.01,1,0.819291
1.88,12,0.823108
-0.05,5,0.825011
0.93,7,0.827124
-0.01,1,0.827515
-0.06,6,0.829251
-0.02,2,0.829893
-0.03,3,0.830788
-0.15,15,0.939338
-0.03,3,0.940345
-0.01,1,0.940724
1.63,37,0.950819
-0.01,1,0.951189
0.86,14,0.955094
1.79,21,0.961297
-0.08,8,0.963619
2.83,17,0.968855
1.9,10,0.971829
-0.09,9,0.974583
-0.02,2,0.975256
-0.02,2,1.156054
-0.04,4,1.157708
-0.07,7,1.159919
0.96,4,1.161155
-0.12,12,1.164491
-0.03,3,1.165847
1.83,17,1.17073
1.88,12,1.174074
-0.15,15,1.178176
-0.02,2,1.17881
-0.02,2,1.179435
-0.09,9,1.181931
-0.05,5,1.183354
-0.19,19,1.188488
1.9,10,1.191245
0.9,10,1.302417
-0.06,6,1.304265
-0.05,5,1.305744
-0.12,12,1.309102
-0.04,4,1.310292
1.93,7,1.312731
3.71,29,1.321542
0.85,15,1.325701
1.95,5,1.327443
-0.14,14,1.331701
-0.09,9,1.334235
1.91,9,1.336817
1.91,9,1.33934
-0.05,5,1.494886
-0.03,3,1.495905
-0.04,4,1.497092
-0.06,6,1.498808
1.94,6,1.500506
-0.08,8,1.503231
-0.04,4,1.504572
1.75,25,1.511838
3.88,12,1.515157
1.92,8,1.517413
1.96,4,1.51857
-0.03,3,1.519464
0.97,3,1.520358
-0.04,4,1.521517
1.97,3,1.522418
1.95,5,1.523831
3.91,9,1.526329
1.86,14,1.530137
1.92,8,1.668616
-0.01,1,1.669064
-0.02,2,1.669703
1.97,3,1.670615
0.94,6,1.672321
3.88,12,1.675645
-0.04,4,1.677192
-0.01,1,1.677642
-0.04,4,1.678865
-0.03,3,1.67979
3.78,22,1.685766
2.88,12,1.68905
1.88,12,1.692334
-0.03,3,1.693228
1.95,5,1.694661
-0.02,2,1.695286
1.81,19,1.700411
-0.04,4,1.701563
1.91,9,1.830954
-0.01,1,1.831447
-0.01,1,1.831838
1.95,5,1.833721
0.92,8,1.836176
1.91,9,1.838703
1.94,6,1.840801
0.89,11,1.843999
-0.01,1,1.844391
3.9,10,1.847236
1.97,3,1.848162
1.86,14,1.852064
1.97,3,1.852972
1.96,4,1.854149
-0.01,1,1.854511
-0.03,3,1.855418
1.92,8,1.857916
-0.05,5,1.859474
-0.03,3,1.860413
-0.04,4,1.861606
-0.03,3,1.862522
2.95,5,1.863972
-0.01,1,1.864341
-0.03,3,1.865242
-0.01,1,1.865599
1.87,13,1.86923
1.97,3,1.967766
-0.04,4,1.969084
-0.02,2,1.969736
1.97,3,1.970665
5.84,16,1.975484
1.95,5,1.977161
1.93,7,1.979218
-0.01,1,1.979588
1.96,4,1.980785
1.97,3,1.981862
-0.01,1,1.982246
-0.01,1,1.982623
2.93,7,1.984619
3.93,7,1.98679
0.91,9,1.989503
-0.07,7,1.991641
-0.01,1,1.992081
1.95,5,1.993559
2.85,15,1.998317
1.92,8,2.00075
5.85,15,2.005116
5.83,17,2.113268
1.95,5,2.114765
-0.03,3,2.115672
1.96,4,2.116841
-0.02,2,2.117477
-0.01,1,2.118081
3.87,13,2.12205
-0.02,2,2.122769
1.93,7,2.124832
1.96,4,2.126028
1.9,10,2.128887
3.95,5,2.130998
3.92,8,2.133328
2.85,15,2.137501
-0.03,3,2.138438
-0.02,2,2.139338
3.92,8,2.142033
1.94,6,2.143815
1.96,4,2.145077
1.9,10,2.148167
-0.03,3,2.149138
3.9,10,2.251938
0.96,4,2.253198
-0.03,3,2.254115
-0.08,8,2.256382
-0.05,5,2.257826
-0.05,5,2.259747
0.86,14,2.264125
-0.01,1,2.264529
3.95,5,2.265998
4.91,9,2.268663
-0.01,1,2.269103
1.93,7,2.27117
-0.03,3,2.272105
-0.06,6,2.273825
5.89,11,2.276916
6.83,17,2.281617
5.88,12,2.285091
1.91,9,2.386328
1.87,13,2.390387
5.87,13,2.394228
1.94,6,2.396
1.93,7,2.398324
5.92,8,2.400786
-0.01,1,2.401171
1.97,3,2.402101
3.93,7,2.404112
1.93,7,2.406311
3.91,9,2.409468
1.93,7,2.411565
3.95,5,2.413132
1.93,7,2.415291
5.88,12,2.418708
-0.06,6,2.42042
-0.03,3,2.421341
1.95,5,2.423081
-0.04,4,2.424331
-0.08,8,2.514216
1.91,9,2.517095
1.97,3,2.518048
-0.01,1,2.518416
1.93,7,2.520424
-0.02,2,2.521065
-0.05,5,2.522554
1.95,5,2.523987
-0.06,6,2.525707
3.93,7,2.527701
1.96,4,2.528868
-0.07,7,2.530831
1.95,5,2.532256
1.94,6,2.53395
-0.02,2,2.534574
1.96,4,2.535738
-0.06,6,2.538039
-0.02,2,2.538859
-0.11,11,2.542026
1.88,12,2.545389
-0.02,2,2.546018
1.95,5,2.547801
1.96,4,2.549123
3.93,7,2.551147
1.94,6,2.641485
3.95,5,2.643168
1.86,14,2.647217
3.95,5,2.648673
-0.05,5,2.650133
1.94,6,2.651852
1.97,3,2.652772
0.93,7,2.654734
5.92,8,2.656968
5.92,8,2.659197
-0.05,5,2.66062
-0.04,4,2.6618
3.92,8,2.66434
4.91,9,2.666979
1.96,4,2.66818
0.97,3,2.669086
3.93,7,2.671061
1.9,10,2.674311
1.94,6,2.676129
2.94,6,2.677848
3.9,10,2.770267
1.96,4,2.771519
1.97,3,2.772435
3.94,6,2.77415
1.94,6,2.77586
-0.01,1,2.776232
1.96,4,2.777426
1.96,4,2.778584
3.93,7,2.780555
1.91,9,2.783052
1.92,8,2.785292
1.92,8,2.787614
3.91,9,2.790458
1.94,6,2.792307
1.96,4,2.793492
3.94,6,2.7952
-0.01,1,2.795553
-0.01,1,2.795902
3.93,7,2.798112
3.94,6,2.799862
1.88,12,2.803184
1.95,5,2.804619
3.91,9,2.888468
-0.02,2,2.889189
3.92,8,2.89172
1.96,4,2.893004
1.97,3,2.894025
1.96,4,2.895402
1.96,4,2.896789
-0.02,2,2.897543
3.92,8,2.90018
2.95,5,2.901662
2.95,5,2.903117
13.86,14,2.907466
1.97,3,2.908811
3.91,9,2.911491
5.92,8,2.913804
1.93,7,2.915997
1.96,4,2.917205
1.97,3,2.918231
-0.06,6,2.92005
-0.04,4,2.921252
1.95,5,2.92271
1.97,3,2.923623
3.95,5,2.925057
3.93,7,3.016109
-0.02,2,3.016848
3.94,6,3.018604
1.95,5,3.020067
13.9,10,3.022909
3.92,8,3.025667
1.93,7,3.027979
-0.02,2,3.028684
1.96,4,3.029912
1.95,5,3.031383
5.93,7,3.033402
1.93,7,3.0354
-0.03,3,3.036676
1.91,9,3.039274
1.96,4,3.040465
3.95,5,3.041905
1.95,5,3.043329
-0.04,4,3.044484
-0.04,4,3.045645
-0.01,1,3.046344
-0.02,2,3.047412
3.95,5,3.049287
5.88,12,3.05265
-0.03,3,3.053548
5.9,10,3.144474
5.91,9,3.147144
-0.01,1,3.147513
1.97,3,3.148423
1.94,6,3.150149
5.92,8,3.152424
-0.05,5,3.153866
1.93,7,3.155846
1.96,4,3.15702
