environment,algorithm,training_seed,checkpoint_steps,evaluation_episodes,eval_seed_start,successes,success_rate,collisions,collision_rate,timeouts,timeout_rate,avg_reward,avg_episode_length,avg_max_row,avg_success_episode_length,avg_failure_episode_length,wait_pct,forward_pct,backward_pct,left_pct,right_pct,collision_row_1,collision_row_3,model_path
v7,dqn,1,200000,100,10000,0,0.0,58,0.58,42,0.42,-1.5586999999999955,78.87,1.91,0.0,78.87,0.4293140611132243,0.10587041967795106,0.1782680360086218,0.13275009509319133,0.15379738810701155,42,1,results/runs/v7/dqn_seed1/checkpoints/dqn_seed1_200000_steps
v7,dqn,1,400000,100,10000,0,0.0,87,0.87,13,0.13,0.8649000000000048,48.51,2.87,0.0,48.51,0.19130076272933416,0.16512059369202226,0.29931972789115646,0.23871366728509585,0.10554524840239125,40,9,results/runs/v7/dqn_seed1/checkpoints/dqn_seed1_400000_steps
v7,dqn,1,600000,100,10000,0,0.0,44,0.44,56,0.56,-1.972599999999994,72.26,1.99,0.0,72.26,0.5924439523941323,0.05798505397176861,0.14932189316357597,0.104483808469416,0.09576529200110712,27,2,results/runs/v7/dqn_seed1/checkpoints/dqn_seed1_600000_steps
v7,dqn,1,800000,100,10000,0,0.0,0,0.0,100,1.0,-6.0,100.0,0.0,0.0,100.0,0.0038,0.0,0.9797,0.0,0.0165,0,0,results/runs/v7/dqn_seed1/checkpoints/dqn_seed1_800000_steps
v7,dqn,1,1000000,100,10000,0,0.0,0,0.0,100,1.0,-6.0,100.0,0.0,0.0,100.0,0.1125,0.0,0.5092,0.104,0.2743,0,0,results/runs/v7/dqn_seed1/final_model
