algorithm,training_seed,checkpoint_steps,evaluation_episodes,eval_seed_start,successes,success_rate,collisions,collision_rate,timeouts,timeout_rate,avg_reward,avg_episode_length,avg_max_row,avg_success_episode_length,avg_failure_episode_length,wait_pct,forward_pct,backward_pct,left_pct,right_pct,collision_row_1,collision_row_3,model_path
trpo,4,200000,100,1000,64,0.64,34,0.34,2,0.02,6.5844,19.56,4.02,18.25,21.88888888888889,0.26278118609406953,0.2060327198364008,0.5311860940695297,0.0,0.0,10,24,results/runs/trpo_seed4/checkpoints/trpo_seed4_200000_steps
trpo,4,400000,100,1000,71,0.71,27,0.27,2,0.02,7.191200000000001,18.88,4.2,16.845070422535212,23.862068965517242,0.0,0.22245762711864406,0.777542372881356,0.0,0.0,8,19,results/runs/trpo_seed4/checkpoints/trpo_seed4_400000_steps
trpo,4,600000,100,1000,73,0.73,27,0.27,0,0.0,7.514200000000001,16.58,4.3,14.383561643835616,22.51851851851852,0.0,0.25934861278648974,0.7406513872135102,0.0,0.0,8,19,results/runs/trpo_seed4/checkpoints/trpo_seed4_600000_steps
trpo,4,800000,100,1000,76,0.76,20,0.2,4,0.04,7.5219000000000005,18.81,4.31,16.105263157894736,27.375,0.0,0.22966507177033493,0.7703349282296651,0.0,0.0,5,15,results/runs/trpo_seed4/checkpoints/trpo_seed4_800000_steps
trpo,4,1000000,100,1000,71,0.71,27,0.27,2,0.02,7.189200000000002,16.08,4.17,13.04225352112676,23.517241379310345,0.0,0.2593283582089552,0.7406716417910447,0.0,0.0,10,17,results/runs/trpo_seed4/final_model
