environment,algorithm,training_seed,checkpoint_steps,evaluation_episodes,eval_seed_start,successes,success_rate,collisions,collision_rate,road_collisions,road_collision_rate,drownings,drowning_rate,timeouts,timeout_rate,avg_reward,avg_episode_length,avg_max_row,avg_success_episode_length,avg_failure_episode_length,wait_pct,forward_pct,backward_pct,left_pct,right_pct,collision_row_1,collision_row_3,model_path
v8,ppo,1,200000,100,1000,77,0.77,23,0.23,15,0.15,8,0.08,0,0.0,11.400100000000007,9.99,7.88,11.493506493506494,4.956521739130435,0.17717717717717718,0.7887887887887888,0.03403403403403404,0.0,0.0,0,15,results/runs/v8/ppo_seed1/checkpoints/ppo_seed1_200000_steps
v8,ppo,1,400000,100,1000,97,0.97,3,0.03,0,0.0,3,0.03,0,0.0,13.6426,11.74,8.94,11.783505154639176,10.333333333333334,0.23850085178875638,0.7614991482112436,0.0,0.0,0.0,0,0,results/runs/v8/ppo_seed1/checkpoints/ppo_seed1_400000_steps
v8,ppo,1,600000,100,1000,97,0.97,3,0.03,0,0.0,3,0.03,0,0.0,13.644200000000005,11.58,8.94,11.628865979381443,10.0,0.22797927461139897,0.772020725388601,0.0,0.0,0.0,0,0,results/runs/v8/ppo_seed1/checkpoints/ppo_seed1_600000_steps
v8,ppo,1,800000,100,1000,97,0.97,3,0.03,0,0.0,3,0.03,0,0.0,13.645200000000004,11.48,8.94,11.525773195876289,10.0,0.2073170731707317,0.7787456445993032,0.013937282229965157,0.0,0.0,0,0,results/runs/v8/ppo_seed1/checkpoints/ppo_seed1_800000_steps
v8,ppo,1,1000000,100,1000,94,0.94,6,0.06,1,0.01,5,0.05,0,0.0,13.328,11.2,8.8,11.382978723404255,8.333333333333334,0.21428571428571427,0.7857142857142857,0.0,0.0,0.0,1,0,results/runs/v8/ppo_seed1/final_model
