environment,algorithm,training_seed,checkpoint_steps,evaluation_episodes,eval_seed_start,successes,success_rate,collisions,collision_rate,road_collisions,road_collision_rate,drownings,drowning_rate,timeouts,timeout_rate,avg_reward,avg_episode_length,avg_max_row,avg_success_episode_length,avg_failure_episode_length,wait_pct,forward_pct,backward_pct,left_pct,right_pct,collision_row_1,collision_row_3,model_path
v9,trpo,3,200000,100,1000,22,0.22,78,0.78,50,0.5,28,0.28,0,0.0,6.8444,8.56,6.61,10.954545454545455,7.884615384615385,0.07359813084112149,0.7827102803738317,0.05957943925233645,0.007009345794392523,0.07710280373831775,0,17,results/runs/v9/trpo_seed3/checkpoints/trpo_seed3_200000_steps
v9,trpo,3,400000,100,1000,37,0.37,63,0.63,46,0.46,17,0.17,0,0.0,8.164300000000003,11.57,7.06,15.027027027027026,9.53968253968254,0.23076923076923078,0.651685393258427,0.05790838375108038,0.025064822817631807,0.03457216940363008,0,15,results/runs/v9/trpo_seed3/checkpoints/trpo_seed3_400000_steps
v9,trpo,3,600000,100,1000,33,0.33,67,0.67,46,0.46,21,0.21,0,0.0,7.736999999999999,11.3,6.87,15.151515151515152,9.402985074626866,0.2814159292035398,0.6309734513274337,0.07610619469026549,0.0017699115044247787,0.009734513274336283,0,14,results/runs/v9/trpo_seed3/checkpoints/trpo_seed3_600000_steps
v9,trpo,3,800000,100,1000,36,0.36,64,0.64,43,0.43,21,0.21,0,0.0,8.061799999999998,10.82,7.01,13.583333333333334,9.265625,0.3234750462107209,0.655268022181146,0.0073937153419593345,0.0,0.013863216266173753,0,13,results/runs/v9/trpo_seed3/checkpoints/trpo_seed3_800000_steps
v9,trpo,3,1000000,100,1000,39,0.39,61,0.61,44,0.44,17,0.17,0,0.0,8.3699,12.01,7.15,15.23076923076923,9.950819672131148,0.33638634471273937,0.6053288925895087,0.009991673605328892,0.019983347210657785,0.028309741881765195,0,14,results/runs/v9/trpo_seed3/final_model
