environment,algorithm,training_seed,checkpoint_steps,evaluation_episodes,eval_seed_start,successes,success_rate,collisions,collision_rate,road_collisions,road_collision_rate,drownings,drowning_rate,timeouts,timeout_rate,avg_reward,avg_episode_length,avg_max_row,avg_success_episode_length,avg_failure_episode_length,wait_pct,forward_pct,backward_pct,left_pct,right_pct,collision_row_1,collision_row_3,model_path
v9,trpo,3,200000,100,1000,36,0.36,64,0.64,31,0.31,33,0.33,0,0.0,7.578099999999998,8.19,6.5,10.63888888888889,6.8125,0.03663003663003663,0.8302808302808303,0.08058608058608059,0.018315018315018316,0.03418803418803419,0,8,results/runs/v9/trpo_seed3/checkpoints/trpo_seed3_200000_steps
v9,trpo,3,400000,100,1000,50,0.5,50,0.5,19,0.19,31,0.31,0,0.0,9.188899999999997,10.11,7.29,12.4,7.82,0.16221562809099901,0.7487636003956478,0.05539070227497527,0.01483679525222552,0.018793273986152326,0,5,results/runs/v9/trpo_seed3/checkpoints/trpo_seed3_400000_steps
v9,trpo,3,600000,100,1000,50,0.5,50,0.5,20,0.2,30,0.3,0,0.0,9.273099999999998,10.69,7.38,12.76,8.62,0.19270346117867165,0.7221702525724977,0.06548175865294668,0.006548175865294668,0.013096351730589336,0,4,results/runs/v9/trpo_seed3/checkpoints/trpo_seed3_600000_steps
v9,trpo,3,800000,100,1000,54,0.54,46,0.46,21,0.21,25,0.25,0,0.0,9.597699999999998,11.23,7.47,13.277777777777779,8.826086956521738,0.25645592163846836,0.6856634016028496,0.048975957257346395,0.004452359750667854,0.004452359750667854,0,3,results/runs/v9/trpo_seed3/checkpoints/trpo_seed3_800000_steps
v9,trpo,3,1000000,100,1000,54,0.54,46,0.46,21,0.21,25,0.25,0,0.0,9.6428,11.72,7.52,13.518518518518519,9.608695652173912,0.24744027303754265,0.6723549488054608,0.051194539249146756,0.00938566552901024,0.01962457337883959,0,4,results/runs/v9/trpo_seed3/final_model
