algorithm,training_seed,condition,condition_label,success_rate,avg_reward,avg_max_row,road_collision_rate,drowning_rate,timeout_rate
dqn,2,standard,Standard mixture,0.42,8.169199999999998,6.85,0.4,0.16,0.02
dqn,2,road_heavy,3 roads / 1 river,0.31,7.012100000000003,6.32,0.62,0.06,0.01
dqn,2,all_road,All road,0.21,5.7564,5.6,0.79,0.0,0.0
dqn,3,all_river,All river,0.89,12.704200000000004,8.48,0.0,0.11,0.0
dqn,3,river_heavy,1 road / 3 rivers,0.69,10.640000000000002,7.79,0.13,0.15,0.03
dqn,3,standard,Standard mixture,0.56,9.474500000000008,7.51,0.2,0.2,0.04
dqn,3,road_heavy,3 roads / 1 river,0.34,7.1761,6.51,0.58,0.05,0.03
dqn,3,all_road,All road,0.27,6.365300000000002,6.11,0.7,0.0,0.03
dqn,4,all_river,All river,0.69,10.7236,7.68,0.0,0.31,0.0
dqn,4,river_heavy,1 road / 3 rivers,0.52,8.896799999999997,6.93,0.18,0.29,0.01
dqn,4,standard,Standard mixture,0.36,7.456100000000001,6.48,0.4,0.23,0.01
dqn,4,road_heavy,3 roads / 1 river,0.25,5.975200000000002,5.85,0.63,0.08,0.04
dqn,4,all_road,All road,0.26,5.968500000000003,5.67,0.72,0.0,0.02
qrdqn,0,all_river,All river,0.6,10.151499999999997,7.67,0.0,0.4,0.0
qrdqn,0,river_heavy,1 road / 3 rivers,0.47,8.8731,7.29,0.16,0.36,0.01
qrdqn,0,standard,Standard mixture,0.24,6.649700000000004,6.48,0.42,0.33,0.01
qrdqn,0,road_heavy,3 roads / 1 river,0.19,6.107600000000003,6.33,0.6,0.19,0.02
qrdqn,0,all_road,All road,0.18,5.488900000000006,5.76,0.81,0.0,0.01
qrdqn,1,all_river,All river,0.42,8.077300000000001,6.71,0.0,0.58,0.0
qrdqn,1,river_heavy,1 road / 3 rivers,0.46,8.4519,6.9,0.2,0.34,0.0
qrdqn,1,standard,Standard mixture,0.33,7.1338000000000035,6.57,0.37,0.27,0.03
qrdqn,1,road_heavy,3 roads / 1 river,0.16,5.304100000000003,5.86,0.68,0.11,0.05
qrdqn,1,all_road,All road,0.08,4.364600000000003,5.28,0.89,0.0,0.03
qrdqn,2,all_river,All river,0.49,9.2488,7.43,0.0,0.51,0.0
qrdqn,2,river_heavy,1 road / 3 rivers,0.37,7.996600000000005,7.0,0.21,0.41,0.01
qrdqn,2,standard,Standard mixture,0.37,7.702900000000007,6.73,0.38,0.25,0.0
qrdqn,2,road_heavy,3 roads / 1 river,0.24,6.208100000000003,6.09,0.59,0.17,0.0
qrdqn,2,all_road,All road,0.15,4.872500000000005,5.26,0.85,0.0,0.0
qrdqn,3,all_river,All river,0.61,10.1489,7.63,0.0,0.39,0.0
qrdqn,3,river_heavy,1 road / 3 rivers,0.57,9.713400000000012,7.49,0.08,0.35,0.0
qrdqn,3,standard,Standard mixture,0.41,7.638900000000006,6.7,0.23,0.3,0.06
qrdqn,3,road_heavy,3 roads / 1 river,0.27,6.091300000000007,6.14,0.5,0.15,0.08
qrdqn,3,all_road,All road,0.23,5.1185000000000045,5.38,0.69,0.0,0.08
qrdqn,4,all_river,All river,0.63,10.260699999999996,7.63,0.0,0.37,0.0
qrdqn,4,river_heavy,1 road / 3 rivers,0.45,8.453900000000003,7.13,0.26,0.25,0.04
qrdqn,4,standard,Standard mixture,0.33,6.789800000000005,6.46,0.37,0.21,0.09
qrdqn,4,road_heavy,3 roads / 1 river,0.14,4.4869000000000065,5.63,0.67,0.04,0.15
qrdqn,4,all_road,All road,0.05,2.5178000000000065,4.68,0.69,0.0,0.26
