#{"t_start": 1787326124.58169, "env_id": "None"}
r,l,t
1.94,6,4.568467
-0.01,1,4.568858
3.93,7,4.571109
1.97,3,4.572111
-0.01,1,4.572503
1.97,3,4.573511
0.97,3,4.574517
-0.02,2,4.575212
-0.02,2,4.575903
3.94,6,4.577828
1.96,4,4.579157
3.92,8,4.581667
-0.01,1,4.58206
-0.01,1,4.582447
-0.02,2,4.583144
3.94,6,4.585058
3.95,5,4.586674
1.94,6,4.588598
3.94,6,4.590515
1.96,4,4.591824
3.92,8,4.883216
5.92,8,4.886129
1.94,6,4.888145
3.93,7,4.890446
3.93,7,4.892732
-0.01,1,4.893156
1.95,5,4.8948
1.96,4,4.896138
1.95,5,4.897785
1.95,5,4.899424
1.97,3,4.900434
1.95,5,4.902273
5.92,8,4.905326
-0.03,3,4.906385
-0.01,1,4.906795
1.95,5,4.908605
1.96,4,4.910015
5.93,7,4.912301
-0.01,1,4.91272
1.97,3,4.913851
3.95,5,4.915689
-0.02,2,4.916461
1.97,3,4.917677
13.9,10,4.921205
-0.02,2,4.921976
3.93,7,4.924354
1.97,3,4.925423
3.93,7,5.133656
1.97,3,5.13485
1.96,4,5.136226
1.97,3,5.137261
-0.03,3,5.138282
-0.01,1,5.138687
-0.01,1,5.13908
3.95,5,5.140737
1.97,3,5.141759
3.95,5,5.143385
5.92,8,5.145957
-0.01,1,5.146353
-0.02,2,5.147057
-0.01,1,5.147449
3.95,5,5.149066
0.97,3,5.150081
5.91,9,5.152943
3.95,5,5.154571
1.97,3,5.155573
-0.01,1,5.155966
-0.01,1,5.156354
1.97,3,5.157356
1.96,4,5.158673
5.92,8,5.16122
1.97,3,5.162228
1.94,6,5.164159
3.93,7,5.166397
-0.02,2,5.167094
-0.01,1,5.167486
1.97,3,5.168496
5.92,8,5.17103
3.94,6,5.172974
1.93,7,5.413208
1.97,3,5.414428
-0.01,1,5.41486
1.96,4,5.416228
1.95,5,5.41789
1.97,3,5.418913
-0.02,2,5.419624
1.97,3,5.42065
0.96,4,5.421983
3.95,5,5.423642
1.9,10,5.42686
1.97,3,5.427896
-0.03,3,5.428915
5.91,9,5.431807
1.95,5,5.433449
-0.01,1,5.433852
1.97,3,5.434865
3.94,6,5.436808
1.95,5,5.43844
-0.01,1,5.438837
-0.01,1,5.439237
1.96,4,5.44055
1.95,5,5.442196
-0.02,2,5.442902
3.94,6,5.444853
-0.02,2,5.445562
-0.03,3,5.446572
3.94,6,5.448507
-0.03,3,5.449524
-0.02,2,5.450231
-0.02,2,5.450935
3.95,5,5.452588
3.94,6,5.454534
1.93,7,5.710653
1.97,3,5.711798
3.94,6,5.713802
1.97,3,5.714838
5.92,8,5.717433
3.92,8,5.720444
3.94,6,5.722531
1.96,4,5.723885
-0.01,1,5.724294
-0.01,1,5.724696
1.96,4,5.726028
-0.02,2,5.726742
5.93,7,5.729035
3.94,6,5.731015
-0.01,1,5.731414
1.97,3,5.732428
-0.01,1,5.732826
3.95,5,5.734489
1.97,3,5.735511
3.93,7,5.737769
-0.01,1,5.738169
-0.03,3,5.739188
-0.01,1,5.739583
5.92,8,5.742153
-0.02,2,5.742857
-0.02,2,5.743568
-0.02,2,5.744273
5.92,8,5.74682
-0.02,2,5.747534
3.94,6,5.749484
-0.01,1,5.749886
1.96,4,5.751206
1.97,3,5.752219
1.97,3,5.753237
3.94,6,5.972674
-0.01,1,5.973172
-0.01,1,5.973584
1.96,4,5.974923
-0.02,2,5.975639
1.95,5,5.977277
1.97,3,5.978299
1.97,3,5.979321
-0.01,1,5.979718
1.97,3,5.980734
1.95,5,5.982369
1.96,4,5.983704
5.93,7,5.985964
3.95,5,5.987599
1.97,3,5.988616
-0.01,1,5.989005
-0.02,2,5.98971
-0.02,2,5.990408
1.96,4,5.991722
1.97,3,5.992724
-0.01,1,5.993113
-0.01,1,5.993503
3.94,6,5.995425
-0.01,1,5.995817
3.95,5,5.997437
3.95,5,5.999056
1.97,3,6.000074
1.97,3,6.001081
-0.01,1,6.001477
3.95,5,6.003093
-0.01,1,6.003493
1.95,5,6.00511
-0.01,1,6.005506
1.96,4,6.006831
-0.01,1,6.007224
5.93,7,6.009509
1.96,4,6.010835
1.96,4,6.012144
1.97,3,6.013143
5.93,7,6.220613
1.97,3,6.221728
1.97,3,6.222757
3.95,5,6.224407
1.97,3,6.225423
1.95,5,6.227044
1.94,6,6.22899
-0.01,1,6.229397
1.97,3,6.230413
-0.01,1,6.230802
1.97,3,6.231815
-0.01,1,6.232207
-0.02,2,6.232903
-0.01,1,6.233293
-0.01,1,6.233682
-0.03,3,6.234679
1.97,3,6.235679
-0.02,2,6.236381
3.95,5,6.237997
1.97,3,6.239001
1.97,3,6.239998
13.9,10,6.243137
3.95,5,6.244773
5.92,8,6.247307
3.94,6,6.249233
1.97,3,6.250237
1.97,3,6.251241
1.97,3,6.252243
1.97,3,6.253246
1.97,3,6.254253
-0.01,1,6.254643
1.96,4,6.25596
1.94,6,6.257932
3.95,5,6.259639
13.9,10,6.525869
-0.01,1,6.526371
3.93,7,6.528705
-0.01,1,6.529122
13.91,9,6.532006
1.96,4,6.533347
1.97,3,6.535025
3.95,5,6.536881
-0.02,2,6.537607
1.97,3,6.53864
5.92,8,6.541218
-0.02,2,6.541936
3.95,5,6.543568
1.97,3,6.544581
-0.01,1,6.544975
1.97,3,6.545979
-0.01,1,6.546373
-0.02,2,6.547079
1.96,4,6.548401
3.95,5,6.55002
3.95,5,6.551638
-0.01,1,6.552029
1.97,3,6.553033
3.95,5,6.554662
1.97,3,6.555666
3.95,5,6.557289
1.96,4,6.558616
-0.01,1,6.559006
1.97,3,6.560004
3.94,6,6.561937
1.97,3,6.562949
-0.01,1,6.563339
-0.01,1,6.563733
-0.01,1,6.564132
1.97,3,6.565146
-0.01,1,6.565537
1.96,4,6.566853
1.97,3,6.567856
1.97,3,6.809231
1.97,3,6.810413
3.94,6,6.812407
-0.02,2,6.813129
5.92,8,6.815704
1.96,4,6.817021
3.95,5,6.818669
1.97,3,6.819682
1.97,3,6.820692
1.96,4,6.822008
3.95,5,6.823641
5.92,8,6.826205
-0.03,3,6.827213
1.97,3,6.828224
3.94,6,6.830165
3.93,7,6.832409
-0.03,3,6.833422
5.93,7,6.835672
1.96,4,6.836986
3.94,6,6.838896
1.97,3,6.839895
5.93,7,6.842127
-0.01,1,6.842518
3.95,5,6.844128
5.93,7,6.846373
1.97,3,6.847385
1.96,4,6.848706
3.95,5,6.850326
-0.02,2,6.851016
-0.01,1,7.026657
5.93,7,7.029202
1.97,3,7.03027
-0.02,2,7.031003
-0.01,1,7.031418
-0.01,1,7.031828
3.94,6,7.033831
3.95,5,7.035517
-0.01,1,7.035924
1.97,3,7.03697
1.97,3,7.03801
3.94,6,7.039986
-0.01,1,7.040389
1.97,3,7.041428
3.94,6,7.043424
1.97,3,7.04447
3.94,6,7.046447
-0.01,1,7.046847
1.96,4,7.048199
1.97,3,7.049233
3.94,6,7.051654
3.95,5,7.0535
-0.01,1,7.05392
3.94,6,7.055921
1.97,3,7.056955
-0.01,1,7.05736
-0.01,1,7.057755
1.96,4,7.05908
3.94,6,7.061265
1.97,3,7.062545
1.97,3,7.063644
5.93,7,7.065981
3.95,5,7.067661
3.95,5,7.069329
1.97,3,7.070372
-0.01,1,7.070785
1.97,3,7.278824
3.95,5,7.281802
1.97,3,7.283865
5.93,7,7.288248
3.95,5,7.291027
1.97,3,7.292184
-0.01,1,7.292614
1.97,3,7.293696
-0.03,3,7.294768
1.97,3,7.295813
5.93,7,7.298118
5.93,7,7.300533
1.97,3,7.301663
1.97,3,7.302929
-0.02,2,7.304194
1.97,3,7.305862
1.96,4,7.310817
-0.02,2,7.312108
-0.01,1,7.312876
-0.02,2,7.314201
3.95,5,7.317281
-0.02,2,7.319051
1.95,5,7.321781
-0.01,1,7.322745
-0.01,1,7.323974
1.97,3,7.325789
1.96,4,7.327791
-0.01,1,7.328481
1.95,5,7.330819
-0.01,1,7.331767
3.95,5,7.335968
3.94,6,7.339438
-0.01,1,7.340522
-0.01,1,7.341184
1.97,3,7.342818
4.93,7,7.345613
5.93,7,7.34847
-0.01,1,7.349067
3.93,7,7.605914
1.97,3,7.607111
1.97,3,7.60862
-0.01,1,7.609341
1.95,5,7.615425
3.95,5,7.619487
-0.01,1,7.621801
1.95,5,7.66037
3.95,5,7.67342
3.94,6,7.701114
3.95,5,7.703543
1.96,4,7.706028
1.97,3,7.707197
-0.01,1,7.707621
3.95,5,7.709323
-0.01,1,7.709743
1.97,3,7.71091
1.97,3,7.714501
3.95,5,7.718642
1.96,4,7.720642
-0.01,1,7.721144
3.95,5,7.722962
1.97,3,7.724678
5.92,8,7.728156
1.97,3,7.729318
1.97,3,7.730524
1.97,3,7.733548
5.92,8,7.736441
1.96,4,7.737885
-0.01,1,7.738315
3.94,6,7.740397
13.9,10,7.990629
1.96,4,7.992199
5.93,7,7.994509
1.96,4,7.995855
-0.02,2,7.996564
3.94,6,7.998584
13.91,9,8.002432
-0.01,1,8.002972
-0.03,3,8.004197
-0.03,3,8.005425
1.97,3,8.006523
5.91,9,8.009936
1.96,4,8.011593
5.92,8,8.014441
-0.03,3,8.015698
3.94,6,8.017767
5.93,7,8.02058
1.97,3,8.021619
1.97,3,8.022676
-0.02,2,8.023396
3.95,5,8.025073
-0.02,2,8.025792
1.97,3,8.026818
-0.02,2,8.027542
5.92,8,8.03013
5.92,8,8.032865
1.97,3,8.033914
5.91,9,8.036805
3.94,6,8.265025
5.93,7,8.268358
-0.02,2,8.269828
1.97,3,8.271074
3.95,5,8.272819
3.95,5,8.274527
1.96,4,8.276335
5.93,7,8.279884
1.97,3,8.281756
3.95,5,8.284077
-0.01,1,8.285057
1.97,3,8.286418
-0.02,2,8.2872
-0.01,1,8.287617
-0.02,2,8.28836
1.97,3,8.289413
3.95,5,8.291096
3.95,5,8.292979
-0.02,2,8.293771
-0.01,1,8.294189
1.95,5,8.297627
1.97,3,8.299104
3.94,6,8.301194
1.97,3,8.302283
-0.02,2,8.30301
3.95,5,8.304699
-0.03,3,8.306185
1.95,5,8.308053
5.93,7,8.31215
1.96,4,8.31419
3.93,7,8.317116
1.97,3,8.318517
1.97,3,8.320209
1.97,3,8.587347
1.96,4,8.588871
-0.02,2,8.589621
1.97,3,8.590657
1.97,3,8.59169
-0.03,3,8.592731
-0.02,2,8.59379
1.97,3,8.595008
-0.03,3,8.596804
13.88,12,8.602445
1.97,3,8.603667
-0.01,1,8.604079
-0.02,2,8.604798
1.97,3,8.606161
1.97,3,8.607356
1.97,3,8.608642
1.97,3,8.609996
1.96,4,8.611535
1.96,4,8.612949
1.97,3,8.614015
5.93,7,8.616688
1.97,3,8.618769
1.95,5,8.621304
-0.01,1,8.621911
-0.02,2,8.622735
1.94,6,8.624759
-0.01,1,8.62517
1.96,4,8.627168
3.94,6,8.629605
1.97,3,8.63098
5.92,8,8.634303
1.97,3,8.636234
1.97,3,8.637661
13.91,9,8.641429
13.91,9,9.008601
1.97,3,9.009725
3.93,7,9.012035
1.97,3,9.013069
3.95,5,9.015101
3.92,8,9.018045
1.97,3,9.019236
5.93,7,9.021888
1.97,3,9.022991
1.97,3,9.024027
1.96,4,9.025912
3.95,5,9.028038
3.95,5,9.029902
3.94,6,9.031998
1.96,4,9.033374
5.93,7,9.035805
1.96,4,9.037205
-0.01,1,9.037684
1.97,3,9.038787
3.95,5,9.040488
1.97,3,9.041524
13.9,10,9.045052
3.95,5,9.046755
-0.01,1,9.047171
5.93,7,9.049689
1.97,3,9.050999
5.9,10,9.269435
3.95,5,9.271209
3.95,5,9.27294
1.97,3,9.273979
1.96,4,9.275311
3.95,5,9.277381
1.96,4,9.278996
1.97,3,9.280081
1.96,4,9.281435
-0.01,1,9.281847
1.97,3,9.282886
3.95,5,9.284533
1.97,3,9.285551
1.96,4,9.287062
5.93,7,9.289497
-0.03,3,9.290551
1.97,3,9.291606
1.93,7,9.294187
1.97,3,9.295292
3.95,5,9.297004
1.97,3,9.298346
3.95,5,9.300164
1.97,3,9.301307
3.93,7,9.303669
-0.04,4,9.305047
5.93,7,9.30737
-0.01,1,9.307788
3.95,5,9.309474
3.94,6,9.311473
-0.02,2,9.3122
13.91,9,9.490645
1.97,3,9.491762
1.96,4,9.4931
1.97,3,9.49413
5.93,7,9.49638
1.96,4,9.49798
1.97,3,9.499287
1.94,6,9.501581
-0.02,2,9.502409
3.95,5,9.504536
1.97,3,9.505676
1.97,3,9.506751
1.97,3,9.507828
-0.01,1,9.508243
-0.03,3,9.509327
-0.02,2,9.510144
1.97,3,9.51121
-0.02,2,9.511939
-0.01,1,9.512348
1.96,4,9.5137
-0.01,1,9.514108
1.97,3,9.515147
1.97,3,9.516193
1.97,3,9.517228
1.97,3,9.518264
-0.03,3,9.519285
1.97,3,9.520314
5.92,8,9.522906
-0.03,3,9.523943
3.95,5,9.525584
3.95,5,9.527222
1.97,3,9.528252
1.95,5,9.529911
1.95,5,9.531558
-0.02,2,9.532271
-0.02,2,9.532973
3.95,5,9.753901
13.91,9,9.756936
1.97,3,9.757972
5.93,7,9.760233
1.97,3,9.761254
-0.02,2,9.761967
1.92,8,9.765052
-0.03,3,9.766177
5.93,7,9.768494
-0.02,2,9.769219
1.95,5,9.770875
1.97,3,9.771898
3.94,6,9.773865
1.95,5,9.77551
-0.01,1,9.775912
1.97,3,9.776934
1.97,3,9.777952
1.97,3,9.778979
1.94,6,9.780927
1.97,3,9.781945
1.97,3,9.782966
1.96,4,9.7843
3.95,5,9.785944
3.95,5,9.787575
3.95,5,9.789208
-0.02,2,9.789914
1.97,3,9.790954
5.93,7,9.793224
3.95,5,9.794863
1.97,3,9.795882
1.97,3,9.999751
-0.03,3,10.000958
-0.03,3,10.002222
3.91,9,10.005381
1.97,3,10.006462
3.95,5,10.008109
5.93,7,10.01038
-0.03,3,10.011394
1.97,3,10.01242
1.97,3,10.013444
1.97,3,10.014453
1.97,3,10.015475
1.97,3,10.016496
3.95,5,10.018135
-0.02,2,10.018834
1.96,4,10.02016
5.91,9,10.023696
1.96,4,10.025143
-0.78,78,10.942041
1.97,3,10.943561
-0.01,1,10.944101
1.97,3,10.945214
3.88,12,10.949124
3.95,5,10.950852
1.97,3,10.951892
1.97,3,10.952934
5.93,7,10.955226
3.95,5,10.956886
1.97,3,10.957908
3.95,5,10.959555
1.97,3,10.960577
1.97,3,10.961597
3.92,8,10.964159
3.95,5,10.965801
1.97,3,10.966819
-0.03,3,10.967835
3.94,6,10.969781
-0.02,2,10.97049
1.97,3,10.971502
3.95,5,10.973142
-0.02,2,10.973842
1.97,3,10.974856
-0.02,2,10.975552
3.95,5,10.977184
3.94,6,11.360543
1.97,3,11.361681
-0.01,1,11.362101
5.93,7,11.364394
-0.13,13,11.369021
3.95,5,11.370766
1.97,3,11.371797
1.93,7,11.374056
1.97,3,11.375074
3.95,5,11.376706
-0.04,4,11.378016
3.95,5,11.379647
1.97,3,11.380662
-0.01,1,11.381079
1.96,4,11.382392
1.97,3,11.383412
-0.04,4,11.384724
1.97,3,11.385742
-0.04,4,11.387054
13.91,9,11.38993
3.92,8,11.392463
1.97,3,11.39348
3.95,5,11.395105
13.88,12,11.398868
-6.0,100,11.675474
1.97,3,11.678369
1.97,3,11.679446
-0.01,1,11.679865
1.97,3,11.680912
1.97,3,11.681954
-0.01,1,11.682356
3.95,5,11.68403
1.97,3,11.685061
5.93,7,11.687346
-0.02,2,11.688064
5.93,7,12.771894
1.97,3,12.773098
1.97,3,12.774163
3.95,5,12.775826
3.95,5,12.777514
1.96,4,12.778869
3.95,5,12.780512
3.95,5,12.782136
