#{"t_start": 1787298465.0913558, "env_id": "None"}
r,l,t,success,collision,max_y
1.67,33,0.546499,False,True,3
0.91,9,0.546895,False,True,2
-0.05,5,0.547196,False,True,1
1.93,7,0.547525,False,True,3
-0.04,4,0.547718,False,True,1
1.92,8,0.548062,False,True,3
-0.01,1,0.548193,False,True,1
-0.13,13,0.54872,False,True,1
-0.07,7,0.549046,False,True,1
0.81,19,0.549808,False,True,2
0.73,27,0.551049,False,True,2
-0.04,4,0.551269,False,True,1
1.8,20,0.552078,False,True,3
1.89,11,0.552534,False,True,3
-0.03,3,0.552766,False,True,1
-0.03,3,0.553132,False,True,1
-0.04,4,0.553341,False,True,1
1.92,8,0.553689,False,True,3
1.92,8,0.554242,False,True,3
1.74,26,0.555299,False,True,3
-0.04,4,0.555508,False,True,1
-0.06,6,0.55579,False,True,1
-0.06,6,0.556157,False,True,1
-0.04,4,0.556353,False,True,1
-0.11,11,0.556815,False,True,1
1.89,11,0.55728,False,True,3
-0.03,3,0.557492,False,True,1
-0.05,5,0.557748,False,True,1
0.95,5,0.557973,False,True,2
1.94,6,0.558233,False,True,3
-0.07,7,0.558631,False,True,1
-0.05,5,0.558861,False,True,1
-0.02,2,0.558994,False,True,1
-0.14,14,0.559703,False,True,1
1.94,6,0.560099,False,True,3
-0.01,1,0.560181,False,True,1
-0.04,4,0.560372,False,True,1
0.93,7,0.560681,False,True,2
-0.02,2,0.560852,False,True,1
-0.17,17,0.561949,False,True,1
1.86,14,0.56254,False,True,3
-0.08,8,0.562893,False,True,1
-0.1,10,0.563406,False,True,1
-0.12,12,0.563905,False,True,1
1.91,9,0.564369,False,True,3
-0.09,9,0.564833,False,True,1
-0.02,2,0.565046,False,True,1
-0.01,1,0.565123,False,True,1
-0.11,11,0.565578,False,True,1
-0.04,4,0.565768,False,True,1
0.92,8,0.566183,False,True,2
-0.03,3,0.566317,False,True,1
-0.11,11,0.566766,False,True,1
1.86,14,0.567337,False,True,3
-0.06,6,0.567673,False,True,1
-0.07,7,0.568004,False,True,1
-0.03,3,0.56816,False,True,1
-0.03,3,0.568318,False,True,1
-0.22,22,0.569265,False,True,1
-0.07,7,0.569568,False,True,1
1.7,30,0.570679,False,True,3
-0.07,7,0.57098,False,True,1
0.85,15,0.571649,False,True,2
-0.14,14,0.572188,False,True,1
1.91,9,0.572562,False,True,3
-0.01,1,0.572661,False,True,1
1.93,7,0.573008,False,True,3
-0.19,19,0.573744,False,True,1
-0.15,15,0.57453,False,True,1
-0.15,15,0.575185,False,True,1
-0.01,1,0.575402,False,True,1
-0.08,8,0.575765,False,True,1
-0.11,11,0.576332,False,True,1
-0.07,7,0.576688,False,True,1
-0.27,27,0.577967,False,True,1
0.93,7,0.578387,False,True,2
-0.19,19,0.579375,False,True,1
-0.12,12,0.579898,False,True,1
-0.02,2,0.580123,False,True,1
-0.2,20,0.580904,False,True,1
-0.12,12,0.581405,False,True,1
-0.13,13,0.581928,False,True,1
1.96,4,0.582192,False,True,3
-0.09,9,0.582601,False,True,1
0.79,21,0.583401,False,True,2
-0.11,11,0.58389,False,True,1
-0.36,36,0.585473,False,True,1
-0.22,22,0.586409,False,True,1
0.95,5,0.586634,False,True,2
-0.02,2,0.586765,False,True,1
0.94,6,0.587104,False,True,2
-0.08,8,0.587446,False,True,1
-0.14,14,0.587995,False,True,1
-0.11,11,0.588446,False,True,1
1.95,5,0.588742,False,True,3
-0.06,6,0.588997,False,True,1
-0.02,2,0.589119,False,True,1
-0.11,11,0.589559,False,True,1
1.86,14,0.590176,False,True,3
-0.15,15,0.590779,False,True,1
-0.14,14,0.591318,False,True,1
-0.08,8,0.591651,False,True,1
-0.04,4,0.591902,False,True,1
-0.1,10,0.59234,False,True,1
-0.01,1,0.59241,False,True,1
-0.24,24,0.593335,False,True,1
1.77,23,0.594275,False,True,3
1.92,8,0.594767,False,True,3
-0.07,7,0.595092,False,True,1
-0.01,1,0.59517,False,True,1
0.92,8,0.595646,False,True,2
0.86,14,0.596219,False,True,2
-0.08,8,0.596554,False,True,1
-0.05,5,0.596794,False,True,1
-0.01,1,0.596931,False,True,1
0.9,10,0.597366,False,True,2
1.67,33,0.598709,False,True,3
1.73,27,0.599784,False,True,3
0.87,13,0.600562,False,True,2
-0.05,5,0.600811,False,True,1
-0.05,5,0.601121,False,True,1
-0.18,18,0.601871,False,True,1
-0.04,4,0.60217,False,True,1
1.97,3,0.602331,False,True,3
-0.1,10,0.602766,False,True,1
0.96,4,0.602957,False,True,2
1.89,11,0.603505,False,True,3
-0.02,2,0.603615,False,True,1
-0.13,13,0.604137,False,True,1
-0.08,8,0.604486,False,True,1
1.88,12,0.605054,False,True,3
-0.11,11,0.605528,False,True,1
-0.1,10,0.605954,False,True,1
-0.08,8,0.606296,False,True,1
-0.04,4,0.606588,False,True,1
-0.1,10,0.607004,False,True,1
-0.16,16,0.607949,False,True,1
-0.05,5,0.608202,False,True,1
-0.05,5,0.608562,False,True,1
-0.17,17,0.60936,False,True,1
-0.14,14,0.609945,False,True,1
-0.06,6,0.610242,False,True,1
-0.03,3,0.610521,False,True,1
-0.03,3,0.610664,False,True,1
-0.11,11,0.611131,False,True,1
1.97,3,0.611293,False,True,3
-0.03,3,0.611531,False,True,1
-0.01,1,0.611602,False,True,1
-0.14,14,0.61216,False,True,1
-0.01,1,0.612254,False,True,1
-0.05,5,0.612565,False,True,1
-0.05,5,0.612794,False,True,1
-0.05,5,0.613029,False,True,1
-0.11,11,0.613486,False,True,1
0.8,20,0.614333,False,True,2
-0.09,9,0.614696,False,True,1
-0.07,7,0.615004,False,True,1
1.88,12,0.615488,False,True,3
-0.02,2,0.61568,False,True,1
-0.01,1,0.615757,False,True,1
-0.08,8,0.616096,False,True,1
