environment,algorithm,training_seed,checkpoint_steps,evaluation_episodes,eval_seed_start,successes,success_rate,collisions,collision_rate,timeouts,timeout_rate,avg_reward,avg_episode_length,avg_max_row,avg_success_episode_length,avg_failure_episode_length,wait_pct,forward_pct,backward_pct,left_pct,right_pct,collision_row_1,collision_row_3,model_path
v6_local1,qrdqn,1,200000,100,1000,0,0.0,31,0.31,69,0.69,-1.6083999999999987,76.84,2.92,0.0,76.84,0.31975533576262366,0.042165538781884435,0.006507027589796981,0.303878188443519,0.32769390942217597,0,15,results/runs/v6_local1/qrdqn_50q_seed1/checkpoints/qrdqn_50q_seed1_200000_steps
v6_local1,qrdqn,1,400000,100,1000,22,0.22,37,0.37,41,0.41,3.736100000000009,65.39,5.71,40.68181818181818,72.35897435897436,0.253708518122037,0.10964979354641383,0.02232757302339807,0.47560789111484936,0.13870622419330172,0,7,results/runs/v6_local1/qrdqn_50q_seed1/checkpoints/qrdqn_50q_seed1_400000_steps
v6_local1,qrdqn,1,600000,100,1000,20,0.2,80,0.8,0,0.0,6.270200000000005,32.98,6.4,35.6,32.325,0.13523347483323225,0.21922377198302,0.05518496058217101,0.33596118859915103,0.2543966040024257,0,5,results/runs/v6_local1/qrdqn_50q_seed1/checkpoints/qrdqn_50q_seed1_600000_steps
v6_local1,qrdqn,1,800000,100,1000,31,0.31,67,0.67,2,0.02,7.717800000000003,28.22,7.22,30.774193548387096,27.07246376811594,0.06980864635010631,0.2661233167965982,0.026931254429482635,0.29092841956059534,0.3462083628632176,0,0,results/runs/v6_local1/qrdqn_50q_seed1/checkpoints/qrdqn_50q_seed1_800000_steps
v6_local1,qrdqn,1,1000000,100,1000,44,0.44,54,0.54,2,0.02,8.776900000000005,28.31,7.5,30.818181818181817,26.339285714285715,0.1070293182620982,0.273401624867538,0.02401978099611445,0.2914164606146238,0.3041328152596256,0,0,results/runs/v6_local1/qrdqn_50q_seed1/final_model
