environment,algorithm,training_seed,checkpoint_steps,evaluation_episodes,eval_seed_start,successes,success_rate,collisions,collision_rate,road_collisions,road_collision_rate,drownings,drowning_rate,timeouts,timeout_rate,avg_reward,avg_episode_length,avg_max_row,avg_success_episode_length,avg_failure_episode_length,wait_pct,forward_pct,backward_pct,left_pct,right_pct,collision_row_1,collision_row_3,model_path
v9,qrdqn,3,200000,100,1000,1,0.01,64,0.64,64,0.64,0,0.0,35,0.35,0.5729000000000061,55.71,3.47,23.0,56.04040404040404,0.08203195117573146,0.2250942380183091,0.23263327948303716,0.2166576916173039,0.2435828397056184,10,14,results/runs/v9/qrdqn_50q_seed3/checkpoints/qrdqn_50q_seed3_200000_steps
v9,qrdqn,3,400000,100,1000,15,0.15,72,0.72,72,0.72,0,0.0,13,0.13,4.2103000000000055,52.97,5.36,63.53333333333333,51.10588235294118,0.11629224089107042,0.22994147630734377,0.1589579006985086,0.0911836888804984,0.4036246932225788,0,20,results/runs/v9/qrdqn_50q_seed3/checkpoints/qrdqn_50q_seed3_400000_steps
v9,qrdqn,3,600000,100,1000,18,0.18,74,0.74,74,0.74,0,0.0,8,0.08,5.140400000000005,34.96,5.73,38.77777777777778,34.1219512195122,0.08895881006864989,0.30434782608695654,0.170766590389016,0.016304347826086956,0.41962242562929064,2,6,results/runs/v9/qrdqn_50q_seed3/checkpoints/qrdqn_50q_seed3_600000_steps
v9,qrdqn,3,800000,100,1000,18,0.18,81,0.81,81,0.81,0,0.0,1,0.01,5.064400000000005,28.56,5.31,34.55555555555556,27.24390243902439,0.117296918767507,0.3231792717086835,0.15931372549019607,0.015406162464985995,0.38480392156862747,3,14,results/runs/v9/qrdqn_50q_seed3/checkpoints/qrdqn_50q_seed3_800000_steps
v9,qrdqn,3,1000000,100,1000,23,0.23,69,0.69,69,0.69,0,0.0,8,0.08,5.1185000000000045,32.15,5.38,23.956521739130434,34.5974025974026,0.03981337480559875,0.29673405909797823,0.1853810264385692,0.04665629860031104,0.43141524105754275,5,10,results/runs/v9/qrdqn_50q_seed3/final_model
