environment,algorithm,training_seed,checkpoint_steps,evaluation_episodes,eval_seed_start,successes,success_rate,collisions,collision_rate,road_collisions,road_collision_rate,drownings,drowning_rate,timeouts,timeout_rate,avg_reward,avg_episode_length,avg_max_row,avg_success_episode_length,avg_failure_episode_length,wait_pct,forward_pct,backward_pct,left_pct,right_pct,collision_row_1,collision_row_3,model_path
v9,qrdqn,3,200000,100,1000,0,0.0,52,0.52,25,0.25,27,0.27,48,0.48,-0.11779999999999269,58.78,3.39,0.0,58.78,0.11806736985369173,0.18305546104117046,0.1262334127254168,0.1723375297720313,0.40030622660768966,25,27,results/runs/v9/qrdqn_50q_seed3/checkpoints/qrdqn_50q_seed3_200000_steps
v9,qrdqn,3,400000,100,1000,20,0.2,80,0.8,40,0.4,40,0.4,0,0.0,5.958000000000007,40.2,6.16,60.95,35.0125,0.2975124378109453,0.20298507462686566,0.07213930348258707,0.07139303482587064,0.3559701492537313,0,30,results/runs/v9/qrdqn_50q_seed3/checkpoints/qrdqn_50q_seed3_400000_steps
v9,qrdqn,3,600000,100,1000,35,0.35,65,0.65,35,0.35,30,0.3,0,0.0,7.269200000000003,17.08,6.34,22.685714285714287,14.061538461538461,0.03629976580796253,0.398711943793911,0.05913348946135832,0.02576112412177986,0.48009367681498827,7,24,results/runs/v9/qrdqn_50q_seed3/checkpoints/qrdqn_50q_seed3_600000_steps
v9,qrdqn,3,800000,100,1000,39,0.39,59,0.59,39,0.39,20,0.2,2,0.02,8.144600000000008,27.54,7.16,24.358974358974358,29.57377049180328,0.06390704429920116,0.26870007262164125,0.04030501089324619,0.046840958605664486,0.5802469135802469,1,10,results/runs/v9/qrdqn_50q_seed3/checkpoints/qrdqn_50q_seed3_800000_steps
v9,qrdqn,3,1000000,100,1000,45,0.45,55,0.55,20,0.2,35,0.35,0,0.0,8.568400000000006,22.16,7.09,17.866666666666667,25.672727272727272,0.02075812274368231,0.4020758122743682,0.11462093862815885,0.004963898916967509,0.4575812274368231,0,10,results/runs/v9/qrdqn_50q_seed3/final_model
