#{"t_start": 1787372404.59094, "env_id": "None"}
r,l,t,success,collision,max_y
0.89,11,0.475625,False,True,2
-0.04,4,0.476427,False,True,1
0.88,12,0.478539,False,True,2
0.83,17,0.481376,False,True,2
-0.02,2,0.481757,False,True,1
-0.09,9,0.483964,False,True,1
-0.03,3,0.484644,False,True,1
-0.05,5,0.485524,False,True,1
-0.12,12,0.48751,False,True,1
1.85,15,0.489944,False,True,3
1.84,16,0.492893,False,True,3
1.92,8,0.494308,False,True,3
-0.17,17,0.497129,False,True,1
0.7,30,0.502384,False,True,2
1.95,5,0.503308,False,True,3
-0.01,1,0.503525,False,True,1
-0.04,4,0.504233,False,True,1
0.74,26,0.508559,False,True,2
3.86,14,0.511004,False,True,5
-0.02,2,0.511403,False,True,1
0.74,26,0.515676,False,True,2
-0.33,33,0.52134,False,True,1
1.88,12,0.52338,False,True,3
-0.08,8,0.525181,False,True,1
-0.08,8,0.526719,False,True,1
-0.13,13,0.529034,False,True,1
-0.03,3,0.529606,False,True,1
-0.06,6,0.530649,False,True,1
0.84,16,0.533506,False,True,2
0.97,3,0.53436,False,True,2
0.79,21,0.537987,False,True,2
0.94,6,0.539172,False,True,2
-0.14,14,0.541768,False,True,1
-0.1,10,0.543429,False,True,1
-0.02,2,0.543818,False,True,1
-0.03,3,0.544349,False,True,1
-0.03,3,0.544879,False,True,1
-0.06,6,0.546011,False,True,1
-0.01,1,0.54625,False,True,1
-0.1,10,0.547961,False,True,1
-0.07,7,0.549252,False,True,1
-0.06,6,0.550345,False,True,1
0.93,7,0.551504,False,True,2
0.89,11,0.553342,False,True,2
-0.05,5,0.554211,False,True,1
-0.09,9,0.55573,False,True,1
-0.05,5,0.556705,False,True,1
1.84,16,0.55956,False,True,3
1.91,9,0.5611,False,True,3
1.94,6,0.562156,False,True,3
1.93,7,0.563367,False,True,3
0.86,14,0.565974,False,True,2
-0.05,5,0.567075,False,True,1
-0.09,9,0.568953,False,True,1
1.91,9,0.570612,False,True,3
-0.03,3,0.571187,False,True,1
1.88,12,0.573309,False,True,3
1.93,7,0.574557,False,True,3
2.63,37,0.58122,False,True,4
0.9,10,0.583082,False,True,2
1.86,14,0.585407,False,True,3
1.96,4,0.586105,False,True,3
-0.15,15,0.588568,False,True,1
0.91,9,0.590243,False,True,2
-0.03,3,0.590856,False,True,1
-0.06,6,0.591892,False,True,1
-0.48,48,0.599783,False,True,1
-0.21,21,0.603521,False,True,1
-0.06,6,0.604578,False,True,1
-0.21,21,0.60832,False,True,1
0.95,5,0.609447,False,True,2
1.85,15,0.611942,False,True,3
-0.02,2,0.612308,False,True,1
-0.04,4,0.612979,False,True,1
3.76,24,0.616909,False,True,5
-0.04,4,0.617603,False,True,1
-0.05,5,0.618457,False,True,1
-0.15,15,0.62091,False,True,1
-0.01,1,0.621117,False,True,1
-0.04,4,0.621806,False,True,1
0.92,8,0.623138,False,True,2
-0.05,5,0.624062,False,True,1
1.94,6,0.625131,False,True,3
-0.15,15,0.627578,False,True,1
0.83,17,0.630437,False,True,2
-0.14,14,0.632749,False,True,1
-0.07,7,0.633947,False,True,1
-0.13,13,0.63605,False,True,1
-0.04,4,0.636733,False,True,1
-0.09,9,0.638217,False,True,1
0.88,12,0.640172,False,True,2
-0.02,2,0.640539,False,True,1
0.91,9,0.642062,False,True,2
-0.04,4,0.642737,False,True,1
-0.04,4,0.64342,False,True,1
0.84,16,0.645941,False,True,2
-0.04,4,0.646615,False,True,1
-0.08,8,0.647918,False,True,1
-0.12,12,0.65019,False,True,1
-0.02,2,0.650653,False,True,1
-0.05,5,0.651976,False,True,1
-0.14,14,0.654417,False,True,1
-0.03,3,0.654972,False,True,1
-0.28,28,0.6596,False,True,1
-0.08,8,0.661113,False,True,1
-0.07,7,0.66235,False,True,1
-0.07,7,0.663532,False,True,1
-0.03,3,0.664068,False,True,1
0.9,10,0.665764,False,True,2
-0.01,1,0.665993,False,True,1
1.91,9,0.667462,False,True,3
-0.18,18,0.670437,False,True,1
-0.08,8,0.671742,False,True,1
-0.01,1,0.67194,False,True,1
0.96,4,0.672611,False,True,2
-0.09,9,0.674122,False,True,1
-0.04,4,0.674834,False,True,1
1.92,8,0.676157,False,True,3
-0.11,11,0.677963,False,True,1
-0.01,1,0.67817,False,True,1
-0.04,4,0.678852,False,True,1
-0.13,13,0.680966,False,True,1
-0.03,3,0.681667,False,True,1
1.94,6,0.682793,False,True,3
-0.09,9,0.684458,False,True,1
-0.01,1,0.684678,False,True,1
1.92,8,0.686007,False,True,3
1.95,5,0.686852,False,True,3
-0.11,11,0.688628,False,True,1
0.91,9,0.690243,False,True,2
-0.07,7,0.691583,False,True,1
-0.12,12,0.693617,False,True,1
-0.11,11,0.695684,False,True,1
-0.04,4,0.696419,False,True,1
1.93,7,0.697597,False,True,3
-0.03,3,0.698115,False,True,1
2.94,6,0.69922,False,True,4
0.76,24,0.703143,False,True,2
-0.08,8,0.704542,False,True,1
1.94,6,0.705569,False,True,3
-0.06,6,0.70659,False,True,1
-0.16,16,0.709197,False,True,1
-0.11,11,0.711036,False,True,1
-0.05,5,0.711951,False,True,1
-0.13,13,0.714143,False,True,1
-0.05,5,0.715387,False,True,1
-0.02,2,0.715818,False,True,1
-0.08,8,0.717195,False,True,1
-0.06,6,0.718215,False,True,1
-0.11,11,0.720015,False,True,1
-0.06,6,0.721025,False,True,1
-0.04,4,0.721708,False,True,1
-0.01,1,0.721998,False,True,1
1.72,28,0.726663,False,True,3
-0.02,2,0.727027,False,True,1
-0.05,5,0.727873,False,True,1
-0.1,10,0.729491,False,True,1
-0.26,26,0.733952,False,True,1
0.93,7,0.735403,False,True,2
-0.06,6,0.736523,False,True,1
-0.2,20,0.739928,False,True,1
-0.04,4,0.740635,False,True,1
-0.01,1,0.740842,False,True,1
1.93,7,0.742051,False,True,3
0.71,29,0.747039,False,True,2
0.84,16,0.749802,False,True,2
-0.01,1,0.750012,False,True,1
1.85,15,0.752413,False,True,3
-0.27,27,0.756626,False,True,1
-0.05,5,0.757452,False,True,1
-0.03,3,0.757971,False,True,1
-0.04,4,0.758646,False,True,1
0.83,17,0.761504,False,True,2
-0.09,9,0.762973,False,True,1
