environment,algorithm,training_seed,checkpoint_steps,evaluation_episodes,eval_seed_start,successes,success_rate,collisions,collision_rate,road_collisions,road_collision_rate,drownings,drowning_rate,timeouts,timeout_rate,avg_reward,avg_episode_length,avg_max_row,avg_success_episode_length,avg_failure_episode_length,wait_pct,forward_pct,backward_pct,left_pct,right_pct,collision_row_1,collision_row_3,model_path
v10,dqn,0,200000,100,1000,1,0.01,50,0.5,23,0.23,27,0.27,49,0.49,-0.12089999999999267,57.09,3.35,12.0,57.54545454545455,0.0441408302679979,0.1651777894552461,0.15028901734104047,0.29900157645822384,0.34139078647749166,12,12,results/runs/v10/dqn_seed0/checkpoints/dqn_seed0_200000_steps
v10,dqn,0,400000,100,1000,19,0.19,81,0.81,39,0.39,42,0.42,0,0.0,5.5737999999999985,11.62,5.55,13.052631578947368,11.283950617283951,0.10499139414802065,0.6196213425129088,0.1540447504302926,0.09036144578313253,0.03098106712564544,3,11,results/runs/v10/dqn_seed0/checkpoints/dqn_seed0_400000_steps
v10,dqn,0,600000,100,1000,23,0.23,77,0.77,40,0.4,37,0.37,0,0.0,6.361099999999999,9.89,6.08,12.478260869565217,9.116883116883116,0.047522750252780584,0.6885743174924166,0.07987866531850354,0.10212335692618807,0.08190091001011122,4,7,results/runs/v10/dqn_seed0/checkpoints/dqn_seed0_600000_steps
v10,dqn,0,800000,100,1000,29,0.29,71,0.71,40,0.4,31,0.31,0,0.0,6.782399999999998,10.76,6.15,11.96551724137931,10.267605633802816,0.08643122676579926,0.6589219330855018,0.10408921933085502,0.09572490706319703,0.05483271375464684,3,9,results/runs/v10/dqn_seed0/checkpoints/dqn_seed0_800000_steps
v10,dqn,0,1000000,100,1000,31,0.31,68,0.68,34,0.34,34,0.34,1,0.01,7.0503,11.97,6.35,14.774193548387096,10.710144927536232,0.09189640768588136,0.6240601503759399,0.11779448621553884,0.08771929824561403,0.0785296574770259,3,8,results/runs/v10/dqn_seed0/final_model
