environment,algorithm,training_seed,checkpoint_steps,evaluation_episodes,eval_seed_start,successes,success_rate,collisions,collision_rate,road_collisions,road_collision_rate,drownings,drowning_rate,timeouts,timeout_rate,avg_reward,avg_episode_length,avg_max_row,avg_success_episode_length,avg_failure_episode_length,wait_pct,forward_pct,backward_pct,left_pct,right_pct,collision_row_1,collision_row_3,model_path
v9,ppo,0,200000,100,1000,12,0.12,88,0.88,88,0.88,0,0.0,0,0.0,5.1827000000000005,9.73,5.56,15.166666666666666,8.988636363636363,0.1130524152106886,0.671120246659815,0.16238437821171633,0.014388489208633094,0.03905447070914697,0,11,results/runs/v9/ppo_seed0/checkpoints/ppo_seed0_200000_steps
v9,ppo,0,400000,100,1000,15,0.15,85,0.85,85,0.85,0,0.0,0,0.0,5.524700000000001,12.53,5.75,17.8,11.6,0.25857940941739826,0.5642458100558659,0.12051077414205906,0.017557861133280128,0.03910614525139665,0,10,results/runs/v9/ppo_seed0/checkpoints/ppo_seed0_400000_steps
v9,ppo,0,600000,100,1000,24,0.24,76,0.76,76,0.76,0,0.0,0,0.0,6.557,15.3,6.27,20.875,13.539473684210526,0.17320261437908496,0.5529411764705883,0.2019607843137255,0.02091503267973856,0.050980392156862744,2,6,results/runs/v9/ppo_seed0/checkpoints/ppo_seed0_600000_steps
v9,ppo,0,800000,100,1000,21,0.21,79,0.79,79,0.79,0,0.0,0,0.0,6.371799999999999,11.82,6.23,15.666666666666666,10.79746835443038,0.2571912013536379,0.5862944162436549,0.07868020304568528,0.027918781725888325,0.04991539763113367,0,5,results/runs/v9/ppo_seed0/checkpoints/ppo_seed0_800000_steps
v9,ppo,0,1000000,100,1000,26,0.26,74,0.74,74,0.74,0,0.0,0,0.0,6.9149,12.51,6.48,14.846153846153847,11.68918918918919,0.2517985611510791,0.5675459632294164,0.07114308553157474,0.03597122302158273,0.07354116706634692,0,5,results/runs/v9/ppo_seed0/final_model
