#{"t_start": 1787336805.763825, "env_id": "None"}
r,l,t
-0.08,8,0.512338
-0.01,1,0.512953
-0.06,6,0.514962
0.77,23,0.522679
-0.09,9,0.526125
-0.01,1,0.52662
0.94,6,0.528481
-0.18,18,0.534479
1.77,23,0.541349
-0.22,22,0.548124
-0.1,10,0.551262
-0.17,17,0.720609
0.88,12,0.725601
-0.03,3,0.726729
-0.02,2,0.727451
0.85,15,0.7323
0.95,5,0.733952
-0.05,5,0.736111
-0.05,5,0.737733
-0.02,2,0.738408
-0.26,26,0.748839
-0.15,15,0.753461
-0.03,3,0.754432
1.94,6,0.756302
0.91,9,0.759147
-0.03,3,0.760179
-0.31,31,0.92864
-0.2,20,0.934726
-0.04,4,0.936037
-0.05,5,0.937741
-0.13,13,0.942032
1.88,12,0.945646
1.87,13,0.950251
1.97,3,0.95122
-0.05,5,0.952722
0.82,18,0.957938
1.89,11,1.129448
-0.01,1,1.12994
-0.11,11,1.133297
-0.06,6,1.135124
-0.06,6,1.137325
-0.02,2,1.138095
-0.04,4,1.139475
-0.13,13,1.143968
-0.11,11,1.147869
-0.03,3,1.148928
-0.08,8,1.151349
-0.1,10,1.155244
1.9,10,1.158661
-0.04,4,1.160003
-0.03,3,1.160992
0.92,8,1.163388
-0.03,3,1.164335
-0.06,6,1.166132
2.9,10,1.169829
-0.06,6,1.287691
-0.15,15,1.292278
-0.02,2,1.292973
1.82,18,1.299382
-0.03,3,1.300384
0.9,10,1.303472
-0.03,3,1.304455
1.87,13,1.30849
-0.02,2,1.30919
-0.04,4,1.327633
-0.04,4,1.330254
-0.04,4,1.332144
1.92,8,1.33533
1.86,14,1.34504
-0.05,5,1.34708
-0.03,3,1.348106
-0.06,6,1.349966
-0.13,13,1.524953
1.84,16,1.530207
-0.04,4,1.531518
0.93,7,1.534072
-0.03,3,1.53506
-0.04,4,1.536396
-0.13,13,1.540344
1.95,5,1.543642
1.87,13,1.548439
2.91,9,1.551229
0.89,11,1.554977
-0.01,1,1.555372
3.81,19,1.561328
-0.01,1,1.561787
-0.01,1,1.562186
-0.03,3,1.56365
-0.05,5,1.565376
-0.01,1,1.565782
-0.08,8,1.568723
-0.05,5,1.703633
1.93,7,1.706295
-0.01,1,1.706774
1.91,9,1.709668
0.92,8,1.712644
-0.06,6,1.714531
-0.05,5,1.716085
-0.07,7,1.718266
1.94,6,1.720179
-0.05,5,1.722068
1.86,14,1.726345
-0.06,6,1.728253
-0.04,4,1.72954
1.91,9,1.732887
1.96,4,1.734245
-0.06,6,1.736099
1.87,13,1.740312
1.94,6,1.742233
-0.13,13,1.858089
-0.02,2,1.858924
1.93,7,1.861525
0.91,9,1.864881
-0.03,3,1.865976
1.96,4,1.867445
1.92,8,1.869937
-0.02,2,1.87063
1.94,6,1.872822
1.95,5,1.874446
-0.03,3,1.875495
-0.01,1,1.875915
1.86,14,1.880355
-0.01,1,1.88078
-0.06,6,1.882605
-0.03,3,1.883556
-0.04,4,1.884794
1.96,4,1.886026
-0.01,1,1.886409
-0.04,4,1.887635
1.89,11,1.891651
-0.01,1,1.892174
-0.02,2,1.892929
-0.03,3,1.896414
0.93,7,1.899817
1.95,5,1.901827
1.85,15,2.054544
-0.05,5,2.056325
0.95,5,2.057973
1.92,8,2.060447
1.94,6,2.063118
-0.02,2,2.063845
3.92,8,2.066642
-0.06,6,2.068642
1.94,6,2.070536
-0.06,6,2.072448
5.91,9,2.075171
3.89,11,2.07865
-0.07,7,2.080759
0.93,7,2.082823
5.87,13,2.087414
-0.05,5,2.089023
5.89,11,2.092433
0.93,7,2.200593
-0.01,1,2.201147
-0.02,2,2.202012
2.92,8,2.204603
-0.02,2,2.205304
-0.04,4,2.206601
1.92,8,2.209056
1.97,3,2.21043
-0.01,1,2.210903
1.97,3,2.211901
-0.05,5,2.213584
0.93,7,2.215744
-0.02,2,2.216428
-0.02,2,2.217096
3.91,9,2.220004
1.97,3,2.221073
-0.02,2,2.221753
5.88,12,2.225476
1.94,6,2.227397
-0.03,3,2.228369
1.96,4,2.229662
-0.02,2,2.230378
1.96,4,2.23192
1.91,9,2.234664
-0.01,1,2.235047
1.94,6,2.236859
3.93,7,2.238958
3.95,5,2.241265
-0.03,3,2.242318
1.94,6,2.354145
1.95,5,2.356008
-0.04,4,2.357673
-0.01,1,2.358195
1.96,4,2.360284
-0.05,5,2.361909
1.96,4,2.36338
1.93,7,2.365578
1.93,7,2.367785
3.94,6,2.36962
1.94,6,2.371436
-0.03,3,2.372742
-0.02,2,2.373786
1.88,12,2.377968
-0.01,1,2.378405
3.94,6,2.380479
-0.03,3,2.381568
-0.05,5,2.383266
13.9,10,2.386469
1.97,3,2.387566
-0.01,1,2.387976
3.94,6,2.389859
1.95,5,2.392987
-0.03,3,2.394517
1.95,5,2.396257
1.96,4,2.397764
-0.03,3,2.398833
-0.03,3,2.399841
-0.02,2,2.508741
-0.03,3,2.510621
-0.01,1,2.51109
1.97,3,2.512328
-0.01,1,2.512795
-0.01,1,2.5132
3.95,5,2.514774
5.91,9,2.51744
-0.01,1,2.517887
5.93,7,2.52013
-0.03,3,2.521105
-0.01,1,2.52149
1.97,3,2.524422
-0.02,2,2.526311
-0.02,2,2.527052
1.97,3,2.528037
-0.01,1,2.528419
3.95,5,2.530213
1.97,3,2.531191
-0.01,1,2.531575
1.96,4,2.532811
3.93,7,2.534989
3.94,6,2.536824
1.96,4,2.538068
1.97,3,2.547513
1.97,3,2.553055
3.92,8,2.556526
1.97,3,2.557594
1.97,3,2.558672
1.96,4,2.560482
1.97,3,2.561588
-0.01,1,2.56346
3.93,7,2.566479
-0.03,3,2.56847
-0.01,1,2.568917
3.94,6,2.570827
-0.01,1,2.571224
3.94,6,2.714308
3.95,5,2.716195
-0.01,1,2.716624
5.92,8,2.719216
-0.01,1,2.719617
-0.01,1,2.720141
2.95,5,2.721814
1.97,3,2.722859
3.95,5,2.724985
3.91,9,2.728057
-0.01,1,2.728534
1.97,3,2.72952
-0.01,1,2.729902
1.97,3,2.730863
3.94,6,2.734258
1.96,4,2.73568
-0.02,2,2.736391
-0.02,2,2.737129
-0.01,1,2.737525
-0.03,3,2.73849
1.96,4,2.739759
-0.02,2,2.740561
3.93,7,2.742813
1.96,4,2.744558
1.97,3,2.745638
1.96,4,2.746923
3.94,6,2.748774
1.95,5,2.750316
3.94,6,2.752153
1.97,3,2.753122
1.95,5,2.755101
3.94,6,2.757054
3.95,5,2.758685
1.94,6,2.901029
1.97,3,2.902144
3.92,8,2.904805
-0.02,2,2.90551
-0.02,2,2.906218
-0.02,2,2.906906
-0.01,1,2.907289
2.94,6,2.909212
1.96,4,2.910582
5.93,7,2.912771
3.95,5,2.914309
5.93,7,2.916398
1.96,4,2.917626
-0.01,1,2.918005
1.97,3,2.919025
-0.02,2,2.919692
1.97,3,2.920645
