#{"t_start": 1787428564.691981, "env_id": "None"}
r,l,t,success,collision,max_y
13.83,17,0.611756,True,False,9
1.92,8,0.613268,False,True,3
0.79,21,0.617228,False,True,2
-0.01,1,0.617525,False,True,1
2.86,14,0.620742,False,True,4
0.58,42,0.62811,False,True,2
2.65,35,0.634627,False,True,4
0.87,13,0.63725,False,True,2
2.9,10,0.639096,False,True,4
2.74,26,0.643512,False,True,4
2.3,70,0.656073,False,True,4
1.91,9,0.657679,False,True,3
0.39,61,0.668538,False,True,2
0.72,28,0.673282,False,True,2
1.23,77,0.686606,False,True,3
-0.04,4,0.687489,False,True,1
-0.07,7,0.688829,False,True,1
1.85,15,0.691451,False,True,3
0.86,14,0.69387,False,True,2
1.83,17,0.696865,False,True,3
1.56,44,0.704229,False,True,3
-0.15,15,0.706802,False,True,1
1.55,45,0.714597,False,True,3
1.9,10,0.717107,False,True,3
-0.16,16,0.719868,False,True,1
0.93,7,0.721504,False,True,2
0.84,16,0.72433,False,True,2
-3.0,100,0.74146,False,False,3
0.96,4,0.742463,False,True,2
-0.03,3,0.743073,False,True,1
-0.03,3,0.743682,False,True,1
0.94,6,0.744758,False,True,2
-0.05,5,0.745759,False,True,1
0.52,48,0.753857,False,True,2
0.9,10,0.755585,False,True,2
0.87,13,0.758032,False,True,2
-0.18,18,0.7612,False,True,1
2.95,5,0.762183,False,True,4
0.82,18,0.765313,False,True,2
1.89,11,0.767922,False,True,3
-0.1,10,0.769765,False,True,1
-0.04,4,0.770572,False,True,1
2.58,42,0.777838,False,True,4
-0.05,5,0.778772,False,True,1
2.87,13,0.781004,False,True,4
0.76,24,0.785053,False,True,2
2.72,28,0.79011,False,True,4
-0.01,1,0.79045,False,True,1
0.9,10,0.792219,False,True,2
1.23,77,0.805138,False,True,3
2.35,65,0.81694,False,True,4
-0.04,4,0.817771,False,True,1
1.93,7,0.819015,False,True,3
-0.05,5,0.819923,False,True,1
1.84,16,0.822937,False,True,3
1.92,8,0.824557,False,True,3
-0.08,8,0.826128,False,True,1
-0.08,8,0.827569,False,True,1
-0.15,15,0.830092,False,True,1
0.94,6,0.831157,False,True,2
0.91,9,0.832904,False,True,2
-0.08,8,0.834461,False,True,1
1.56,44,0.841982,False,True,3
0.59,41,0.849071,False,True,2
-0.11,11,0.850959,False,True,1
0.91,9,0.852515,False,True,2
1.78,22,0.856556,False,True,3
-0.07,7,0.857844,False,True,1
0.75,25,0.862019,False,True,2
3.42,58,0.872058,False,True,5
0.91,9,0.873927,False,True,2
0.94,6,0.875203,False,True,2
0.76,24,0.879307,False,True,2
-0.09,9,0.880882,False,True,1
-0.02,2,0.88129,False,True,1
0.8,20,0.885062,False,True,2
1.85,15,0.887913,False,True,3
0.97,3,0.88864,False,True,2
0.9,10,0.890431,False,True,2
0.9,10,0.892272,False,True,2
0.78,22,0.896265,False,True,2
2.37,63,0.907462,False,True,4
-0.22,22,0.91191,False,True,1
2.2,80,0.92594,False,True,4
0.9,10,0.927773,False,True,2
4.5,50,0.936488,False,True,6
0.85,15,0.939042,False,True,2
0.82,18,0.942066,False,True,2
0.95,5,0.942971,False,True,2
-0.22,22,0.947047,False,True,1
-0.16,16,0.949945,False,True,1
-0.07,7,0.951185,False,True,1
0.98,2,0.951601,False,True,2
-0.08,8,0.952987,False,True,1
1.93,7,0.95422,False,True,3
-0.18,18,0.957448,False,True,1
-0.01,1,0.957749,False,True,1
-0.04,4,0.958563,False,True,1
0.84,16,0.961382,False,True,2
1.87,13,0.963614,False,True,3
0.93,7,0.964848,False,True,2
-0.05,5,0.965774,False,True,1
2.55,45,0.973403,False,True,4
-0.03,3,0.973996,False,True,1
-0.04,4,0.974796,False,True,1
4.85,15,1.441331,False,True,6
-0.03,3,1.442122,False,True,1
2.77,23,1.446006,False,True,4
0.79,21,1.449507,False,True,2
0.87,13,1.451707,False,True,2
-0.07,7,1.452927,False,True,1
-0.25,25,1.457034,False,True,1
3.91,9,1.458588,False,True,5
3.47,53,1.467099,False,True,5
-0.02,2,1.467503,False,True,1
-0.07,7,1.468714,False,True,1
-0.07,7,1.469963,False,True,1
3.86,14,1.472522,False,True,5
1.92,8,1.473937,False,True,3
1.7,30,1.479333,False,True,3
1.93,7,1.480961,False,True,3
4.69,31,1.486596,False,True,6
2.66,34,1.492754,False,True,4
-0.1,10,1.494631,False,True,1
-0.06,6,1.495725,False,True,1
3.84,16,1.498433,False,True,5
-0.06,6,1.499525,False,True,1
1.78,22,1.50353,False,True,3
0.93,7,1.50482,False,True,2
3.54,46,1.512785,False,True,5
0.89,11,1.514881,False,True,2
1.89,11,1.516838,False,True,3
-0.05,5,1.517763,False,True,1
-0.04,4,1.518517,False,True,1
-0.13,13,1.520884,False,True,1
0.81,19,1.524073,False,True,2
0.81,19,1.527224,False,True,2
-0.04,4,1.527971,False,True,1
0.86,14,1.530386,False,True,2
0.95,5,1.531275,False,True,2
1.81,19,1.534427,False,True,3
0.94,6,1.535506,False,True,2
-0.03,3,1.536092,False,True,1
1.86,14,1.538459,False,True,3
3.78,22,1.54206,False,True,5
0.86,14,1.544424,False,True,2
-0.01,1,1.544664,False,True,1
0.98,2,1.54508,False,True,2
4.66,34,1.551449,False,True,6
-0.13,13,1.553746,False,True,1
-0.07,7,1.555035,False,True,1
-0.01,1,1.555284,False,True,1
0.75,25,1.559783,False,True,2
5.74,26,1.564434,False,True,7
-2.0,100,1.581919,False,False,4
5.87,13,1.584455,False,True,7
-0.05,5,1.585386,False,True,1
1.59,41,1.59213,False,True,3
1.65,35,1.59848,False,True,3
1.88,12,1.600629,False,True,3
0.76,24,1.605126,False,True,2
2.87,13,1.607379,False,True,4
1.93,7,1.608616,False,True,3
3.78,22,1.612561,False,True,5
1.82,18,1.615728,False,True,3
1.94,6,1.616825,False,True,3
0.91,9,1.618406,False,True,2
0.73,27,1.622909,False,True,2
-0.15,15,1.625437,False,True,1
0.9,10,1.627171,False,True,2
1.73,27,1.631728,False,True,3
3.71,29,1.636522,False,True,5
4.56,44,1.643605,False,True,6
0.82,18,1.646534,False,True,2
