algorithm,training_seed,speed_scale,success_rate,avg_reward,avg_max_row,road_collision_rate,drowning_rate,timeout_rate
qrdqn,2,1.2,0.28,6.666300000000003,6.21,0.43,0.29,0.0
qrdqn,2,1.4,0.28,6.952800000000001,6.46,0.41,0.31,0.0
qrdqn,3,0.8,0.35,7.339500000000006,6.65,0.35,0.26,0.04
qrdqn,3,1.0,0.41,7.638900000000006,6.7,0.23,0.3,0.06
qrdqn,3,1.2,0.35,7.0176000000000025,6.36,0.21,0.4,0.04
qrdqn,3,1.4,0.3,6.405000000000008,6.21,0.3,0.33,0.07
qrdqn,4,0.8,0.27,6.341800000000002,6.27,0.45,0.21,0.07
qrdqn,4,1.0,0.33,6.789800000000005,6.46,0.37,0.21,0.09
qrdqn,4,1.2,0.33,6.292500000000003,6.34,0.41,0.09,0.17
qrdqn,4,1.4,0.24,5.933500000000006,6.29,0.46,0.18,0.12
