#{"t_start": 1787209357.326056, "env_id": "None"}
r,l,t,success,collision,max_y
-0.01,1,0.931804,False,True,1
1.97,3,0.932374,False,True,3
1.96,4,0.934176,False,True,3
1.97,3,0.935981,False,True,3
-0.01,1,0.936193,False,True,1
-0.01,1,0.936385,False,True,1
1.97,3,0.938171,False,True,3
-0.01,1,0.93839,False,True,1
1.96,4,0.940365,False,True,3
-0.01,1,0.940564,False,True,1
1.97,3,0.942184,False,True,3
-0.01,1,0.942396,False,True,1
-0.01,1,0.94259,False,True,1
-0.01,1,0.942779,False,True,1
-0.01,1,0.942967,False,True,1
-0.01,1,0.94433,False,True,1
-0.01,1,0.944588,False,True,1
-0.01,1,0.944804,False,True,1
-0.01,1,0.945014,False,True,1
-0.01,1,0.945218,False,True,1
-0.01,1,0.946589,False,True,1
-0.01,1,0.946815,False,True,1
1.94,6,0.949203,False,True,3
-0.01,1,0.949434,False,True,1
1.97,3,0.951128,False,True,3
-0.01,1,0.951339,False,True,1
-0.01,1,0.951554,False,True,1
-0.01,1,0.951831,False,True,1
9.94,6,0.955392,True,False,5
9.95,5,0.957728,True,False,5
1.97,3,0.958386,False,True,3
1.97,3,0.9602,False,True,3
-0.01,1,0.960405,False,True,1
1.97,3,0.961986,False,True,3
-0.01,1,0.962311,False,True,1
1.97,3,0.962922,False,True,3
-0.02,2,0.964382,False,True,1
1.97,3,0.96491,False,True,3
-0.01,1,0.966146,False,True,1
1.96,4,0.966865,False,True,3
-0.01,1,0.968138,False,True,1
-0.01,1,0.968404,False,True,1
-0.01,1,0.968613,False,True,1
1.97,3,0.970521,False,True,3
1.97,3,0.97124,False,True,3
1.97,3,0.973215,False,True,3
1.97,3,0.973781,False,True,3
-0.01,1,0.975292,False,True,1
-0.01,1,0.975526,False,True,1
-0.01,1,0.975731,False,True,1
-0.02,2,0.9761,False,True,1
1.95,5,0.97824,False,True,3
1.96,4,0.980249,False,True,3
9.94,6,0.98252,True,False,5
-0.01,1,0.983827,False,True,1
-0.01,1,0.98405,False,True,1
-0.01,1,0.984245,False,True,1
-0.01,1,0.984435,False,True,1
-0.02,2,0.985948,False,True,1
-0.02,2,0.986324,False,True,1
1.97,3,0.988178,False,True,3
-0.01,1,0.988404,False,True,1
1.97,3,0.988967,False,True,3
1.97,3,0.990922,False,True,3
-0.01,1,0.991166,False,True,1
-0.01,1,0.99137,False,True,1
-0.01,1,0.992813,False,True,1
1.97,3,0.993399,False,True,3
-0.01,1,0.993608,False,True,1
-0.01,1,0.994983,False,True,1
-0.01,1,0.995206,False,True,1
1.96,4,0.997284,False,True,3
-0.02,2,0.997735,False,True,1
-0.01,1,0.997947,False,True,1
-0.01,1,0.998151,False,True,1
-0.01,1,0.999764,False,True,1
-0.01,1,1.000026,False,True,1
-0.01,1,1.000229,False,True,1
1.97,3,1.001842,False,True,3
1.95,5,1.003792,False,True,3
-0.01,1,1.004127,False,True,1
-0.01,1,1.004357,False,True,1
-0.01,1,1.004563,False,True,1
-0.01,1,1.004758,False,True,1
1.96,4,1.00658,False,True,3
-0.01,1,1.006776,False,True,1
-0.02,2,1.008219,False,True,1
1.96,4,1.009981,False,True,3
1.96,4,1.010719,False,True,3
1.97,3,1.012603,False,True,3
9.94,6,1.015007,True,False,5
-0.01,1,1.015228,False,True,1
-0.01,1,1.016543,False,True,1
-0.01,1,1.016765,False,True,1
-0.01,1,1.016969,False,True,1
-0.01,1,1.017161,False,True,1
-0.01,1,1.017355,False,True,1
-0.01,1,1.018621,False,True,1
-0.01,1,1.018847,False,True,1
-0.02,2,1.019217,False,True,1
1.97,3,1.020985,False,True,3
-0.01,1,1.021202,False,True,1
-0.01,1,1.021395,False,True,1
-0.01,1,1.021592,False,True,1
-0.02,2,1.023365,False,True,1
-0.02,2,1.023756,False,True,1
1.97,3,1.025446,False,True,3
1.97,3,1.026009,False,True,3
-0.01,1,1.027351,False,True,1
-0.01,1,1.027568,False,True,1
-0.01,1,1.027774,False,True,1
-0.01,1,1.027976,False,True,1
-0.01,1,1.028166,False,True,1
-0.01,1,1.029528,False,True,1
-0.01,1,1.029753,False,True,1
9.95,5,1.031777,True,False,5
-0.01,1,1.031991,False,True,1
-0.01,1,1.032189,False,True,1
-0.02,2,1.03365,False,True,1
-0.01,1,1.033863,False,True,1
1.97,3,1.034413,False,True,3
