#{"t_start": 1787338181.948891, "env_id": "None"}
r,l,t
0.88,12,0.42201
0.85,15,0.427118
-0.07,7,0.429247
-0.09,9,0.43184
-0.05,5,0.433553
-0.02,2,0.434309
-0.01,1,0.434695
-0.08,8,0.437141
-0.05,5,0.438713
2.8,20,0.444298
-0.05,5,0.445758
0.82,18,0.450802
0.88,12,0.454202
-0.25,25,0.582483
-0.04,4,0.583805
-0.14,14,0.587792
1.93,7,0.589832
-0.02,2,0.59048
-0.01,1,0.590848
-0.45,45,0.603191
0.85,15,0.607355
-0.01,1,0.607724
-0.09,9,0.61028
-0.01,1,0.610654
0.95,5,0.612114
-0.03,3,0.613017
1.85,15,0.825892
1.96,4,0.827186
-0.03,3,0.828113
-0.04,4,0.829312
-0.04,4,0.830508
-0.02,2,0.831146
-0.07,7,0.833566
-0.07,7,0.835718
-0.11,11,0.838861
1.94,6,0.840608
-0.04,4,0.841801
-0.02,2,0.842446
-0.11,11,0.845547
-0.02,2,0.846205
3.87,13,0.849992
0.97,3,0.850997
0.92,8,0.853709
-0.07,7,0.856207
-0.11,11,0.859534
1.94,6,0.861379
-0.14,14,0.953104
-0.03,3,0.954123
0.93,7,0.956168
-0.06,6,0.957945
-0.06,6,0.960543
4.89,11,0.963982
-0.08,8,0.966334
3.73,27,0.973982
-0.05,5,0.975464
-0.02,2,0.97612
-0.12,12,0.979521
1.89,11,0.982698
-0.01,1,0.983073
2.87,13,0.986706
0.83,17,1.119152
0.93,7,1.121283
-0.04,4,1.122492
-0.01,1,1.122865
-0.02,2,1.123512
-0.04,4,1.124718
-0.06,6,1.126447
-0.11,11,1.129559
-0.08,8,1.131829
0.95,5,1.133293
-0.03,3,1.134203
1.85,15,1.138386
-0.05,5,1.139841
-0.07,7,1.141851
-0.02,2,1.142496
-0.03,3,1.143408
-0.06,6,1.145132
-0.03,3,1.146049
-0.04,4,1.14724
3.93,7,1.149262
-0.12,12,1.152607
3.91,9,1.248908
3.92,8,1.25136
1.92,8,1.253697
-0.04,4,1.25491
1.94,6,1.25702
1.95,5,1.258639
1.95,5,1.260133
3.86,14,1.26403
3.85,15,1.268616
-0.04,4,1.269902
-0.05,5,1.271407
1.87,13,1.275103
-0.02,2,1.275776
-0.04,4,1.276978
-0.03,3,1.277906
3.86,14,1.28186
5.89,11,1.377968
-0.01,1,1.37849
1.92,8,1.380938
1.93,7,1.382994
1.96,4,1.384203
-0.01,1,1.384591
-0.06,6,1.386352
1.94,6,1.388449
-0.05,5,1.390049
2.92,8,1.392422
3.84,16,1.396968
-0.11,11,1.400143
0.92,8,1.402466
-0.08,8,1.404763
1.93,7,1.406788
1.97,3,1.407719
3.93,7,1.409733
-0.02,2,1.410378
3.93,7,1.412407
1.8,20,1.518334
1.93,7,1.52048
1.93,7,1.522543
-0.03,3,1.523476
-0.01,1,1.523845
-0.03,3,1.524775
3.91,9,1.527388
1.95,5,1.528853
0.96,4,1.53006
-0.03,3,1.530979
1.91,9,1.533544
0.94,6,1.535302
5.88,12,1.538683
-0.03,3,1.539597
1.94,6,1.541332
-0.01,1,1.541702
0.97,3,1.542614
1.97,3,1.543521
1.95,5,1.54497
-0.05,5,1.546414
-0.01,1,1.546784
1.96,4,1.547974
-0.06,6,1.549698
1.97,3,1.550607
-0.02,2,1.551238
1.94,6,1.552965
-0.01,1,1.553323
1.97,3,1.641655
3.92,8,1.644173
1.95,5,1.645672
4.91,9,1.648247
3.94,6,1.64999
1.94,6,1.651753
1.95,5,1.653236
-0.01,1,1.653606
1.94,6,1.655331
3.92,8,1.657609
1.94,6,1.659335
1.95,5,1.6608
1.97,3,1.661726
1.94,6,1.663466
-0.01,1,1.663833
1.97,3,1.664743
3.92,8,1.667253
-0.01,1,1.667646
3.91,9,1.6702
-0.02,2,1.670839
1.91,9,1.673382
1.95,5,1.674837
-0.03,3,1.675746
-0.02,2,1.676393
-0.01,1,1.676756
3.91,9,1.679328
3.93,7,1.756802
1.97,3,1.757836
-0.01,1,1.75823
1.97,3,1.759196
-0.02,2,1.759864
1.97,3,1.760896
1.94,6,1.762998
-0.01,1,1.763404
3.91,9,1.766038
-0.01,1,1.766419
1.91,9,1.769383
-0.01,1,1.772271
1.94,6,1.774653
-0.03,3,1.777729
3.93,7,1.783723
13.89,11,1.789167
-0.02,2,1.789828
3.93,7,1.793063
1.94,6,1.794955
-0.01,1,1.795346
3.91,9,1.797952
-0.02,2,1.798603
-0.02,2,1.799252
-0.02,2,1.799881
1.93,7,1.802232
1.96,4,1.803537
-0.02,2,1.804206
-0.01,1,1.804587
-0.02,2,1.805253
-0.02,2,1.805987
1.91,9,1.893525
3.92,8,1.895999
1.95,5,1.897515
3.92,8,1.899853
1.93,7,1.901899
1.93,7,1.903978
1.96,4,1.905179
-0.01,1,1.905547
3.95,5,1.907022
3.92,8,1.909329
-0.01,1,1.9097
3.92,8,1.912011
1.95,5,1.913489
3.92,8,1.915788
3.93,7,1.917811
-0.01,1,1.918177
-0.02,2,1.918835
3.94,6,1.920591
1.97,3,1.921518
1.93,7,1.923556
-0.01,1,1.92392
-0.04,4,1.925116
0.96,4,1.926312
3.95,5,1.927791
1.93,7,1.929808
1.95,5,2.002288
3.93,7,2.004521
5.89,11,2.007716
1.96,4,2.008934
3.93,7,2.01099
1.96,4,2.012201
-0.02,2,2.012842
1.96,4,2.014053
1.95,5,2.015527
-0.01,1,2.015898
-0.01,1,2.01627
-0.02,2,2.016943
-0.02,2,2.017621
3.93,7,2.019673
-0.03,3,2.020598
1.93,7,2.022617
1.97,3,2.023545
-0.01,1,2.023912
-0.03,3,2.024859
-0.02,2,2.025503
1.95,5,2.026969
1.97,3,2.027887
1.93,7,2.029928
-0.01,1,2.030288
3.94,6,2.032061
3.95,5,2.03354
-0.01,1,2.033905
-0.01,1,2.034265
-0.03,3,2.03517
5.9,10,2.03802
3.92,8,2.040331
5.93,7,2.128306
5.91,9,2.131017
1.95,5,2.132514
3.9,10,2.135383
-0.02,2,2.136043
-0.01,1,2.136412
1.94,6,2.138163
-0.01,1,2.13853
1.96,4,2.139724
3.91,9,2.142291
3.95,5,2.143748
1.97,3,2.144658
3.95,5,2.146123
3.92,8,2.14839
-0.01,1,2.148754
5.88,12,2.152155
3.89,11,2.155252
3.93,7,2.157254
3.94,6,2.158983
5.93,7,2.160994
-0.01,1,2.161354
1.95,5,2.16281
-0.01,1,2.163175
-0.01,1,2.163531
3.95,5,2.251264
1.89,11,2.25458
5.9,10,2.257492
1.9,10,2.260407
-0.05,5,2.261896
1.94,6,2.263688
1.95,5,2.265178
3.9,10,2.268077
1.94,6,2.269845
-0.03,3,2.270771
5.91,9,2.273511
1.97,3,2.274597
-0.02,2,2.275328
-0.02,2,2.276069
0.94,6,2.278066
3.95,5,2.279594
5.92,8,2.282016
3.93,7,2.284056
-0.01,1,2.284432
-0.02,2,2.285081
3.93,7,2.287115
-0.02,2,2.28776
1.95,5,2.370812
-0.01,1,2.37132
1.95,5,2.37304
-0.01,1,2.373479
-0.05,5,2.375056
3.93,7,2.377329
5.92,8,2.379732
2.9,10,2.382857
1.96,4,2.384283
3.94,6,2.386289
-0.04,4,2.387564
1.91,9,2.390393
-0.01,1,2.390795
1.97,3,2.391746
-0.01,1,2.392121
1.96,4,2.39334
1.97,3,2.394274
5.86,14,2.398313
-0.02,2,2.398969
-0.01,1,2.399339
1.97,3,2.400289
3.95,5,2.401801
1.95,5,2.403292
-0.02,2,2.403948
1.95,5,2.405446
5.93,7,2.407497
-0.04,4,2.408698
1.92,8,2.509456
-0.03,3,2.510617
-0.03,3,2.511608
5.91,9,2.514314
0.93,7,2.516421
1.93,7,2.518521
-0.02,2,2.519184
2.94,6,2.520979
1.93,7,2.523055
-0.02,2,2.523711
1.93,7,2.525771
5.89,11,2.528981
-0.05,5,2.530475
1.93,7,2.532536
1.95,5,2.534038
5.9,10,2.536944
-0.05,5,2.53844
1.97,3,2.539379
3.95,5,2.540885
-0.02,2,2.541539
1.95,5,2.543036
3.93,7,2.545095
-0.01,1,2.545465
-0.05,5,2.54696
-0.01,1,2.547326
1.94,6,2.633295
1.96,4,2.634622
1.93,7,2.636707
3.94,6,2.638497
-0.06,6,2.640269
-0.03,3,2.641194
-0.05,5,2.64277
-0.02,2,2.643423
4.9,10,2.646282
1.96,4,2.647495
1.93,7,2.649533
-0.02,2,2.650183
5.92,8,2.652516
-0.03,3,2.653442
1.96,4,2.654647
1.95,5,2.656125
1.95,5,2.657603
-0.01,1,2.657971
3.94,6,2.659732
3.93,7,2.661788
3.91,9,2.664373
-0.03,3,2.665297
1.97,3,2.66622
3.94,6,2.667977
-0.04,4,2.669179
1.96,4,2.670372
-0.03,3,2.748998
