environment,algorithm,training_seed,checkpoint_steps,evaluation_episodes,eval_seed_start,successes,success_rate,collisions,collision_rate,road_collisions,road_collision_rate,drownings,drowning_rate,timeouts,timeout_rate,avg_reward,avg_episode_length,avg_max_row,avg_success_episode_length,avg_failure_episode_length,wait_pct,forward_pct,backward_pct,left_pct,right_pct,collision_row_1,collision_row_3,model_path
v9,dqn,4,200000,100,1000,16,0.16,79,0.79,0,0.0,79,0.79,5,0.05,4.200100000000003,12.99,4.57,15.25,12.55952380952381,0.049268668206312545,0.5080831408775982,0.18398768283294842,0.13471901462663588,0.123941493456505,20,12,results/runs/v9/dqn_seed4/checkpoints/dqn_seed4_200000_steps
v9,dqn,4,400000,100,1000,35,0.35,65,0.65,0,0.0,65,0.65,0,0.0,7.751499999999998,7.85,6.73,10.285714285714286,6.538461538461538,0.0980891719745223,0.8598726114649682,0.0025477707006369425,0.03184713375796178,0.007643312101910828,1,9,results/runs/v9/dqn_seed4/checkpoints/dqn_seed4_400000_steps
v9,dqn,4,600000,100,1000,50,0.5,50,0.5,0,0.0,50,0.5,0,0.0,8.957499999999996,8.25,7.04,10.34,6.16,0.07757575757575758,0.8533333333333334,0.0,0.05454545454545454,0.014545454545454545,2,6,results/runs/v9/dqn_seed4/checkpoints/dqn_seed4_600000_steps
v9,dqn,4,800000,100,1000,70,0.7,30,0.3,0,0.0,30,0.3,0,0.0,10.694399999999998,9.56,7.59,11.257142857142858,5.6,0.11610878661087866,0.799163179916318,0.005230125523012552,0.038702928870292884,0.04079497907949791,6,3,results/runs/v9/dqn_seed4/checkpoints/dqn_seed4_800000_steps
v9,dqn,4,1000000,100,1000,69,0.69,31,0.31,0,0.0,31,0.31,0,0.0,10.7236,9.64,7.68,10.985507246376812,6.645161290322581,0.11307053941908714,0.808091286307054,0.012448132780082987,0.03319502074688797,0.03319502074688797,4,4,results/runs/v9/dqn_seed4/final_model
