environment,algorithm,training_seed,checkpoint_steps,evaluation_episodes,eval_seed_start,successes,success_rate,collisions,collision_rate,road_collisions,road_collision_rate,drownings,drowning_rate,timeouts,timeout_rate,avg_reward,avg_episode_length,avg_max_row,avg_success_episode_length,avg_failure_episode_length,wait_pct,forward_pct,backward_pct,left_pct,right_pct,collision_row_1,collision_row_3,model_path
v10,dqn,1,200000,100,1000,0,0.0,75,0.75,25,0.25,50,0.5,25,0.25,0.9925000000000047,38.75,3.38,0.0,38.75,0.13341935483870968,0.24103225806451614,0.3096774193548387,0.16903225806451613,0.14683870967741935,20,11,results/runs/v10/dqn_seed1/checkpoints/dqn_seed1_200000_steps
v10,dqn,1,400000,100,1000,12,0.12,83,0.83,29,0.29,54,0.54,5,0.05,4.114800000000001,20.52,4.8,14.416666666666666,21.352272727272727,0.10038986354775828,0.4044834307992203,0.2802144249512671,0.18567251461988304,0.029239766081871343,8,10,results/runs/v10/dqn_seed1/checkpoints/dqn_seed1_400000_steps
v10,dqn,1,600000,100,1000,31,0.31,69,0.69,32,0.32,37,0.37,0,0.0,6.8158,16.42,6.12,15.193548387096774,16.971014492753625,0.14981729598051158,0.47868453105968334,0.14372716199756394,0.13215590742996347,0.09561510353227771,5,9,results/runs/v10/dqn_seed1/checkpoints/dqn_seed1_600000_steps
v10,dqn,1,800000,100,1000,39,0.39,61,0.61,32,0.32,29,0.29,0,0.0,7.888600000000004,13.14,6.68,13.58974358974359,12.852459016393443,0.10578386605783865,0.5920852359208524,0.11796042617960426,0.09360730593607305,0.09056316590563165,2,3,results/runs/v10/dqn_seed1/checkpoints/dqn_seed1_800000_steps
v10,dqn,1,1000000,100,1000,38,0.38,60,0.6,37,0.37,23,0.23,2,0.02,7.7223000000000015,13.77,6.66,12.473684210526315,14.564516129032258,0.15177923021060277,0.5555555555555556,0.10457516339869281,0.10675381263616558,0.0813362381989833,2,6,results/runs/v10/dqn_seed1/final_model
