environment,ppo,trpo,dqn,qrdqn
v3,57.8,74.2,0.0,81.8
v4,7.000000000000001,6.2,10.200000000000001,12.0
v5,79.80000000000001,94.0,68.6,55.99999999999999
v7,23.600000000000005,48.6,3.2,12.6
v8,94.0,100.0,80.60000000000001,96.2
v9,50.0,49.00000000000001,46.4,33.599999999999994
