environment,algorithm,n_seeds,success_mean,success_std,reward_mean,reward_std,max_row_mean,max_row_std,success_display
v3,dqn,5,0.0,0.0,-5.061660000000001,0.9801580372572571,0.258,0.5769055381949457,0.0% ± 0.0%
v3,ppo,5,0.578,0.24468346899617063,6.23356,2.2094064662257145,3.938,0.8236321994676993,57.8% ± 24.5%
v3,qrdqn,5,0.818,0.05167204273105522,8.144659999999995,0.5042307735551254,4.388,0.20315019074566468,81.8% ± 5.2%
v3,trpo,5,0.742,0.04147288270665548,7.460140000000001,0.33685493613720396,4.264,0.13296616110875772,74.2% ± 4.1%
v4,dqn,5,0.10200000000000001,0.035637059362410926,5.474600000000004,0.5029903875821098,6.054,0.26415904300250587,10.2% ± 3.6%
v4,ppo,5,0.07,0.007071067811865474,5.159760000000001,0.15725011287754398,5.812,0.14184498581197724,7.0% ± 0.7%
v4,qrdqn,5,0.12,0.0282842712474619,5.171740000000009,0.7497965777462566,6.052,0.20523157651784488,12.0% ± 2.8%
v4,trpo,5,0.062,0.008366600265340758,5.138600000000001,0.10895879955286014,5.84,0.08602325267042651,6.2% ± 0.8%
v5,dqn,5,0.6859999999999999,0.12521980673998828,10.923380000000005,1.0957405381749803,8.1,0.2947032405658269,68.6% ± 12.5%
v5,ppo,5,0.798,0.1528724958911838,12.059340000000002,1.2991778334777693,8.447999999999999,0.3900256401827966,79.8% ± 15.3%
v5,qrdqn,5,0.5599999999999999,0.2079663434308542,9.764600000000005,1.7827031006311729,7.7700000000000005,0.557942649382533,56.0% ± 20.8%
v5,trpo,5,0.9400000000000001,0.05244044240850758,13.19756,0.4263740822329611,8.847999999999999,0.11541230437002786,94.0% ± 5.2%
v7,dqn,5,0.032,0.044384682042344296,-0.7756999999999976,5.190795990982502,2.648,2.6072149892174217,3.2% ± 4.4%
v7,ppo,5,0.23600000000000004,0.06348228099241553,6.81594,0.6711907985066542,6.57,0.3358571124749334,23.6% ± 6.3%
v7,qrdqn,5,0.126,0.06387487769068526,4.986400000000007,0.8745357482687619,5.758,0.5381170876305641,12.6% ± 6.4%
v7,trpo,5,0.48600000000000004,0.2391233991059846,9.1189,1.980995665063403,7.502,0.5902711241455063,48.6% ± 23.9%
v8,dqn,5,0.806,0.09528903399657279,12.03858,0.805235628248028,8.4,0.2500999800079963,80.6% ± 9.5%
v8,ppo,5,0.9400000000000001,0.041833001326703805,13.269860000000005,0.5348248666619795,8.748000000000001,0.27878306978724493,94.0% ± 4.2%
v8,qrdqn,5,0.962,0.020493901531919177,13.403699999999992,0.22076307435800557,8.844,0.10237187113655764,96.2% ± 2.0%
v8,trpo,5,1.0,0.0,13.879660000000005,0.005841917493429968,9.0,0.0,100.0% ± 0.0%
v9,dqn,5,0.46399999999999997,0.07765307463326872,8.538620000000002,0.7650597800172237,6.9879999999999995,0.3749266594948936,46.4% ± 7.8%
v9,ppo,5,0.5,0.0758287544405155,9.12384,0.6800502540253912,7.298,0.18512158166999318,50.0% ± 7.6%
v9,qrdqn,5,0.33599999999999997,0.06308724118234998,7.183020000000004,0.4794727802493079,6.587999999999999,0.12357184145265461,33.6% ± 6.3%
v9,trpo,5,0.49000000000000005,0.06782329983125267,9.049680000000004,0.6667580198242846,7.3,0.32810059433045835,49.0% ± 6.8%
