environment,algorithm,training_seed,checkpoint_steps,evaluation_episodes,eval_seed_start,successes,success_rate,collisions,collision_rate,timeouts,timeout_rate,avg_reward,avg_episode_length,avg_max_row,avg_success_episode_length,avg_failure_episode_length,wait_pct,forward_pct,backward_pct,left_pct,right_pct,collision_row_1,collision_row_3,model_path
v6_local3,qrdqn,3,200000,100,1000,0,0.0,32,0.32,68,0.68,-2.224699999999998,75.47,2.25,0.0,75.47,0.40559162581158076,0.04637604346097787,0.18126407844176495,0.17159136080561813,0.1951768914800583,0,31,results/runs/v6_local3/qrdqn_50q_seed3/checkpoints/qrdqn_50q_seed3_200000_steps
v6_local3,qrdqn,3,400000,100,1000,14,0.14,86,0.86,0,0.0,4.862000000000003,25.8,5.28,49.57142857142857,21.930232558139537,0.14844961240310078,0.22015503875968992,0.050775193798449615,0.27054263565891473,0.31007751937984496,0,31,results/runs/v6_local3/qrdqn_50q_seed3/checkpoints/qrdqn_50q_seed3_400000_steps
v6_local3,qrdqn,3,600000,100,1000,33,0.33,53,0.53,14,0.14,6.383700000000007,44.63,6.41,41.60606060606061,46.11940298507463,0.03271342146538203,0.1490029128388976,0.017925162446784673,0.6894465606094555,0.11091194263948018,3,6,results/runs/v6_local3/qrdqn_50q_seed3/checkpoints/qrdqn_50q_seed3_600000_steps
v6_local3,qrdqn,3,800000,100,1000,45,0.45,55,0.55,0,0.0,8.648500000000006,23.15,7.18,26.444444444444443,20.454545454545453,0.12311015118790497,0.32138228941684666,0.027645788336933045,0.33995680345572354,0.1879049676025918,0,5,results/runs/v6_local3/qrdqn_50q_seed3/checkpoints/qrdqn_50q_seed3_800000_steps
v6_local3,qrdqn,3,1000000,100,1000,43,0.43,57,0.57,0,0.0,8.549000000000007,25.1,7.22,29.093023255813954,22.087719298245613,0.08366533864541832,0.30916334661354583,0.03545816733067729,0.38247011952191234,0.1892430278884462,0,3,results/runs/v6_local3/qrdqn_50q_seed3/final_model
