environment,algorithm,training_seed,checkpoint_steps,evaluation_episodes,eval_seed_start,successes,success_rate,collisions,collision_rate,road_collisions,road_collision_rate,drownings,drowning_rate,timeouts,timeout_rate,avg_reward,avg_episode_length,avg_max_row,avg_success_episode_length,avg_failure_episode_length,wait_pct,forward_pct,backward_pct,left_pct,right_pct,collision_row_1,collision_row_3,model_path
v10,dqn,4,200000,100,1000,6,0.06,81,0.81,28,0.28,53,0.53,13,0.13,2.402600000000003,24.74,3.81,12.5,25.52127659574468,0.13783346806790622,0.32821341956346,0.29587712206952305,0.1301535974130962,0.10792239288601455,20,14,results/runs/v10/dqn_seed4/checkpoints/dqn_seed4_200000_steps
v10,dqn,4,400000,100,1000,17,0.17,82,0.82,36,0.36,46,0.46,1,0.01,5.125900000000002,13.41,5.28,14.941176470588236,13.096385542168674,0.10216256524981357,0.5033557046979866,0.1476510067114094,0.13870246085011187,0.1081282624906786,8,11,results/runs/v10/dqn_seed4/checkpoints/dqn_seed4_400000_steps
v10,dqn,4,600000,100,1000,8,0.08,92,0.92,42,0.42,50,0.5,0,0.0,4.4937999999999985,13.62,5.15,11.625,13.793478260869565,0.10205580029368576,0.45594713656387664,0.12555066079295155,0.11820851688693099,0.19823788546255505,7,9,results/runs/v10/dqn_seed4/checkpoints/dqn_seed4_600000_steps
v10,dqn,4,800000,100,1000,33,0.33,64,0.64,34,0.34,30,0.3,3,0.03,6.958500000000003,16.15,6.26,13.545454545454545,17.432835820895523,0.11702786377708978,0.4458204334365325,0.16718266253869968,0.017956656346749224,0.2520123839009288,4,9,results/runs/v10/dqn_seed4/checkpoints/dqn_seed4_800000_steps
v10,dqn,4,1000000,100,1000,43,0.43,55,0.55,26,0.26,29,0.29,2,0.02,8.081600000000002,17.84,6.76,15.534883720930232,19.57894736842105,0.04147982062780269,0.4445067264573991,0.10033632286995516,0.09641255605381166,0.3172645739910314,3,6,results/runs/v10/dqn_seed4/final_model
