environment,algorithm,training_seed,checkpoint_steps,evaluation_episodes,eval_seed_start,successes,success_rate,collisions,collision_rate,road_collisions,road_collision_rate,drownings,drowning_rate,timeouts,timeout_rate,avg_reward,avg_episode_length,avg_max_row,avg_success_episode_length,avg_failure_episode_length,wait_pct,forward_pct,backward_pct,left_pct,right_pct,collision_row_1,collision_row_3,model_path
v10,dqn,4,200000,100,1000,9,0.09,80,0.8,33,0.33,47,0.47,11,0.11,2.755000000000003,22.5,3.88,11.777777777777779,23.560439560439562,0.11777777777777777,0.3542222222222222,0.29688888888888887,0.15155555555555555,0.07955555555555556,24,12,results/runs/v10/dqn_seed4/checkpoints/dqn_seed4_200000_steps
v10,dqn,4,400000,100,1000,19,0.19,81,0.81,43,0.43,38,0.38,0,0.0,5.473000000000002,11.7,5.45,11.842105263157896,11.666666666666666,0.08974358974358974,0.5863247863247864,0.14786324786324787,0.06495726495726496,0.1111111111111111,6,8,results/runs/v10/dqn_seed4/checkpoints/dqn_seed4_400000_steps
v10,dqn,4,600000,100,1000,16,0.16,83,0.83,50,0.5,33,0.33,1,0.01,5.117000000000003,13.3,5.33,11.1875,13.702380952380953,0.08195488721804511,0.48345864661654137,0.12330827067669173,0.10827067669172932,0.20300751879699247,6,12,results/runs/v10/dqn_seed4/checkpoints/dqn_seed4_600000_steps
v10,dqn,4,800000,100,1000,22,0.22,78,0.78,41,0.41,37,0.37,0,0.0,5.997400000000003,15.26,5.83,11.681818181818182,16.26923076923077,0.0799475753604194,0.4475753604193971,0.10484927916120576,0.023591087811271297,0.3440366972477064,10,14,results/runs/v10/dqn_seed4/checkpoints/dqn_seed4_800000_steps
v10,dqn,4,1000000,100,1000,21,0.21,78,0.78,44,0.44,34,0.34,1,0.01,5.832100000000002,15.79,5.77,13.571428571428571,16.379746835443036,0.04876504116529449,0.435085497150095,0.10512982900569981,0.11969601013299556,0.29132362254591515,7,10,results/runs/v10/dqn_seed4/final_model
