#{"t_start": 1787334052.112553, "env_id": "None"}
r,l,t
1.94,6,3.763527
1.93,7,3.766126
1.97,3,3.767206
-0.03,3,3.768217
3.93,7,3.77044
1.97,3,3.771435
1.94,6,3.77332
-0.05,5,3.774919
-0.01,1,3.775315
3.93,7,3.777513
-0.01,1,3.777905
3.93,7,3.780084
-0.07,7,3.782247
-0.01,1,3.782633
1.93,7,3.784814
3.94,6,3.786707
2.94,6,3.788592
3.94,6,3.790479
-0.01,1,3.790863
3.94,6,3.792743
3.94,6,3.79463
1.94,6,3.900291
1.97,3,3.90142
1.97,3,3.902456
1.97,3,3.903461
-0.01,1,3.903861
-0.01,1,3.904251
-0.04,4,3.905554
5.9,10,3.908682
1.95,5,3.910286
3.94,6,3.912188
1.87,13,3.916134
3.95,5,3.917736
-0.02,2,3.91843
3.94,6,3.920313
3.92,8,3.922794
1.96,4,3.924079
1.96,4,3.925355
-0.02,2,3.926033
1.97,3,3.927019
3.93,7,3.929187
2.93,7,3.931376
1.94,6,3.93325
3.93,7,3.935415
3.93,7,3.937588
1.95,5,3.939172
1.96,4,3.940448
1.93,7,4.097659
1.95,5,4.099337
1.96,4,4.100623
1.97,3,4.101614
-0.03,3,4.102596
-0.02,2,4.103274
-0.02,2,4.103957
1.96,4,4.105643
-0.02,2,4.10645
3.95,5,4.108111
3.95,5,4.109739
-0.02,2,4.110437
-0.02,2,4.111137
5.91,9,4.113963
-0.02,2,4.114676
3.95,5,4.116282
3.91,9,4.119083
5.89,11,4.122473
3.93,7,4.124666
1.95,5,4.126257
-0.03,3,4.127253
-0.03,3,4.128247
1.96,4,4.129538
3.95,5,4.131146
-0.02,2,4.131832
5.93,7,4.134026
1.96,4,4.135323
13.89,11,4.294899
1.96,4,4.296285
-0.04,4,4.297583
1.93,7,4.299754
1.91,9,4.302588
-0.04,4,4.304212
1.97,3,4.305254
-0.02,2,4.305961
5.93,7,4.308184
-0.02,2,4.308896
1.97,3,4.3099
-0.04,4,4.311189
1.97,3,4.312183
5.92,8,4.314705
1.9,10,4.317801
1.97,3,4.318794
3.94,6,4.320672
1.97,3,4.32167
1.96,4,4.322967
1.96,4,4.324245
-0.01,1,4.324636
1.97,3,4.325619
5.93,7,4.327811
3.95,5,4.329385
-0.04,4,4.330659
-0.02,2,4.331337
13.91,9,4.334494
3.95,5,4.467954
5.93,7,4.470259
5.91,9,4.473042
5.88,12,4.476998
-0.04,4,4.478431
5.91,9,4.481297
3.92,8,4.483815
3.95,5,4.485408
1.97,3,4.486431
5.92,8,4.488934
3.95,5,4.490525
-0.01,1,4.490916
-0.03,3,4.491919
3.93,7,4.494118
1.97,3,4.4951
1.96,4,4.496389
1.95,5,4.497976
5.93,7,4.500168
1.95,5,4.501746
-0.04,4,4.503028
-0.02,2,4.503705
3.91,9,4.506481
1.96,4,4.507771
5.93,7,4.65423
1.97,3,4.655749
3.94,6,4.657769
1.97,3,4.658775
1.94,6,4.660655
1.96,4,4.662387
3.94,6,4.664692
1.97,3,4.66571
3.94,6,4.667584
1.95,5,4.669154
-0.01,1,4.669535
3.94,6,4.671395
5.92,8,4.674301
1.94,6,4.676693
3.95,5,4.678456
-0.02,2,4.679312
1.95,5,4.680994
1.97,3,4.682327
3.94,6,4.684931
3.94,6,4.686935
1.96,4,4.688243
1.97,3,4.689223
1.97,3,4.690203
3.92,8,4.693196
1.95,5,4.695024
3.95,5,4.696599
-0.02,2,4.697273
1.96,4,4.814309
1.97,3,4.81543
1.96,4,4.816777
3.93,7,4.819123
1.97,3,4.820144
3.95,5,4.821751
1.96,4,4.823048
-0.02,2,4.823748
-0.02,2,4.824448
1.97,3,4.825452
-0.01,1,4.825893
1.97,3,4.827117
3.93,7,4.829398
-0.01,1,4.829801
1.97,3,4.830799
1.94,6,4.832686
5.9,10,4.835756
-0.01,1,4.836148
-0.03,3,4.837145
13.9,10,4.840214
2.94,6,4.8421
-0.03,3,4.843092
1.97,3,4.844072
1.94,6,4.845941
3.95,5,4.847514
-0.01,1,4.847903
-0.01,1,4.848285
5.9,10,4.851345
1.93,7,4.853499
3.93,7,4.988569
5.93,7,4.990958
-0.02,2,4.99165
1.95,5,4.993244
3.94,6,4.995117
5.93,7,4.997274
3.94,6,4.999549
-0.03,3,5.000641
3.95,5,5.002276
1.97,3,5.003281
-0.01,1,5.003671
1.96,4,5.00497
-0.02,2,5.005664
1.97,3,5.006677
-0.01,1,5.007064
1.97,3,5.008072
3.94,6,5.009975
5.93,7,5.012182
3.92,8,5.014667
1.95,5,5.016262
5.9,10,5.019393
1.93,7,5.021591
-0.02,2,5.022284
3.95,5,5.023877
1.96,4,5.025158
1.96,4,5.026448
13.9,10,5.029537
3.95,5,5.161439
-0.04,4,5.162812
1.97,3,5.163809
1.97,3,5.164791
1.97,3,5.165775
1.97,3,5.166754
1.97,3,5.167731
-0.03,3,5.168706
1.96,4,5.170332
3.95,5,5.172092
1.94,6,5.174046
3.95,5,5.175656
5.93,7,5.177871
3.91,9,5.180664
-0.04,4,5.181976
1.96,4,5.183302
13.91,9,5.186094
1.93,7,5.188282
1.97,3,5.189263
1.96,4,5.190548
5.91,9,5.193328
5.92,8,5.195848
-0.03,3,5.196834
