environment,algorithm,training_seed,checkpoint_steps,evaluation_episodes,eval_seed_start,successes,success_rate,collisions,collision_rate,road_collisions,road_collision_rate,drownings,drowning_rate,timeouts,timeout_rate,avg_reward,avg_episode_length,avg_max_row,avg_success_episode_length,avg_failure_episode_length,wait_pct,forward_pct,backward_pct,left_pct,right_pct,collision_row_1,collision_row_3,model_path
v10,trpo,4,200000,100,1000,32,0.32,68,0.68,42,0.42,26,0.26,0,0.0,7.3136,9.64,6.49,13.0,8.058823529411764,0.25933609958506226,0.6763485477178424,0.038381742738589214,0.005186721991701245,0.02074688796680498,0,8,results/runs/v10/trpo_seed4/checkpoints/trpo_seed4_200000_steps
v10,trpo,4,400000,100,1000,39,0.39,61,0.61,40,0.4,21,0.21,0,0.0,8.200999999999999,12.9,6.99,14.948717948717949,11.59016393442623,0.2937984496124031,0.5736434108527132,0.07209302325581396,0.027131782945736434,0.03333333333333333,1,5,results/runs/v10/trpo_seed4/checkpoints/trpo_seed4_400000_steps
v10,trpo,4,600000,100,1000,53,0.53,47,0.47,34,0.34,13,0.13,0,0.0,9.526000000000005,15.4,7.5,17.67924528301887,12.829787234042554,0.3538961038961039,0.525974025974026,0.05714285714285714,0.03636363636363636,0.026623376623376622,0,2,results/runs/v10/trpo_seed4/checkpoints/trpo_seed4_600000_steps
v10,trpo,4,800000,100,1000,49,0.49,49,0.49,29,0.29,20,0.2,2,0.02,8.983400000000003,17.66,7.3,18.73469387755102,16.627450980392158,0.29614949037372595,0.48471121177802945,0.11098527746319366,0.06285390713476784,0.045300113250283124,0,3,results/runs/v10/trpo_seed4/checkpoints/trpo_seed4_800000_steps
v10,trpo,4,1000000,100,1000,61,0.61,39,0.39,28,0.28,11,0.11,0,0.0,10.263000000000003,15.7,7.76,16.721311475409838,14.102564102564102,0.34203821656050953,0.524203821656051,0.04267515923566879,0.05859872611464968,0.03248407643312102,1,1,results/runs/v10/trpo_seed4/final_model
