environment,algorithm,training_seed,checkpoint_steps,evaluation_episodes,eval_seed_start,successes,success_rate,collisions,collision_rate,road_collisions,road_collision_rate,drownings,drowning_rate,timeouts,timeout_rate,avg_reward,avg_episode_length,avg_max_row,avg_success_episode_length,avg_failure_episode_length,wait_pct,forward_pct,backward_pct,left_pct,right_pct,collision_row_1,collision_row_3,model_path
v9,dqn,3,200000,100,1000,0,0.0,44,0.44,44,0.44,0,0.0,56,0.56,-1.3339999999999974,60.4,2.51,0.0,60.4,0.16043046357615895,0.16986754966887418,0.3698675496688742,0.16192052980132451,0.1379139072847682,11,14,results/runs/v9/dqn_seed3/checkpoints/dqn_seed3_200000_steps
v9,dqn,3,400000,100,1000,5,0.05,62,0.62,62,0.62,0,0.0,33,0.33,1.3082000000000065,47.18,3.8,30.6,48.05263157894737,0.1761339550657058,0.13162356930902924,0.16532428995337006,0.2539211530309453,0.27299703264094954,16,11,results/runs/v9/dqn_seed3/checkpoints/dqn_seed3_400000_steps
v9,dqn,3,600000,100,1000,14,0.14,78,0.78,78,0.78,0,0.0,8,0.08,4.4079000000000015,22.21,5.11,14.714285714285714,23.430232558139537,0.15938766321476813,0.3223773075191355,0.15713642503376857,0.11166141377757767,0.2494371904547501,14,10,results/runs/v9/dqn_seed3/checkpoints/dqn_seed3_600000_steps
v9,dqn,3,800000,100,1000,17,0.17,81,0.81,81,0.81,0,0.0,2,0.02,4.928200000000001,19.18,5.18,26.88235294117647,17.602409638554217,0.17309697601668406,0.3488008342022941,0.12356621480709072,0.13816475495307612,0.21637122002085507,16,11,results/runs/v9/dqn_seed3/checkpoints/dqn_seed3_800000_steps
v9,dqn,3,1000000,100,1000,27,0.27,70,0.7,70,0.7,0,0.0,3,0.03,6.365300000000002,24.47,6.11,20.77777777777778,25.835616438356166,0.19493257049448304,0.3289742541888026,0.10747854515733551,0.1610134859011034,0.20760114425827544,11,5,results/runs/v9/dqn_seed3/final_model
