#{"t_start": 1787381419.179378, "env_id": "None"}
r,l,t,success,collision,max_y
3.39,61,0.649953,False,True,5
0.36,64,0.660441,False,True,2
0.85,15,0.662963,False,True,2
-0.18,18,0.66599,False,True,1
1.88,12,0.668038,False,True,3
1.49,51,0.676263,False,True,3
0.79,21,0.679753,False,True,2
3.02,98,0.695399,False,True,5
1.89,11,0.69726,False,True,3
5.19,81,0.710173,False,True,7
0.43,57,0.719372,False,True,2
1.86,14,0.721716,False,True,3
0.89,11,0.723588,False,True,2
-0.1,10,0.725268,False,True,1
1.84,16,0.728028,False,True,3
-0.03,3,0.728643,False,True,1
0.92,8,0.730055,False,True,2
1.65,35,0.736016,False,True,3
4.86,14,0.738591,False,True,6
2.81,19,0.74181,False,True,4
-0.1,10,0.743535,False,True,1
2.86,14,0.745981,False,True,4
-0.09,9,0.747509,False,True,1
-0.06,6,0.748571,False,True,1
0.9,10,0.750262,False,True,2
0.91,9,0.751804,False,True,2
0.71,29,0.756564,False,True,2
0.77,23,0.760316,False,True,2
-0.03,3,0.760886,False,True,1
0.87,13,0.763061,False,True,2
1.89,11,0.764929,False,True,3
1.83,17,0.767729,False,True,3
0.95,5,0.768626,False,True,2
0.96,4,0.76935,False,True,2
3.8,20,0.772641,False,True,5
-0.01,1,0.772875,False,True,1
0.96,4,0.773605,False,True,2
3.84,16,0.77625,False,True,5
0.75,25,0.780366,False,True,2
0.97,3,0.780978,False,True,2
1.49,51,0.789188,False,True,3
0.92,8,0.790558,False,True,2
1.64,36,0.796382,False,True,3
2.48,52,0.804725,False,True,4
0.85,15,0.807196,False,True,2
-0.14,14,0.809551,False,True,1
0.56,44,0.816667,False,True,2
2.8,20,0.819927,False,True,4
-0.03,3,0.820502,False,True,1
-0.09,9,0.822007,False,True,1
5.29,71,0.83329,False,True,7
1.87,13,0.835478,False,True,3
1.9,10,0.837161,False,True,3
0.91,9,0.838694,False,True,2
-0.05,5,0.83958,False,True,1
1.9,10,0.841249,False,True,3
1.52,48,0.848865,False,True,3
0.87,13,0.851019,False,True,2
0.78,22,0.854577,False,True,2
4.69,31,0.859587,False,True,6
0.97,3,0.860168,False,True,2
-0.2,20,0.863447,False,True,1
-0.12,12,0.865462,False,True,1
3.6,40,0.871964,False,True,5
0.87,13,0.874137,False,True,2
3.67,33,0.879525,False,True,5
-0.16,16,0.882157,False,True,1
-3.0,100,0.897994,False,False,3
0.83,17,0.902652,False,True,2
-0.18,18,0.905629,False,True,1
3.87,13,0.907785,False,True,5
-0.04,4,0.908513,False,True,1
0.9,10,0.910215,False,True,2
-0.09,9,0.911763,False,True,1
0.94,6,0.912814,False,True,2
-0.05,5,0.913692,False,True,1
0.78,22,0.917297,False,True,2
0.72,28,0.921844,False,True,2
-0.12,12,0.923851,False,True,1
1.87,13,0.926019,False,True,3
-0.01,1,0.926258,False,True,1
1.91,9,0.927786,False,True,3
-0.14,14,0.930098,False,True,1
2.7,30,0.934963,False,True,4
-0.01,1,0.935204,False,True,1
1.87,13,0.937376,False,True,3
-0.1,10,0.939068,False,True,1
1.85,15,0.941555,False,True,3
1.91,9,0.943076,False,True,3
-0.02,2,0.943475,False,True,1
1.92,8,0.944859,False,True,3
0.96,4,0.94559,False,True,2
1.47,53,0.954159,False,True,3
-0.22,22,0.957792,False,True,1
-0.04,4,0.958513,False,True,1
-0.09,9,0.96003,False,True,1
1.96,4,0.960744,False,True,3
2.83,17,0.963548,False,True,4
0.74,26,0.967794,False,True,2
-0.15,15,0.970276,False,True,1
-0.16,16,0.972902,False,True,1
0.7,30,0.977687,False,True,2
-0.09,9,1.465458,False,True,1
0.83,17,1.468639,False,True,2
0.96,4,1.469389,False,True,2
5.61,39,1.475791,False,True,7
0.92,8,1.477181,False,True,2
-0.02,2,1.477604,False,True,1
2.78,22,1.48122,False,True,4
2.72,28,1.485811,False,True,4
1.86,14,1.488136,False,True,3
2.93,7,1.489355,False,True,4
1.86,14,1.491682,False,True,3
2.31,69,1.503296,False,True,4
1.96,4,1.50414,False,True,3
-0.04,4,1.504904,False,True,1
2.86,14,1.507428,False,True,4
0.86,14,1.50982,False,True,2
5.88,12,1.511858,False,True,7
1.63,37,1.51784,False,True,3
2.94,6,1.519172,False,True,4
3.74,26,1.523511,False,True,5
0.79,21,1.526928,False,True,2
-0.04,4,1.527805,False,True,1
