environment,algorithm,training_seed,checkpoint_steps,evaluation_episodes,eval_seed_start,successes,success_rate,collisions,collision_rate,road_collisions,road_collision_rate,drownings,drowning_rate,timeouts,timeout_rate,avg_reward,avg_episode_length,avg_max_row,avg_success_episode_length,avg_failure_episode_length,wait_pct,forward_pct,backward_pct,left_pct,right_pct,collision_row_1,collision_row_3,model_path
v10,trpo,3,200000,100,1000,22,0.22,78,0.78,48,0.48,30,0.3,0,0.0,6.111000000000002,7.9,5.87,11.590909090909092,6.858974358974359,0.20506329113924052,0.7468354430379747,0.010126582278481013,0.0037974683544303796,0.03417721518987342,0,9,results/runs/v10/trpo_seed3/checkpoints/trpo_seed3_200000_steps
v10,trpo,3,400000,100,1000,31,0.31,69,0.69,41,0.41,28,0.28,0,0.0,7.239,12.1,6.5,14.774193548387096,10.898550724637682,0.315702479338843,0.5710743801652892,0.08677685950413223,0.0,0.026446280991735537,0,7,results/runs/v10/trpo_seed3/checkpoints/trpo_seed3_400000_steps
v10,trpo,3,600000,100,1000,40,0.4,59,0.59,39,0.39,20,0.2,1,0.01,8.1441,15.59,6.94,16.125,15.233333333333333,0.4028223220012829,0.47979474021808854,0.09942270686337396,0.0,0.01796023091725465,0,4,results/runs/v10/trpo_seed3/checkpoints/trpo_seed3_600000_steps
v10,trpo,3,800000,100,1000,44,0.44,56,0.56,42,0.42,14,0.14,0,0.0,8.414100000000003,14.59,6.92,15.795454545454545,13.642857142857142,0.42152159013022616,0.5044551062371487,0.06648389307745031,0.0,0.0075394105551747775,0,6,results/runs/v10/trpo_seed3/checkpoints/trpo_seed3_800000_steps
v10,trpo,3,1000000,100,1000,47,0.47,52,0.52,39,0.39,13,0.13,1,0.01,8.844500000000004,17.55,7.24,18.23404255319149,16.943396226415093,0.4495726495726496,0.4461538461538462,0.09857549857549858,0.0,0.005698005698005698,0,3,results/runs/v10/trpo_seed3/final_model
